TabId,TabTitle,TabUniverse,DataProductType,Year,Geo1year,Geo5year
B01001,Sex by Age ,Total population,Detailed Table,"1,5",,
B01001A,Sex by Age (White Alone) ,People who are White alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001A,Sex by Age (White Alone) ,People who are White alone,Detailed Table,1,,
B01001B,Sex by Age (Black or African American Alone) ,People who are Black or African American alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001B,Sex by Age (Black or African American Alone) ,People who are Black or African American alone,Detailed Table,1,,
B01001C,Sex by Age (American Indian and Alaska Native Alone) ,People who are American Indian and Alaska Native alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001C,Sex by Age (American Indian and Alaska Native Alone) ,People who are American Indian and Alaska Native alone,Detailed Table,1,,
B01001D,Sex by Age (Asian Alone) ,People who are Asian alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001D,Sex by Age (Asian Alone) ,People who are Asian alone,Detailed Table,1,,
B01001E,Sex by Age (Native Hawaiian and Other Pacific Islander Alone) ,People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001E,Sex by Age (Native Hawaiian and Other Pacific Islander Alone) ,People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,1,,
B01001F,Sex by Age (Some Other Race Alone) ,People who are Some Other Race alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001F,Sex by Age (Some Other Race Alone) ,People who are Some Other Race alone,Detailed Table,1,,
B01001G,Sex by Age (Two or More Races) ,People who are Two or More Races,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001G,Sex by Age (Two or More Races) ,People who are Two or More Races,Detailed Table,1,,
B01001H,"Sex by Age (White Alone, Not Hispanic or Latino) ","White alone, not Hispanic or Latino population",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001H,"Sex by Age (White Alone, Not Hispanic or Latino) ","White alone, not Hispanic or Latino population",Detailed Table,1,,
B01001I,Sex by Age (Hispanic or Latino) ,People who are Hispanic or Latino,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C01001I,Sex by Age (Hispanic or Latino) ,People who are Hispanic or Latino,Detailed Table,1,,
B01002,Median Age by Sex ,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002A,Median Age by Sex (White Alone) ,People who are White alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002B,Median Age by Sex (Black or African American Alone) ,People who are Black or African American alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002C,Median Age by Sex (American Indian and Alaska Native Alone)  ,People who are American Indian and Alaska Native alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002D,Median Age by Sex (Asian Alone) ,People who are Asian alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002E,Median Age by Sex (Native Hawaiian and Other Pacific Islander Alone) ,People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002F,Median Age by Sex (Some Other Race Alone) ,People who are Some Other Race alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002G,Median Age by Sex (Two or More Races) ,People who are Two or More Races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002H,"Median Age by Sex (White Alone, Not Hispanic or Latino) ","White alone, not Hispanic or Latino population",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002I,Median Age by Sex (Hispanic or Latino) ,People who are Hispanic or Latino,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01003,Total Population ,Total population,Detailed Table,"1,5",,
B02001,Race ,Total population,Detailed Table,"1,5",,
B02003,Detailed Race ,Total population,Detailed Table,1,United States (010),
C02003,Detailed Race ,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02008,White Alone or in Combination With One or More Other Races  ,White alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02009,Black or African American Alone or in Combination With One or More Other Races ,Black or African American alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02010,American Indian and Alaska Native Alone or in Combination With One or More Other Races ,People who are American Indian or Alaska Native alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02011,Asian Alone or in Combination With One or More Other Races ,Asian alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02012,Native Hawaiian and Other Pacific Islander Alone or in Combination With One or More Other Races ,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02013,Some Other Race Alone or in Combination With One or More Other Races ,Some other race alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02014,American Indian and Alaska Native Alone for Selected Tribal Groupings ,People who are American Indian and Alaska Native alone and people with no tribe reported,Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C02014,American Indian and Alaska Native Alone for Selected Tribal Groupings ,People who are American Indian and Alaska Native alone and people with no tribe reported,Detailed Table,1,,
B02015,Asian Alone by Selected Groups ,Total Asian alone population,Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C02015,Asian Alone by Selected Groups ,Total Asian alone population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02016,Native Hawaiian and Other Pacific Islander Alone by Selected Groups ,Total Native Hawaiian and Other Pacific Islander alone population,Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C02016,Native Hawaiian and Other Pacific Islander Alone by Selected Groups ,Total Native Hawaiian and Other Pacific Islander alone population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02017,American Indian and Alaska Native Alone or in Any Combination by Selected Tribal Groupings,Total AIAN alone or in any combination population (the total groups tallied),Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02018,Asian Alone or in Any Combination by Selected Groups ,Total Asian alone or in any combination population (the total groups tallied),Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02019,Native Hawaiian and Other Pacific Islander Alone or in Any Combination by Selected Groups ,Total Native Hawaiian and Other Pacific Islander alone or in any combination population (the total groups tallied),Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B03001,Hispanic or Latino Origin by Specific Origin ,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C03001,Hispanic or Latino Origin by Specific Origin ,Total population,Detailed Table,1,,
B03002,Hispanic or Latino Origin by Race ,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C03002,Hispanic or Latino Origin by Race ,Total population,Detailed Table,1,,
B03003,Hispanic or Latino Origin ,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B04004,People Reporting Single Ancestry ,People reporting single ancestry,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C04004,People Reporting Single Ancestry ,People reporting single ancestry,Detailed Table,1,,
B04005,People Reporting Multiple Ancestry ,People reporting multiple ancestries,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C04005,People Reporting Multiple Ancestry ,People reporting multiple ancestries,Detailed Table,1,,
B04006,People Reporting Ancestry ,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C04006,People Reporting Ancestry ,Total population,Detailed Table,1,,
B04007,Ancestry ,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C04007,Ancestry ,Total population,Detailed Table,1,,
B05001,Nativity and Citizenship Status in the United States ,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
C05001,Nativity and Citizenship Status in the United States ,Total population in the United States,Detailed Table,1,Excludes Puerto Rico geographies,
B05001PR,Nativity and Citizenship Status in Puerto Rico ,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05002,Place of Birth by Nativity and Citizenship Status ,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C05002,Place of Birth by Nativity ,Total population,Detailed Table,1,,
B05003,Sex by Age by Nativity and Citizenship Status ,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C05003,Sex by Age by Nativity ,Total population,Detailed Table,1,,
B05003A,Sex by Age by Nativity and Citizenship Status (White Alone) ,People who are White alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003B,Sex by Age by Nativity and Citizenship Status (Black or African American Alone) ,People who are Black or African American alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003C,Sex by Age by Nativity and Citizenship Status (American Indian and Alaska Native Alone) ,People who are American Indian and Alaska Native alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003D,Sex by Age by Nativity and Citizenship Status (Asian Alone) ,People who are Asian alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
