PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
51-51255,9,1,N,1,1,2,4,1,2,9844.0,N,N,3,6000.0,N,498,N,2,2,2,2,53.1,51.2
40-00200,16,2,6,0,2,0,5,1,1,3292.0,N,N,4,25000.0,0,63,N,2,2,2,2,155.3,51.2
06-07502,22,1,6,0,1,0,N,1,2,36052.0,9570,16,9,N,5,442,N,2,2,2,2,155.3,153.60000000000002
06-08507,46,2,2,1,8,1,7,1,1,3292.0,N,N,3,22000.0,N,83,N,2,2,2,2,53.1,51.2
28-01100,73,2,1,0,2,0,2,1,1,3292.0,9570,16,8,45000.0,9,501,N,2,2,2,2,53.1,51.2
19-01700,56,2,1,1,1,1,4,1,1,3292.0,7870,11,7,34000.0,5,501,N,2,2,2,2,53.1,51.2
19-01700,54,2,1,0,1,6,8,1,1,3292.0,N,N,9,77000.0,6,352,N,2,2,2,2,53.1,51.2
26-02702,21,2,6,0,1,0,N,1,2,3292.0,7270,10,9,2100.0,7,501,N,2,2,2,2,53.1,51.2
51-01301,12,1,N,0,6,2,4,1,1,9844.0,N,N,3,6000.0,N,137,N,2,2,2,2,155.3,153.60000000000002
30-00600,64,2,3,0,1,0,N,1,1,3292.0,N,N,6,10000.0,3,235,N,2,2,2,2,53.1,51.2
51-01301,35,1,1,0,1,0,2,1,2,9844.0,5593,6,9,27100.0,0,43,N,2,2,2,2,53.1,51.2
26-02702,46,1,6,0,6,0,N,1,2,3292.0,6991,8,10,0.0,7,264,N,2,2,2,2,155.3,153.60000000000002
36-04010,56,2,5,0,2,1,3,1,2,49156.0,8370,13,4,N,1,501,N,2,2,2,2,257.5,256.0
36-03710,94,1,6,0,2,N,N,2,0,55708.0,N,N,4,146000.0,1,239,N,2,1,2,1,53.1,51.2
17-03531,48,2,1,0,2,0,2,1,2,9844.0,6870,9,7,N,3,438,N,2,2,2,2,53.1,51.2
28-01100,15,2,6,0,2,3,5,1,1,3292.0,N,N,4,0.0,0,501,N,2,2,2,2,155.3,153.60000000000002
08-00803,3,1,N,0,9,2,4,1,2,3292.0,N,N,1,20000.0,N,37,N,N,N,2,2,53.1,51.2
38-00100,54,1,1,0,1,0,3,1,2,3292.0,4670,6,8,52200.0,5,501,N,2,2,2,2,53.1,51.2
32-00405,57,1,1,4,8,0,4,1,1,9844.0,8660,14,5,4000.0,0,501,N,2,2,2,2,53.1,51.2
30-00600,30,1,6,0,1,0,N,3,2,3292.0,7860,5,6,N,4,275,N,2,2,2,2,257.5,256.0
28-01100,1,1,N,0,2,0,3,1,1,3292.0,N,N,N,55000.0,N,439,N,N,N,2,2,53.1,51.2
28-01100,31,1,6,0,2,0,N,1,2,3292.0,770,3,5,N,3,146,N,2,2,2,2,53.1,51.2
24-01004,8,2,N,0,6,2,5,1,1,3292.0,N,N,3,230000.0,N,501,N,2,2,2,2,53.1,51.2
51-51255,69,2,4,4,1,0,N,1,2,9844.0,N,N,7,34300.0,2,501,N,2,1,2,2,53.1,51.2
51-01301,47,1,6,0,1,3,5,1,2,9844.0,7370,10,5,7100.0,3,489,N,2,2,2,2,53.1,51.2
32-00405,39,2,1,0,1,0,4,1,2,9844.0,N,N,7,34000.0,0,42,N,2,2,2,2,53.1,51.2
13-04600,63,1,6,0,2,N,N,2,0,3292.0,N,N,5,N,1,173,N,2,1,2,1,155.3,51.2
24-01004,68,2,2,0,1,0,3,1,1,3292.0,8570,14,8,83000.0,3,501,N,2,2,2,2,53.1,51.2
38-00100,15,1,6,0,3,2,4,1,1,3292.0,8660,14,4,92000.0,1,501,N,2,2,2,2,53.1,51.2
17-03529,69,1,1,0,6,0,2,1,1,16396.0,8090,12,11,5000.0,9,235,N,2,2,2,2,53.1,51.2
24-01004,34,1,1,0,1,2,4,1,1,3292.0,6870,4,10,60000.0,9,246,N,2,2,2,2,53.1,51.2
17-03531,26,2,6,0,2,0,2,1,1,9844.0,4971,6,5,25700.0,2,354,N,2,2,2,2,155.3,153.60000000000002
40-00200,62,2,1,1,3,3,5,1,1,3292.0,7860,11,4,29000.0,1,501,N,2,2,2,2,53.1,51.2
51-51255,68,1,1,0,1,0,2,1,1,9844.0,6870,9,9,0.0,8,261,N,2,2,2,2,155.3,51.2
13-04600,3,2,N,0,9,2,4,1,1,3292.0,N,N,2,14000.0,N,264,N,N,N,2,2,53.1,51.2
13-04600,90,2,3,0,2,1,5,1,1,3292.0,N,N,8,N,4,354,N,2,2,2,2,53.1,51.2
51-51255,69,1,1,0,1,0,2,1,2,9844.0,7380,10,11,N,9,226,N,2,2,2,2,53.1,51.2
40-00200,0,2,N,0,1,1,3,1,1,3292.0,N,N,N,218500.0,N,501,N,N,N,2,2,53.1,51.2
51-51255,7,2,N,0,1,2,4,1,1,9844.0,N,N,3,6800.0,N,501,N,2,2,2,2,53.1,51.2
38-00100,19,1,6,0,1,0,2,1,1,3292.0,170,0,5,N,4,501,N,2,2,2,2,155.3,51.2
51-51255,87,1,1,0,1,0,2,1,1,9844.0,N,N,9,80000.0,7,501,N,2,1,2,2,53.1,51.2
19-01700,47,2,6,0,2,0,4,1,1,3292.0,7470,17,7,31500.0,4,501,N,2,2,2,2,155.3,153.60000000000002
32-00405,21,2,6,1,1,N,4,1,2,9844.0,7270,10,7,1700.0,0,235,N,2,2,2,2,53.1,51.2
06-08507,37,2,1,0,1,0,2,1,1,3292.0,7860,11,10,100900.0,8,501,N,2,2,2,2,53.1,51.2
51-51255,71,2,3,0,2,0,2,1,1,9844.0,N,N,5,40000.0,7,501,N,2,2,2,2,53.1,51.2
01-01301,11,2,N,0,2,2,4,1,2,3292.0,N,N,3,3600.0,N,354,N,2,2,2,2,155.3,153.60000000000002
24-01004,45,1,1,4,1,1,3,1,1,3292.0,7590,10,11,44200.0,9,285,N,2,2,1,2,53.1,51.2
30-00600,21,1,6,0,1,0,2,1,1,3292.0,N,N,5,48000.0,6,501,N,2,1,2,2,155.3,153.60000000000002
24-01004,56,2,6,0,1,0,N,1,1,3292.0,N,N,9,0.0,8,322,N,2,2,2,2,53.1,51.2
29-01901,58,1,3,0,2,0,N,1,1,3292.0,N,N,3,14000.0,7,325,N,2,2,2,2,53.1,51.2
30-00600,56,2,1,0,1,2,3,1,1,3292.0,6180,7,1,0.0,3,501,N,2,2,2,2,53.1,51.2
19-01700,52,1,6,0,1,0,N,1,2,3292.0,590,15,10,8000.0,9,34,N,2,2,2,2,155.3,153.60000000000002
36-04010,78,1,1,0,2,0,2,1,1,49156.0,N,N,5,N,7,501,N,2,2,2,1,155.3,153.60000000000002
36-03710,15,1,6,2,1,2,4,1,1,55708.0,7390,10,4,0.0,3,316,N,2,2,2,2,359.7,358.4
17-03529,29,1,6,0,1,0,N,1,2,16396.0,9380,16,12,37700.0,9,196,N,2,2,2,2,53.1,51.2
40-00200,66,1,1,4,1,0,2,1,1,3292.0,170,0,7,100000.0,5,0,N,2,2,2,1,53.1,51.2
08-00803,7,1,N,0,1,3,5,1,1,3292.0,N,N,3,39000.0,N,501,N,2,2,2,2,53.1,51.2
26-02702,73,2,1,0,1,0,2,1,1,3292.0,8080,12,7,2500.0,3,95,N,2,2,2,2,53.1,51.2
38-00100,65,1,6,0,1,0,N,1,1,3292.0,N,N,9,4000.0,6,113,N,2,2,2,2,155.3,153.60000000000002
01-01301,5,2,N,0,2,3,4,1,2,3292.0,N,N,2,N,N,113,N,2,2,2,2,155.3,153.60000000000002
19-01700,53,1,4,0,1,2,3,1,2,3292.0,6870,9,5,52000.0,1,215,N,2,2,2,2,53.1,153.60000000000002
30-00600,9,2,N,0,1,1,2,1,1,3292.0,N,N,3,140000.0,N,501,N,2,2,2,2,53.1,51.2
51-51255,46,2,1,0,1,2,4,1,2,9844.0,6991,9,10,55000.0,9,294,N,2,2,2,2,53.1,51.2
01-01301,20,1,6,0,2,3,5,1,1,3292.0,7490,7,5,N,8,68,N,2,2,2,2,53.1,51.2
17-03529,33,2,1,0,1,2,4,1,1,16396.0,9470,16,10,40000.0,9,501,N,2,2,2,2,155.3,153.60000000000002
28-01100,58,2,4,0,2,0,2,1,2,3292.0,7780,16,5,N,8,0,N,2,2,2,2,53.1,51.2
30-00600,65,2,1,0,1,0,2,1,1,3292.0,N,N,11,0.0,7,199,N,2,2,2,2,53.1,51.2
24-01004,64,1,1,0,1,0,3,1,2,3292.0,7072,9,11,N,9,76,N,2,2,2,2,53.1,51.2
17-03529,94,2,3,0,2,0,N,1,2,16396.0,N,N,4,N,5,305,N,2,2,2,2,53.1,51.2
17-03531,41,2,5,0,2,2,5,1,2,9844.0,8191,12,8,0.0,5,115,N,2,2,2,2,53.1,51.2
30-00600,22,1,1,0,1,2,4,1,1,3292.0,7380,10,9,67320.0,9,217,N,2,2,2,2,53.1,51.2
13-04600,62,1,6,0,2,N,N,3,0,3292.0,9920,18,5,0.0,0,N,N,1,1,2,2,53.1,51.2
24-01004,44,2,4,0,1,1,4,1,2,3292.0,7380,10,9,9000.0,4,149,N,2,2,1,2,53.1,51.2
38-00100,73,1,1,0,1,0,2,1,1,3292.0,6170,4,7,101000.0,7,225,N,2,2,2,2,53.1,51.2
51-51255,30,1,6,0,1,0,N,1,1,9844.0,7280,10,9,130000.0,8,245,N,2,2,2,2,53.1,51.2
24-01004,62,2,3,0,1,0,N,1,1,3292.0,8170,12,9,36000.0,4,136,N,2,2,2,2,53.1,51.2
36-04010,10,2,N,0,9,3,5,1,1,49156.0,N,N,3,100010.0,N,289,N,2,2,2,2,155.3,51.2
28-01100,17,2,6,0,1,0,3,1,1,3292.0,N,N,4,243300.0,0,501,N,2,2,2,2,155.3,153.60000000000002
06-07502,52,2,4,0,1,N,N,3,0,36052.0,7870,11,10,N,3,N,N,2,2,2,2,53.1,51.2
24-01004,56,1,6,0,1,0,N,1,1,3292.0,8680,14,3,166000.0,6,265,N,2,2,2,2,155.3,153.60000000000002
17-03529,1,1,N,0,2,3,4,1,2,16396.0,N,N,N,14800.0,N,33,N,N,N,2,2,359.7,460.8
24-01004,72,1,1,0,1,0,2,1,1,3292.0,7270,10,9,22100.0,8,501,N,2,2,1,2,53.1,51.2
30-00600,45,2,1,0,1,0,2,1,1,3292.0,8980,15,9,N,7,164,N,2,2,2,2,53.1,51.2
17-03529,21,2,6,0,2,0,N,1,2,16396.0,9370,16,7,15600.0,8,126,N,2,2,2,2,53.1,51.2
