,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,0.028376979043933315,0.0028620448091216913,0.005646983898107721,-0.0020993790439344934,-0.0035322504993049036,-0.009005595529698388,-0.005051001494591173,0.0019431091735698236,-0.0033367071604956944,0.13473145683481938,-0.0378323547463142,0.004200676353571596,-0.015121843281634673,-0.03092588838439545,-0.008017385698069616,-0.00273606098795727,-0.0023788902977473873,0.0017918596942100651
AGEP,0.028376979043933315,0.0,0.0038213299537152787,0.0021812679678497038,0.024296488294282256,-0.014806639174810593,0.06382500569928246,0.008733973381697901,-0.0047067232704731815,0.004415637110487605,-0.0315329901570925,0.08898636365900159,-0.009208837591189512,-0.017858880635661267,-0.0787524835301752,0.018239510030125167,0.03977176875544839,0.05169693445402134,0.09099619877521248
SEX,0.0028620448091216913,0.0038213299537152787,0.0,0.000977809330184404,-0.009697556742239485,-0.00413292868553633,-0.025405299548385406,3.482441238842303e-05,0.017800531949041666,-0.003789336578985166,-0.006070783409893133,-0.003372766222059148,-0.005024368342541826,0.0027718687958526583,0.009506301116804367,-0.025882794985799967,0.011102332058750448,-0.004975733821695029,-0.0026989668136357114
MSP,0.005646983898107721,0.00218126796784969,0.0009778093301844042,0.0,-0.011967436762843205,0.001886292925976335,0.005232696345395138,0.010200352907598742,-0.005855977877612495,0.001990588402722107,-0.017981103323326447,-0.0037707094993021106,-0.009169875520460197,-0.0007873968655074948,0.014351652970439834,0.005630160894500413,0.00914803559303115,0.013862756006385122,-0.020399980566173037
HISP,-0.0020993790439344934,0.024296488294282256,-0.009697556742239485,-0.011967436762843205,2.220446049250313e-16,0.0031991906266035514,-0.013348626658009455,-0.02612733107906516,0.013018337096739071,-0.00554698967431512,0.04870592829464562,-0.02497206926437912,0.0031339494766269294,-0.0054852868275192534,0.026190787766272636,-0.016952954475668452,-0.026707026319229773,-0.010236813110876632,-0.012883401903729599
RAC1P,-0.0035322504993049036,-0.014806639174810579,-0.00413292868553633,0.001886292925976335,0.0031991906266035514,0.0,0.011372424714252042,0.01311405337082272,0.0015658621774831882,-0.0014238907980306803,0.007210224377074165,0.006088177079373654,0.002473806268625478,0.0037749463234575675,0.014791554878222741,-0.016075181358770264,-0.01546712990691216,0.013885665048358108,-0.03248108655417788
NOC,-0.009005595529698388,0.06382500569928251,-0.025405299548385402,0.005232696345395138,-0.013348626658009462,0.011372424714252045,0.0,-0.014704088000992654,0.023346315793720984,-0.009740102432357622,0.029551872322369218,-0.03840051198270776,0.0032142078762295856,0.0019442522249910332,0.025491146663363315,-0.01563453889775826,-0.018990104427394336,-0.017772473210571058,-0.01597911669796566
NPF,-0.00505100149459118,0.008733973381697901,3.482441238842303e-05,0.010200352907598798,-0.026127331079065147,0.013114053370822706,-0.014704088000992543,0.0,0.01393058393379587,-0.004825588645477349,0.0297131394954291,-0.03649942878499829,0.007798228289051301,0.0011518915585659595,0.02167307627359964,-0.007005105945392012,-0.010944019786815268,-0.019154875852028165,-0.0001658423382022156
HOUSING_TYPE,0.0019431091735698236,-0.004706723270473175,0.017800531949041666,-0.005855977877612523,0.013018337096739071,0.0015658621774831882,0.023346315793720984,0.013930583933795981,0.0,0.012385263938128832,-0.017422277050460937,-0.005159245424991965,-0.0059934655943370205,-0.0014571976592912261,0.02294563372577211,0.0020718081520566534,-0.0021820722530331432,-0.01841427261893201,8.387523084505549e-05
OWN_RENT,-0.0033367071604956944,0.004415637110487591,-0.003789336578985166,0.0019905884027221,-0.00554698967431512,-0.0014238907980306525,-0.009740102432357622,-0.004825588645477349,0.012385263938128777,0.0,0.02694229251924904,0.0038934154787880065,0.003939790006579909,-2.6961859223607887e-05,0.004112095050292608,0.012947065427180346,0.005802212004537417,0.04293190094530895,-0.005191516918412298
