,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,1.1102230246251565e-16,0.03857092388805168,0.003729186274764708,0.018887525036578368,0.02976207871938183,-0.013824608044703326,-0.0306952866707718,-0.019677767908171245,0.014096534208208798,-0.012287353173759397,0.10345412281626587,0.04477805943699337,0.02199250711466616,0.12461215700062639,-0.05866330559247758,0.046546827592911275,0.06527873219293584,0.06885708376770575,0.07732225439629148
AGEP,0.03857092388805168,0.0,0.023425775560863664,-0.009525749276962175,0.06566387937463077,0.034280800022034166,0.06716924558915655,0.031704856890598015,-0.00024043918106372852,0.008954779797044406,-0.027752784051457903,0.1679136460091471,0.016781394282430306,0.0262664773550067,-0.10452490618982377,0.007529512338604549,0.047039253957394556,0.10731046272778932,0.1567897690569196
SEX,0.003729186274764708,0.023425775560863664,-8.659739592076221e-15,-0.010247580318892599,-0.02711805462216243,-0.01110597872460793,-0.0249696038675963,-0.00632222080383394,0.0059442254867613994,-0.0013712297481110781,-0.005479066499970538,0.009017291738359783,-0.0021678183982936604,-0.022902750159381688,0.004548020259798155,-0.02175762083536359,-0.000780833119919163,-0.04117818920912361,-0.021599077151901853
MSP,0.018887525036578368,-0.009525749276962175,-0.010247580318892599,-5.551115123125783e-16,0.03912123559550483,0.000309087951069327,0.021171825591734916,0.04882335558742579,-0.025341974556006036,0.026593370988025604,-0.12244976164738142,-0.05160043655318175,-0.03653944429332934,-0.047475882562657945,0.014651942963464983,-0.00553631477496197,-0.013686140851034423,-0.01139727951226932,-0.0466712427981565
HISP,0.02976207871938183,0.06566387937463077,-0.02711805462216243,0.03912123559550483,-4.551914400963142e-15,0.02505465788819572,-0.04473723663748491,-0.10244039679433596,0.004061450619335487,0.03986980213594338,0.0028941085079602635,-0.003172286239357301,0.038001906579239075,0.03145517488991362,0.030278850348820455,0.0253994568175143,0.002527062593592342,-0.04016339178863042,-0.04970201490803508
RAC1P,-0.013824608044703326,0.034280800022034166,-0.01110597872460793,0.000309087951069327,0.02505465788819572,0.0,0.04187328649926199,0.04825347633678584,-0.019362041322869283,-0.004405975538866,0.08872890812957193,0.01468954081139244,0.03337073155557932,0.029294843357681233,0.05151135832503189,0.0023637413297269635,-0.0028014404838551665,-0.014557713240347823,-0.014122097765840056
NOC,-0.0306952866707718,0.06716924558915655,-0.0249696038675963,0.021171825591734916,-0.04473723663748491,0.04187328649926199,0.0,-0.06682654871432903,0.04877477580168438,-0.009133657173571369,0.12229854775963911,0.037052440535802283,0.028084711536808193,0.0492663739062531,0.03119138244265874,0.028173972568515754,0.024110898582816814,-0.03387742159295746,-0.03421801062961023
NPF,-0.019677767908171245,0.031704856890598015,-0.00632222080383394,0.04882335558742579,-0.10244039679433596,0.04825347633678584,-0.06682654871432903,-5.662137425588298e-15,0.03890325329757055,-0.000474554759788276,0.14249804964476992,0.01698840165607446,0.04014979702819077,0.04087324445322005,0.015437333739976416,0.011863083822125503,0.014271366264472035,-0.032169722254183186,-0.000816610636361792
HOUSING_TYPE,0.014096534208208798,-0.00024043918106372852,0.0059442254867613994,-0.025341974556006036,0.004061450619335487,-0.019362041322869283,0.04877477580168438,0.03890325329757055,-1.2545520178264269e-14,0.031693368875180816,-0.11174225932311838,-0.1446565157054645,-0.03359820574619773,-0.11902994270819489,0.029776851483504143,-0.016034420504423465,-0.04208144893252997,-0.03900604293696029,-0.03706956132200901
OWN_RENT,-0.012287353173759397,0.008954779797044406,-0.0013712297481110781,0.026593370988025604,0.03986980213594338,-0.004405975538866,-0.009133657173571369,-0.000474554759788276,0.031693368875180816,-8.881784197001252e-16,0.028954962843614734,0.07236603547452886,-0.0006236034480777541,0.05355210636576547,0.024185502796619275,0.030916837247692466,0.03218763644274115,0.031980883693876194,-0.009327964179991668
