,INDP,count_target,count_deidentified
38,1070,1,0.0
41,1080,3,0.0
30,1090,6,0.0
40,1170,2,0.0
37,1180,2,2.0
16,1190,3,0.0
5,1270,3,4.0
19,1280,2,6.0
26,1370,3,2.0
13,1691,7,0.0
35,1790,2,3.0
39,1870,4,0.0
31,1880,3,0.0
0,1990,6,7.0
10,2190,12,7.0
1,2280,4,2.0
12,2290,2,2.0
29,2370,3,1.0
47,2380,1,0.0
34,2390,1,0.0
48,2480,3,0.0
28,2490,3,1.0
50,2570,1,0.0
46,2590,2,0.0
36,2670,2,3.0
33,2770,2,4.0
17,2870,1,1.0
22,2880,4,0.0
32,2890,4,2.0
49,2970,1,0.0
42,2980,3,0.0
44,3070,1,0.0
43,3080,2,2.0
23,3095,1,0.0
8,3170,1,0.0
25,3180,3,2.0
18,3291,11,6.0
4,3365,3,8.0
27,3370,1,1.0
21,3380,6,2.0
11,3390,12,18.0
20,3470,2,0.0
6,3490,13,3.0
9,3570,35,14.0
2,3580,9,8.0
45,3875,1,0.0
24,3895,4,4.0
7,3960,8,12.0
14,3970,3,0.0
3,3980,8,2.0
15,3990,6,6.0
