,feature,divergence
22,PWGTP,17.064444836085727
23,WGTP,13.905759091844372
10,DENSITY,2.119717677241337
14,PINCP,0.3721942388413422
1,AGEP,0.24818414377579123
0,PUMA,0.12007311136471138
11,INDP,0.11684830229273968
16,POVPIP,0.029623699715243534
3,MSP,0.027319310564394288
7,NPF,0.024700308724715153
5,RAC1P,0.01817691593385342
15,PINCP_DECILE,0.01768656525762452
13,EDU,0.01718693371199731
12,INDP_CAT,0.014601929989912922
6,NOC,0.012375101857500787
17,DVET,0.0032332143328907903
4,HISP,0.0019641328781166817
9,OWN_RENT,0.0016741032624585372
2,SEX,0.0009686801164076053
8,HOUSING_TYPE,0.0008418592120748546
19,DPHY,0.0007236058493670441
18,DREM,0.0006980835669960425
21,DEAR,7.891517792559671e-05
20,DEYE,7.736495875905122e-05
