PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
24-01004,62,2,1.0,0,1,0.0,2.0,1,1,4187.9,7270.0,10.0,11.0,262000.0,9.0,501.0,N,2.0,2.0,2,2,68,68
40-00200,11,2,N,3,1,5.0,8.0,1,2,90.7,N,N,3.0,N,N,103.0,N,2.0,2.0,2,2,131,198
32-00405,42,1,5.0,1,1,0.0,4.0,1,1,7990.5,770.0,3.0,4.0,37000.0,6.0,417.0,N,2.0,2.0,2,2,36,37
40-00200,76,1,1.0,0,1,0.0,2.0,1,1,90.7,N,N,4.0,75500.0,9.0,501.0,2.0,2.0,2.0,1,2,79,98
30-00600,66,2,4.0,0,1,0.0,N,1,1,16.3,4090.0,5.0,9.0,49000.0,7.0,483.0,N,2.0,2.0,2,2,18,18
06-08507,50,2,1.0,0,1,1.0,3.0,1,1,3305.1,7380.0,10.0,9.0,243000.0,9.0,501.0,N,2.0,2.0,2,2,62,61
06-08507,12,1,N,0,6,3.0,6.0,1,1,3305.1,N,N,3.0,N,N,501.0,N,2.0,2.0,2,2,69,76
28-01100,52,2,1.0,0,2,0.0,2.0,1,1,2674.3,N,N,5.0,9500.0,3.0,288.0,N,2.0,2.0,2,2,104,124
24-01004,16,1,6.0,0,1,1.0,3.0,1,1,4187.9,N,N,4.0,0.0,0.0,501.0,N,2.0,2.0,2,2,51,59
24-01004,59,2,1.0,0,1,1.0,3.0,1,1,4187.9,7970.0,12.0,11.0,552000.0,9.0,501.0,N,2.0,2.0,2,2,55,56
51-51255,35,1,5.0,0,2,0.0,N,1,2,11224.3,9470.0,16.0,7.0,36800.0,5.0,289.0,N,2.0,2.0,2,2,211,211
06-08507,23,1,6.0,0,6,0.0,4.0,1,1,3305.1,N,N,9.0,0.0,0.0,501.0,N,2.0,2.0,2,2,34,35
19-01700,51,2,6.0,0,1,0.0,N,1,1,3572.3,6380.0,7.0,8.0,48000.0,7.0,366.0,N,2.0,2.0,2,2,135,136
17-03529,73,1,6.0,0,2,0.0,3.0,1,1,15097.5,N,N,3.0,23000.0,4.0,200.0,N,2.0,2.0,2,2,42,37
01-01301,41,2,4.0,0,2,0.0,N,1,1,2731.2,7580.0,10.0,7.0,440.0,1.0,5.0,N,2.0,2.0,2,2,148,148
06-08507,63,1,1.0,0,1,0.0,2.0,1,1,3305.1,7870.0,11.0,12.0,123000.0,9.0,501.0,N,2.0,2.0,2,2,55,55
30-00600,5,1,N,0,1,1.0,2.0,1,2,16.3,N,N,2.0,N,N,164.0,N,2.0,2.0,2,2,22,56
24-01004,69,2,1.0,0,1,0.0,2.0,1,1,4187.9,N,N,9.0,65400.0,6.0,501.0,N,2.0,2.0,2,2,70,70
30-00600,20,1,6.0,0,1,1.0,4.0,1,1,16.3,8680.0,14.0,4.0,800.0,0.0,236.0,N,2.0,2.0,2,2,40,40
19-01700,4,2,N,0,1,4.0,6.0,1,1,3572.3,N,N,2.0,N,N,214.0,N,N,N,2,2,108,129
51-51255,39,1,1.0,0,1,0.0,2.0,1,2,11224.3,7072.0,9.0,10.0,283000.0,9.0,501.0,N,2.0,2.0,2,2,98,98
24-01004,25,2,6.0,0,8,0.0,4.0,1,2,4187.9,7680.0,10.0,8.0,20000.0,3.0,246.0,N,2.0,2.0,2,2,191,124
51-01301,50,1,1.0,0,1,0.0,3.0,1,1,11162.8,9590.0,16.0,12.0,100000.0,8.0,501.0,N,2.0,2.0,2,2,101,101
30-00600,4,2,N,0,1,1.0,3.0,1,1,16.3,N,N,2.0,N,N,44.0,N,N,N,2,2,22,27
28-01100,24,2,6.0,0,2,0.0,7.0,1,1,2674.3,8660.0,14.0,6.0,3300.0,1.0,165.0,N,2.0,2.0,2,2,41,44
13-04600,26,2,6.0,0,2,0.0,5.0,1,1,3670.4,7860.0,11.0,7.0,35000.0,6.0,289.0,N,2.0,2.0,2,2,126,76
40-00200,8,1,N,0,3,1.0,4.0,1,1,90.7,N,N,3.0,N,N,59.0,N,2.0,2.0,2,2,125,221
40-00200,83,2,3.0,0,3,0.0,N,1,1,90.7,N,N,7.0,6400.0,2.0,49.0,N,2.0,2.0,2,2,35,35
30-00600,60,1,1.0,0,1,0.0,2.0,1,1,16.3,180.0,0.0,7.0,73000.0,8.0,501.0,N,2.0,2.0,2,2,18,18
06-08507,44,2,1.0,0,6,1.0,3.0,1,1,3305.1,7071.0,9.0,9.0,60000.0,7.0,501.0,N,2.0,2.0,2,2,129,96
38-00100,6,2,N,0,1,3.0,5.0,1,2,73.0,N,N,3.0,N,N,383.0,N,2.0,2.0,2,2,12,26
26-02702,20,2,6.0,0,9,0.0,N,1,2,4817.2,7870.0,11.0,5.0,14000.0,3.0,100.0,N,2.0,2.0,2,2,245,226
01-01301,13,1,N,0,2,0.0,6.0,1,1,2731.2,N,N,3.0,N,N,75.0,N,2.0,2.0,2,2,31,3
28-01100,22,2,6.0,0,1,N,N,3,0,2674.3,N,N,7.0,0.0,0.0,N,N,2.0,2.0,2,2,11,0
40-00200,48,1,6.0,0,1,0.0,3.0,1,1,90.7,8680.0,14.0,9.0,14500.0,3.0,209.0,N,2.0,2.0,2,2,112,147
13-04600,39,1,1.0,0,1,3.0,5.0,1,1,3670.4,2290.0,4.0,10.0,55000.0,7.0,259.0,N,2.0,2.0,2,2,118,115
06-08507,44,1,1.0,1,8,2.0,4.0,1,2,3305.1,8660.0,14.0,7.0,25000.0,4.0,128.0,N,2.0,2.0,2,2,66,66
08-00803,43,1,1.0,0,6,2.0,4.0,1,1,3393.2,7380.0,10.0,9.0,47400.0,6.0,348.0,N,2.0,2.0,2,2,106,106
29-01901,57,1,6.0,0,2,0.0,2.0,1,2,5434.8,N,N,4.0,14700.0,3.0,93.0,N,1.0,2.0,2,2,45,57
24-01004,78,2,1.0,0,1,0.0,2.0,1,1,4187.9,N,N,11.0,377200.0,9.0,501.0,N,2.0,2.0,2,2,55,56
19-01700,54,2,6.0,0,1,0.0,N,1,1,3572.3,N,N,7.0,9500.0,2.0,76.0,N,1.0,2.0,2,2,130,130
24-01004,46,1,1.0,0,1,2.0,4.0,1,1,4187.9,7270.0,10.0,11.0,150000.0,9.0,501.0,N,2.0,2.0,2,2,111,112
51-51255,25,2,6.0,0,1,0.0,N,1,2,11224.3,9680.0,17.0,10.0,85000.0,8.0,501.0,N,2.0,2.0,2,2,91,91
36-04010,76,2,3.0,0,2,0.0,N,1,1,50441.6,N,N,4.0,18500.0,3.0,147.0,N,2.0,1.0,2,2,30,31
17-03529,73,2,3.0,0,2,0.0,2.0,1,2,15097.5,N,N,5.0,8800.0,2.0,165.0,N,2.0,2.0,1,2,48,48
36-03710,33,2,6.0,0,2,N,N,3,0,52864.7,N,N,7.0,6000.0,2.0,48.0,N,1.0,2.0,2,2,15,0
24-01004,64,2,1.0,0,1,0.0,2.0,1,1,4187.9,N,N,11.0,200080.0,9.0,501.0,N,2.0,2.0,2,2,54,112
24-01004,57,2,1.0,0,1,2.0,4.0,1,1,4187.9,6180.0,7.0,9.0,120000.0,8.0,501.0,N,2.0,2.0,2,2,93,102
17-03529,85,2,6.0,0,2,0.0,N,1,1,15097.5,N,N,5.0,20800.0,4.0,173.0,N,2.0,2.0,2,2,44,44
36-03710,15,1,6.0,0,2,N,N,3,0,52864.7,N,N,4.0,0.0,0.0,0.0,N,2.0,2.0,2,2,98,0
17-03531,76,2,3.0,0,2,0.0,2.0,1,1,11171.6,6880.0,9.0,10.0,71200.0,8.0,501.0,N,2.0,1.0,1,2,92,92
06-08507,29,2,6.0,0,6,0.0,3.0,1,1,3305.1,7870.0,11.0,10.0,19000.0,4.0,501.0,N,2.0,2.0,2,2,63,73
29-01901,68,2,4.0,0,2,0.0,3.0,1,2,5434.8,9160.0,15.0,3.0,13000.0,3.0,104.0,N,2.0,2.0,2,2,46,46
40-00200,27,2,6.0,0,1,0.0,3.0,1,1,90.7,8470.0,13.0,7.0,4900.0,2.0,501.0,N,2.0,2.0,2,2,42,41
17-03529,64,1,5.0,0,2,0.0,N,1,2,15097.5,N,N,4.0,6600.0,1.0,59.0,N,2.0,1.0,2,2,117,117
38-00100,45,2,1.0,0,1,0.0,2.0,1,1,73.0,9470.0,16.0,9.0,36400.0,5.0,484.0,N,2.0,2.0,2,2,39,39
17-03529,67,2,4.0,0,1,0.0,N,1,2,15097.5,N,N,9.0,52000.0,7.0,433.0,N,2.0,2.0,2,2,84,84
08-00803,19,1,6.0,0,1,N,N,3,0,3393.2,8680.0,14.0,5.0,1500.0,1.0,N,N,2.0,2.0,2,2,44,0
17-03529,11,1,N,0,2,0.0,6.0,1,1,15097.5,N,N,3.0,N,N,302.0,N,2.0,2.0,2,2,153,141
51-01301,77,1,1.0,0,1,0.0,2.0,1,1,11162.8,7390.0,10.0,12.0,182000.0,9.0,501.0,N,2.0,2.0,2,2,89,89
19-01700,82,1,3.0,0,1,0.0,N,1,2,3572.3,N,N,6.0,46000.0,7.0,399.0,N,2.0,2.0,2,2,177,177
30-00600,59,2,3.0,0,1,0.0,4.0,1,1,16.3,6870.0,9.0,7.0,79000.0,8.0,501.0,N,2.0,2.0,2,2,70,44
51-51255,84,2,3.0,0,1,0.0,N,1,1,11224.3,N,N,10.0,6700.0,1.0,48.0,N,2.0,2.0,2,2,61,61
19-01700,19,1,6.0,0,1,0.0,N,1,2,3572.3,7870.0,11.0,7.0,5000.0,1.0,38.0,N,2.0,2.0,2,2,87,176
08-00803,32,1,1.0,1,1,0.0,2.0,1,2,3393.2,8680.0,14.0,7.0,24000.0,4.0,484.0,N,2.0,2.0,2,2,312,198
30-00600,54,2,1.0,0,1,0.0,2.0,1,1,16.3,N,N,9.0,2500.0,1.0,280.0,N,2.0,2.0,2,2,150,150
24-01004,18,2,6.0,0,1,1.0,2.0,1,1,4187.9,N,N,4.0,0.0,0.0,501.0,N,2.0,2.0,2,2,73,61
24-01004,71,2,1.0,0,1,0.0,2.0,1,1,4187.9,N,N,12.0,91500.0,8.0,501.0,N,2.0,2.0,2,2,140,141
30-00600,72,1,1.0,0,3,0.0,3.0,1,1,16.3,N,N,10.0,46900.0,7.0,358.0,2.0,2.0,2.0,2,2,24,31
29-01901,13,2,N,0,2,2.0,4.0,1,2,5434.8,N,N,3.0,N,N,113.0,N,2.0,2.0,2,2,265,269
24-01004,13,1,N,0,1,3.0,5.0,1,1,4187.9,N,N,3.0,N,N,501.0,N,2.0,2.0,2,2,64,68
08-00803,58,1,1.0,0,1,0.0,2.0,1,1,3393.2,7270.0,10.0,11.0,264600.0,9.0,501.0,N,2.0,2.0,2,2,146,146
51-01301,43,2,1.0,0,1,0.0,2.0,1,2,11162.8,N,N,9.0,0.0,0.0,468.0,N,2.0,2.0,2,2,115,119
17-03529,42,1,6.0,0,2,N,N,3,0,15097.5,N,N,6.0,0.0,0.0,0.0,N,2.0,2.0,2,2,52,0
19-01700,86,2,3.0,0,1,0.0,2.0,1,2,3572.3,N,N,4.0,6100.0,1.0,83.0,N,2.0,1.0,2,1,69,69
51-01301,62,1,1.0,0,1,0.0,2.0,1,1,11162.8,7670.0,10.0,9.0,120200.0,8.0,501.0,N,2.0,2.0,2,2,91,91
06-08507,10,1,N,0,6,2.0,4.0,1,1,3305.1,N,N,3.0,N,N,501.0,N,2.0,2.0,2,2,133,139
32-00405,4,1,N,1,1,5.0,6.0,1,2,7990.5,N,N,1.0,N,N,11.0,N,N,N,2,2,108,111
19-01700,61,2,1.0,0,1,0.0,3.0,1,1,3572.3,5170.0,6.0,5.0,4000.0,1.0,154.0,N,2.0,2.0,2,2,101,100
38-00100,57,1,1.0,0,1,0.0,2.0,1,1,73.0,770.0,3.0,5.0,69000.0,8.0,501.0,N,2.0,2.0,2,2,26,26
38-00100,19,2,6.0,0,1,0.0,3.0,1,1,73.0,5391.0,6.0,5.0,15400.0,3.0,489.0,N,2.0,2.0,2,2,67,68
