,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,51,2,7,2,2,2,N,8,0,1,6380,7,6,0,N,1,48000.0,7,366,19-01700,135,1,2,136,60,2,7,2,1,2,N,1,6190,0,N,34000.0,5,257,275,275,50.0
1,24,2,7,2,2,2,N,6,0,1,8660,14,6,0,7,1,3300.0,1,165,28-01100,41,2,2,44,27,2,7,2,2,2,N,1,8680,0,9,7500.0,2,180,87,86,50.0
2,59,2,0,2,2,2,N,7,0,1,6870,9,3,0,4,1,79000.0,8,501,30-00600,70,1,2,44,57,2,0,2,2,2,N,1,6870,0,N,56000.0,7,421,49,49,56.25
3,46,2,8,2,2,2,N,5,0,1,5080,6,1,2,4,2,52000.0,6,501,24-01004,55,1,1,53,27,2,8,2,2,2,N,1,4870,0,2,0.0,0,364,51,50,43.75
4,52,2,8,2,2,2,N,7,0,1,7390,10,1,3,5,1,347000.0,9,501,24-01004,13,1,1,38,54,2,8,2,2,2,N,1,7380,0,2,150050.0,9,501,13,14,62.5
5,62,2,10,2,2,2,N,7,0,1,6180,7,1,0,4,1,28000.0,4,501,17-03531,305,2,2,330,62,2,10,2,2,2,N,1,6370,0,3,42000.0,6,501,137,161,62.5
6,68,2,9,2,2,2,N,7,0,1,N,N,4,1,4,1,0.0,0,367,32-00405,92,1,1,31,65,2,9,2,1,1,N,1,N,0,N,12400.0,2,101,55,55,37.5
7,13,2,0,2,2,2,N,3,1,1,N,N,N,2,3,2,N,N,137,38-00100,26,3,1,12,12,2,0,2,2,2,N,1,N,1,5,N,N,122,171,104,62.5
8,4,2,7,2,N,N,N,2,0,1,N,N,N,3,5,2,N,N,178,19-01700,190,2,1,171,6,2,7,2,2,2,N,1,N,2,3,N,N,64,336,759,50.0
9,15,2,7,2,2,2,N,3,0,1,N,N,6,3,5,1,0.0,0,501,08-00803,108,1,2,99,15,2,7,2,2,2,N,1,N,1,3,15000.0,3,501,76,99,68.75
10,70,2,12,2,2,2,N,4,0,1,2880,4,1,0,2,2,4300.0,2,501,06-07502,92,6,2,93,62,2,12,2,2,2,N,1,1190,0,2,12000.0,3,129,92,92,62.5
11,61,2,9,2,2,2,N,4,1,1,2380,4,1,0,2,2,52000.0,7,365,32-00405,67,1,1,66,44,2,9,2,2,2,N,1,2590,2,4,60000.0,7,279,46,46,50.0
12,36,2,7,2,2,2,N,8,0,1,8680,14,1,0,2,2,30000.0,6,180,28-01100,83,2,2,83,52,2,7,2,2,2,N,1,8660,0,3,16000.0,4,216,61,55,50.0
13,14,2,12,2,2,2,N,3,3,1,N,N,N,3,5,2,N,N,501,06-07502,98,1,1,105,12,2,12,2,2,2,N,1,N,3,5,N,N,371,302,194,75.0
14,35,2,11,2,2,2,N,10,0,1,6870,9,6,0,N,2,80000.0,8,501,17-03529,63,6,2,129,28,2,11,2,2,2,N,1,6991,0,N,48000.0,6,364,57,57,56.25
15,76,2,10,2,2,2,N,9,0,1,5593,6,6,0,N,1,60600.0,6,501,51-01301,95,1,2,95,23,2,10,2,2,2,N,1,5170,0,3,30600.0,4,501,119,144,56.25
16,82,2,7,2,2,2,N,12,0,1,N,N,3,0,2,1,125600.0,9,501,06-08507,100,1,2,100,88,2,7,2,1,2,N,1,N,0,N,84200.0,8,501,72,73,56.25
17,27,2,8,2,2,2,N,9,0,1,8470,13,6,0,N,1,15900.0,3,113,26-02702,78,1,2,64,27,2,8,2,2,2,N,1,8370,0,N,40000.0,6,304,77,161,62.5
18,18,2,7,2,2,1,N,4,0,1,7870,11,6,1,3,1,730.0,1,501,06-08507,102,9,2,101,17,2,7,2,2,2,N,1,7860,3,5,1000.0,1,501,214,254,50.0
19,24,2,9,2,2,2,N,4,0,1,8660,14,6,0,4,2,11400.0,2,147,32-00405,193,1,2,72,56,2,9,2,2,2,N,1,8590,0,N,40000.0,6,302,132,132,50.0
