,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,-0.0009673711040585828,-0.0047343725265300675,-0.005454011551280308,0.012925544353104779,-0.01757813625435524,0.003759195838367285,0.004074671882503295,0.0053859958026578406,-0.005284299081489672,0.0021205348877204105,-0.0026882516860269774,-0.006760334225767675,-0.004836072669657104,-0.004733154589497999,-0.0018400434237855652,-0.0013258876973217919,-0.007658645204588721,-0.007715314490462922
AGEP,-0.0009673711040585828,-2.220446049250313e-16,-0.0003749710994932834,-0.011624692177082056,0.01591080796274473,0.02494701419463255,0.006758216964649899,0.004551061067685103,-0.022367201657175324,0.013824426690840955,0.006450584046074843,-0.0033734522046810073,0.007226529363894785,0.015965636772641012,0.010187814582356486,-0.01916373734672891,-0.009803534745864524,-0.005093826838043783,-0.013149994710006302
SEX,-0.0047343725265300675,-0.0003749710994932834,0.0,0.012160363934150587,-0.00019251514886620223,-0.005241070992636699,-0.016457780240907566,-0.011810163360979729,0.007812074333541849,0.0006626946529056377,-0.0021428433162993497,-0.0039028513592231223,-0.008373631397905017,-0.00024848904476769407,-0.0033954158042309446,-0.0006834096971922374,0.012319207700776953,-0.008371914837446481,-0.011259431415706324
MSP,-0.005454011551280308,-0.011624692177082056,0.012160363934150587,0.0,0.01252252686964756,0.01626013276492247,-0.014473494880432203,-0.014376125798358397,0.01105952545622807,-0.0003424211724802201,0.0031461817813824428,-0.0029076412982134425,-0.011843163857976902,-0.015331421060030825,-0.0032284450347609354,0.0009942585629680034,-0.005669574887972484,-0.0034303853324750277,0.0074657787902311645
HISP,0.012925544353104765,0.01591080796274473,-0.00019251514886620223,0.012522526869647556,2.220446049250313e-16,0.01188524830115241,-0.01680266607878543,-0.008595551132986531,0.003074705927778478,0.012137656264766247,0.023331791776703914,0.0057412768408226225,0.007853291618451386,0.002847926184216032,0.007418278722993922,0.0010125550128843482,-0.006158178787864334,-0.006702066622351918,-0.012722211998544845
RAC1P,-0.01757813625435524,0.024947014194632564,-0.005241070992636699,0.01626013276492247,0.011885248301152423,0.0,-0.022693090230429515,-0.019539847082165843,0.011666846605313903,0.0009041219982314219,0.010096795824985932,0.0035068623744875307,0.012816850557315546,0.017783956302777473,-0.002603950348112182,0.008800874353846758,0.012388170835020786,0.0019910388789916716,2.1877294075579867e-05
NOC,0.0037591958383672783,0.006758216964649899,-0.016457780240907563,-0.014473494880432203,-0.016802666078785423,-0.022693090230429508,0.0,0.013897652136074967,-0.01032140942253762,0.0009288415879647183,-0.000266189034928338,0.006735302253047526,-0.004554136176210838,0.0028072636552195773,-0.0011133548101252902,-0.005229166305418864,0.000588428185934721,-0.0022906740821001387,0.0032374003245401878
NPF,0.004074671882503281,0.004551061067685103,-0.011810163360979729,-0.014376125798358452,-0.008595551132986518,-0.019539847082165843,0.013897652136075078,2.220446049250313e-16,-0.006669810098708595,-0.0059974135331250945,0.0042645197873342755,-0.0002356889756428976,-0.0017668651881738162,0.007399816933012809,0.006352795788146615,-0.0004062488201204695,0.005458357380111006,0.0010778380427042267,-0.003936906193515569
HOUSING_TYPE,0.0053859958026578406,-0.022367201657175317,0.007812074333541849,0.01105952545622807,0.003074705927778478,0.011666846605313901,-0.01032140942253762,-0.00666981009870854,0.0,-0.010887056241431214,-0.010650893172485194,-0.002810707667600165,0.0011619321407583955,-0.0085063596705338,-0.011711302424737459,0.006811507575299441,0.0010183883800067989,0.005647716557663055,0.002684342214597176
OWN_RENT,-0.005284299081489668,0.01382442669084094,0.0006626946529056377,-0.00034242117248021314,0.012137656264766206,0.0009041219982314219,0.000928841587964746,-0.0059974135331250945,-0.01088705624143127,1.1102230246251565e-16,0.017687096908523797,0.011833106517086939,0.013878752088000573,0.01687612100218957,-0.012172806125295513,0.01683165507709911,0.01881983354871526,0.0022649682545465236,0.011886674797271096
