,feature,divergence
23,WGTP,1.231040295829028
1,AGEP,1.2228723827720724
22,PWGTP,1.219115162702332
14,PINCP,0.9416635433584589
15,PINCP_DECILE,0.921313347019763
16,POVPIP,0.7951753442340792
13,EDU,0.3982948383960512
11,INDP,0.26397792195216413
7,NPF,0.12766132077638334
12,INDP_CAT,0.11786474413684271
6,NOC,0.09055764273654816
3,MSP,0.07435732800646831
0,PUMA,0.07375124893077156
5,RAC1P,0.07179550278384451
10,DENSITY,0.04438285334468711
9,OWN_RENT,0.03865191296345988
4,HISP,0.02232988148094939
8,HOUSING_TYPE,0.020878568299472086
19,DPHY,0.016006070185455135
21,DEAR,0.009656910696886435
18,DREM,0.008600641690223634
2,SEX,0.00612130567111091
17,DVET,0.0028387639720630796
20,DEYE,0.0008252291282921445
