,feature,divergence
22,PWGTP,1.304361705227514
23,WGTP,1.112110015575362
1,AGEP,0.5104784519678142
13,EDU,0.2573613265783223
14,PINCP,0.244344799660075
11,INDP,0.2136772210303358
0,PUMA,0.1834800384156231
15,PINCP_DECILE,0.1739518524850876
16,POVPIP,0.09141917085041579
7,NPF,0.0721552871374285
12,INDP_CAT,0.05744871680125109
3,MSP,0.04567574194098581
10,DENSITY,0.032936117936118
5,RAC1P,0.027150311192766164
6,NOC,0.026543931131778074
2,SEX,0.016473332006880725
9,OWN_RENT,0.01258086383439909
18,DREM,0.007876942161506216
8,HOUSING_TYPE,0.005973135643156099
4,HISP,0.005187560585262851
19,DPHY,0.003556467632212311
20,DEYE,0.0028158641785877743
21,DEAR,0.0016597449845113313
17,DVET,0.0014484276199774773
