PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
06-08507,54,1,1,0,6,1,3,1,1,3305.1,7380,10,10,141000,9,501,N,2,2,2,2,84,85
29-01901,27,2,6,0,2,0,N,1,2,5434.8,2190,4,11,100000,9,501,N,2,2,2,2,98,99
38-00100,3,1,N,0,1,1,3,1,2,73,N,N,1,N,N,344,N,N,N,2,2,76,94
51-51255,30,2,1,4,8,0,2,1,2,11224.3,9290,15,5,61000,7,501,N,2,2,2,2,183,162
40-00200,50,2,1,0,3,4,6,1,1,90.7,8090,12,11,217000,9,501,N,2,2,2,2,180,200
17-03529,16,2,6,0,2,1,3,1,2,15097.5,N,N,4,0,0,51,N,2,2,2,2,247,274
28-01100,34,1,6,0,2,0,3,1,1,2674.3,6370,7,5,21800,4,414,N,2,2,2,2,20,17
06-07502,4,1,N,0,9,4,6,1,2,33632.6,N,N,2,N,N,86,N,N,N,2,2,97,78
24-01004,85,1,1,0,1,3,6,1,1,4187.9,N,N,10,0,0,501,N,2,2,2,2,21,33
36-04010,36,2,6,0,2,0,2,1,2,50441.6,8180,12,7,12900,3,137,N,1,2,2,2,50,72
51-01301,3,1,N,4,1,0,8,1,1,11162.8,N,N,N,N,N,501,N,N,N,2,2,97,69
38-00100,4,2,N,0,9,2,5,1,2,73,N,N,1,N,N,96,N,N,N,2,2,39,38
51-01301,1,1,N,0,1,2,4,1,2,11162.8,N,N,N,N,N,501,N,N,N,2,2,125,128
38-00100,54,1,1,0,1,0,2,1,1,73,170,0,7,79000,8,501,N,2,2,2,2,36,36
40-00200,67,1,4,0,2,0,2,1,1,90.7,770,3,5,32800,5,393,N,1,1,1,2,9,13
32-00405,31,2,1,2,9,3,5,1,1,7990.5,570,2,9,2000,1,201,N,2,2,2,2,22,23
06-07502,76,2,4,0,6,0,2,1,2,33632.6,N,N,6,10500,2,86,N,2,2,2,2,52,47
24-01004,59,2,1,4,1,0,2,1,1,4187.9,6770,8,7,15600,3,501,N,2,2,2,2,62,56
38-00100,6,1,N,0,1,3,4,1,1,73,N,N,3,N,N,116,N,2,2,2,2,57,28
13-04600,38,1,6,0,2,0,N,1,1,3670.4,8680,14,7,15700,4,201,N,2,2,2,2,368,368
17-03531,42,1,1,0,2,2,5,1,2,11171.6,6370,7,7,50000,6,152,N,2,2,2,2,93,95
36-04010,15,1,6,0,2,1,2,1,1,50441.6,N,N,4,0,0,39,N,2,2,2,2,52,66
30-00600,62,2,6,0,1,0,N,1,1,16.3,6770,8,7,29900,5,196,N,2,2,2,2,18,18
19-01700,62,1,1,0,6,2,6,1,1,3572.3,3875,4,8,47000,7,177,N,2,2,2,2,121,96
40-00200,27,1,4,0,1,N,N,3,0,90.7,770,3,4,49000,7,N,N,2,2,2,2,12,0
51-51255,56,2,1,0,1,0,2,1,1,11224.3,7890,11,10,90000,8,501,N,2,2,2,2,59,61
17-03529,61,2,6,0,9,0,2,1,1,15097.5,8980,15,7,8000,2,170,N,2,2,2,2,98,57
36-03710,52,1,4,0,2,0,N,1,2,52864.7,7680,10,6,60000,8,456,N,2,2,2,2,187,191
40-00200,1,2,N,0,9,3,5,1,1,90.7,N,N,N,N,N,501,N,N,N,2,2,57,74
17-03531,72,2,4,0,2,0,N,1,1,11171.6,N,N,7,16800,3,137,N,2,1,2,2,79,79
32-00405,29,1,6,0,2,0,N,1,2,7990.5,7870,11,8,25000,4,189,N,2,2,2,2,118,118
29-01901,56,1,4,0,2,0,N,1,1,5434.8,7580,10,7,48200,7,501,2,2,2,2,2,98,105
08-00803,29,1,1,0,1,1,3,1,2,3393.2,3180,4,9,26800,4,149,N,2,2,2,2,67,61
24-01004,0,1,N,0,1,1,3,1,1,4187.9,N,N,N,N,N,501,N,N,N,2,2,56,55
51-01301,7,1,N,0,1,0,7,1,1,11162.8,N,N,3,N,N,324,N,2,2,2,2,74,77
29-01901,24,1,6,0,6,0,N,1,2,5434.8,9920,18,10,2700,1,22,N,2,2,2,2,130,127
30-00600,17,2,6,0,1,0,4,1,1,16.3,N,N,4,500,0,437,N,2,2,2,2,56,15
19-01700,34,1,1,0,1,2,4,1,1,3572.3,8180,12,7,28000,5,454,N,2,2,2,2,124,107
19-01700,9,2,N,0,1,2,3,1,1,3572.3,N,N,3,N,N,N,N,2,2,2,2,148,122
17-03531,46,1,1,0,2,2,4,1,1,11171.6,770,3,7,50000,6,153,N,2,2,2,2,93,109
19-01700,13,1,N,0,1,0,4,1,1,3572.3,N,N,3,N,N,256,N,2,2,2,2,68,73
24-01004,54,2,1,0,1,0,2,1,1,4187.9,7380,10,9,150050,9,501,N,2,2,2,2,37,37
01-01301,56,1,1,0,2,0,3,1,1,2731.2,6190,7,5,10000,2,95,N,2,2,2,2,147,96
24-01004,30,2,1,0,6,0,2,1,2,4187.9,5370,6,10,8000,2,407,N,2,2,2,2,56,51
13-04600,18,1,6,0,2,N,N,3,0,3670.4,N,N,7,0,0,N,N,2,2,2,2,69,0
24-01004,14,2,N,4,8,2,4,1,2,4187.9,N,N,3,N,N,116,N,2,2,2,2,116,100
38-00100,48,2,1,0,1,3,5,1,1,73,N,N,8,0,0,360,N,2,2,2,2,11,13
29-01901,56,2,1,0,2,0,2,1,2,5434.8,N,N,5,0,0,16,N,2,2,2,2,68,59
19-01700,3,1,N,0,2,5,6,1,1,3572.3,N,N,N,N,N,71,N,N,N,2,2,191,254
06-08507,43,2,1,0,6,0,2,1,2,3305.1,7380,10,10,100000,8,501,N,2,2,2,2,79,59
17-03531,15,1,6,0,2,0,4,1,1,11171.6,7580,10,4,4700,1,437,N,2,2,2,2,251,131
