,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,-0.001267486789713796,0.0004798809403747011,-0.003253450500098315,-0.008943613382300791,-0.005574530818484483,0.004215162828169722,0.004157666962133114,0.0034381677801182883,-0.013611982977082923,-0.007704479104880902,-0.004990454736284473,-0.0009375209346832031,-0.000383899504469095,-0.02004033252823341,-0.008844358811416092,0.000708101434368294,0.006093675138139361,-0.003521672819839102
AGEP,-0.001267486789713796,0.0,0.012588898190064611,-0.008388198249101905,-0.0025129762245361398,-2.122569607430902e-05,-0.00032979903184515713,-0.00022211005272398943,-0.003983283941932134,0.014739773987940949,0.0002755281699683993,-0.015775997077961235,-0.01398078563267896,-0.007532383192623893,-0.0031408670207238865,0.007894513871620656,0.0012439579166762926,0.030538810801165564,0.0028155595842449532
SEX,0.00047988094037470196,0.012588898190064604,-1.1102230246251565e-16,-0.001983313740582519,-0.004445482989576985,-0.01382079080341859,0.0007728208647618251,-0.0024867858520684124,0.005934703153057115,-0.020717417283091892,-0.010995460717242372,6.845942336317079e-05,0.0018332381692511106,0.007813772329642095,0.006307246634349145,-0.0015462884677944662,0.005126708814099629,0.004831542908388906,-0.00026183282663262003
MSP,-0.003253450500098315,-0.008388198249101898,-0.001983313740582519,0.0,-0.0007078093216555887,0.005682754069013141,0.008670624311915232,-0.00018686055303834825,-0.0015999708853542127,0.01930970274102766,-0.006454592724231961,-0.004527052467121373,-0.007832528511750037,-0.0024100676954444678,-0.003950492135409156,0.011099495415300503,0.009921728630658266,-0.004111166629348129,0.0009057438721073261
HISP,-0.008943613382300805,-0.0025129762245361398,-0.004445482989576985,-0.0007078093216555878,0.0,-0.009456120430805875,0.0011640475923309496,-0.004629296910121261,-0.0007045691605912221,0.00532267112054656,-0.002350301404428573,0.013380826530495465,0.012597753192616676,0.005870865063909436,0.004563102881508279,-0.0018494279621148225,0.00045297094841453204,0.004376012835560481,0.002086570187788489
RAC1P,-0.005574530818484483,-2.1225696074281264e-05,-0.01382079080341859,0.005682754069013141,-0.009456120430805862,0.0,0.014322568614164383,-0.002453510503968942,-0.0007289594596322354,0.009704005986042985,0.012345505169561816,0.012729469661089565,0.008163312519018112,0.01400956127542849,-0.0012930227644137524,0.008040384942090271,0.017592583255860737,0.011194440517611594,0.003952725616905246
NOC,0.004215162828169729,-0.00032979903184515713,0.000772820864761832,0.008670624311915232,0.0011640475923309496,0.01432256861416438,-1.1102230246251565e-16,6.84998897860778e-05,0.017100297925863595,-0.03150974954173083,0.019556047540459743,0.01771835092986318,0.005970713351200557,-0.0007714239046999194,0.00567106823366037,-0.01856633616887189,-0.01740769754455016,-0.007878780252847148,-0.007361948196450405
NPF,0.004157666962133114,-0.00022211005272404494,-0.0024867858520684124,-0.00018686055303834825,-0.004629296910121247,-0.002453510503968956,6.84998897860778e-05,2.220446049250313e-16,0.014644515637381283,-0.02623366123202417,0.01450388380594525,0.01584992992073915,0.007390219285695471,-0.0027523061298652673,0.006846335700521393,-0.00875682656542806,-0.004313705124450878,-0.0083818504754175,-0.0002020250150148173
HOUSING_TYPE,0.0034381677801182953,-0.00398328394193212,0.005934703153057115,-0.001599970885354185,-0.0007045691605912226,-0.0007289594596322354,0.017100297925863595,0.014644515637381339,-1.1102230246251565e-16,0.02107645704738531,-0.008661098600737417,0.006173808445386779,0.00823580369827822,0.0024795901978138385,-0.004335921165580939,0.012925906401744652,0.025468754312498627,0.006876923659855859,0.02154276956984998
OWN_RENT,-0.01361198297708292,0.014739773987940935,-0.02071741728309189,0.01930970274102766,0.005322671120546574,0.009704005986042985,-0.03150974954173083,-0.02623366123202417,0.021076457047385255,1.1102230246251565e-16,0.00212358401915283,0.005105107589321242,-0.0013548330758116137,0.003754024514641612,0.004103147517968745,-0.005750131797649731,-0.01975206298841258,-0.020703026542477708,-0.0312685969399213
