,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,-1.1102230246251565e-14,-0.000571260951879024,-0.016647659278053686,-0.011629698918302147,-0.023324654249584298,-0.026493960855372874,0.02970908419573165,-0.007476357571466863,-0.017657373504416696,-0.0029699239646979927,-0.026881148829533075,0.006041441516510643,-0.03503403615374931,-0.00954259973929783,-0.026397255643481693,-0.013266401768738811,-0.010809078287700934,0.0336724194274764,-0.0038298077537976677
AGEP,-0.000571260951879024,8.881784197001252e-16,0.01809403421928897,-0.014265645034385661,0.00446034641927727,-0.01926438689086976,-0.03006160260242513,-0.04321325725220007,0.036824652590436685,-0.019759087395035783,-0.007272027881956494,-0.0029490840690337902,0.0003258550246091896,0.0026201268307193826,-0.012825015508598464,-0.0171156478495606,-0.007070894446751436,0.026422032692090883,-0.02943645766933009
SEX,-0.016647659278053686,0.01809403421928897,1.2212453270876722e-15,-0.01797349964740016,-0.008475684140787962,-0.006643344457812812,-0.0014065430330681972,-0.012800633230399035,0.006906960077158034,-0.029329028472701232,-0.020986888166774912,0.006671763040379496,0.011519768932800673,-0.004393611191103708,0.014637256802062314,0.022576694336488526,0.024732877195144352,-0.00030847026526162596,0.016029868019327344
MSP,-0.011629698918302147,-0.014265645034385661,-0.01797349964740016,-7.771561172376096e-16,-0.00858489975826537,0.0010349545016687285,0.013647718596943192,-0.008384853315696827,0.007519686804885128,0.013608826449944503,-0.02641999953740945,0.0073580199362928145,-0.03965746097068834,-0.015349150117473592,-0.005834684062092272,0.005746522688094224,0.010049802278518094,-0.003897462620013825,0.010208625175134859
HISP,-0.023324654249584298,0.00446034641927727,-0.008475684140787962,-0.00858489975826537,-2.220446049250313e-16,-0.030114149777097754,0.008943750296852133,-0.015441223035609429,-0.023775224628475748,-0.0019039909799329346,-0.019510263609280987,0.014651140264149574,-0.01873023232840884,0.00989832388262396,0.0041188644936337,-0.026008403360606825,-0.03005439686089114,0.039220031920445285,-0.005967855118632833
RAC1P,-0.026493960855372874,-0.01926438689086976,-0.006643344457812812,0.0010349545016687285,-0.030114149777097754,4.107825191113079e-15,0.0513390283159532,0.009620861074083248,-0.028338508793471037,0.0025720448068905777,0.00246808025918388,0.030125645499668712,0.017292466191897476,0.0351935014536424,-0.02659154452439237,-0.018862350616653388,-0.016935446796339966,0.01396934453485525,0.005164506094469133
NOC,0.02970908419573165,-0.03006160260242513,-0.0014065430330681972,0.013647718596943192,0.008943750296852133,0.0513390283159532,0.0,-0.007907610154534783,0.01561497305659687,-0.015803742741287874,0.05284862352764873,0.023082630855972744,-0.00447510700103787,0.013865444040129321,0.008655513164648188,-0.02077829233823064,-0.015125640454545258,0.019997188809925508,0.01108356091470275
NPF,-0.007476357571466863,-0.04321325725220007,-0.012800633230399035,-0.008384853315696827,-0.015441223035609429,0.009620861074083248,-0.007907610154534783,-1.7763568394002505e-15,0.024963709199068096,-0.05225748294712704,0.019319466515652972,0.026189468177168204,-0.006263044783142879,-0.006978915269968855,0.005729952855551168,-0.007960307822409862,-0.0029583031737285548,0.03466576203214192,0.0016496401314661513
HOUSING_TYPE,-0.017657373504416696,0.036824652590436685,0.006906960077158034,0.007519686804885128,-0.023775224628475748,-0.028338508793471037,0.01561497305659687,0.024963709199068096,1.1102230246251565e-16,0.018359577263004523,-0.03411936807943769,-0.0007096432820739781,0.024837225050022855,-0.002441883532712477,-0.019042995651727797,0.018286184862139343,0.008098301145743607,-0.01833049626006509,-0.002029758669914221
OWN_RENT,-0.0029699239646979927,-0.019759087395035783,-0.029329028472701232,0.013608826449944503,-0.0019039909799329346,0.0025720448068905777,-0.015803742741287874,-0.05225748294712704,0.018359577263004523,2.1094237467877974e-15,0.009300992599195312,-0.016314412067322953,-0.015527210660847793,-0.013606445282979614,0.023442797261805932,-0.010149006753342592,-0.011230130428019368,-0.0008666526180485176,-0.01877480381419123
