,feature,divergence
23,WGTP,1.490463559429077
22,PWGTP,1.0926553319164893
1,AGEP,1.002950518708474
14,PINCP,0.5182299306476408
11,INDP,0.37121757276556067
15,PINCP_DECILE,0.3267935578330895
16,POVPIP,0.21673596844711332
13,EDU,0.18224666671903703
0,PUMA,0.171991373257385
12,INDP_CAT,0.13576168343970202
3,MSP,0.10994985392505294
2,SEX,0.09738130701266734
10,DENSITY,0.09360328594655076
5,RAC1P,0.09105326955267724
6,NOC,0.06875836673960829
4,HISP,0.06505430136909515
7,NPF,0.058853234590893005
9,OWN_RENT,0.04131610155786747
8,HOUSING_TYPE,0.015371525586293296
20,DEYE,0.008572417697866215
19,DPHY,0.006991759397857504
17,DVET,0.0035937569506446876
18,DREM,0.003071859918104443
21,DEAR,0.003039322034581151
