,Target samples,Deid. samples
0,19,0
1,0,0
2,0,0
3,0,0
4,189,8
5,19,1
6,177,12
7,0,0
8,0,0
9,0,0
10,230,25
11,17,2
12,29,4
13,0,0
14,12,2
15,0,0
16,0,0
17,0,0
18,0,0
19,38,9
20,41,10
21,0,0
22,116,33
23,0,0
24,0,0
25,49,16
26,26,9
27,0,0
28,0,0
29,0,0
30,7,3
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,12,7
38,5,3
39,210,134
40,70,47
41,113,78
42,255,188
43,319,243
44,0,0
45,0,0
46,13,11
47,0,0
48,3019,2794
49,10176,9737
50,5219,5157
51,0,0
52,1270,1366
53,0,0
54,4596,5358
55,0,0
56,3,4
57,5,7
58,0,0
59,0,0
60,0,0
61,538,842
62,16,26
63,0,0
64,0,0
65,0,0
66,64,124
67,88,178
68,146,306
69,18,41
70,10,23
71,0,0
72,0,0
73,0,0
74,92,257
75,1,3
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,12,51
82,0,0
83,0,0
84,0,0
85,14,77
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,57
