,INDP,count_target,count_deidentified
6,4670,75,86
34,4680,5,7
0,4690,36,43
2,4770,42,36
16,4780,5,4
17,4795,49,50
10,4870,59,77
8,4880,26,18
20,4890,28,43
7,4971,189,187
30,4972,31,38
26,4980,22,43
29,4990,9,9
5,5070,66,63
25,5080,38,45
31,5090,50,40
4,5170,124,130
27,5180,15,14
24,5190,16,16
18,5275,57,56
19,5280,5,4
23,5295,5,8
14,5370,17,20
12,5381,44,40
3,5391,154,147
28,5470,14,21
21,5480,14,20
13,5490,21,24
1,5570,15,19
15,5580,32,29
22,5593,52,46
32,5670,4,2
33,5680,8,5
9,5690,13,13
11,5790,41,56
