,feature,divergence
22,PWGTP,1.7784081121885484
23,WGTP,1.3643626841169492
1,AGEP,0.7291402822898889
0,PUMA,0.44840074177623285
14,PINCP,0.3102417312229009
15,PINCP_DECILE,0.27038067694671036
13,EDU,0.14558778315476636
10,DENSITY,0.13982619008052202
11,INDP,0.1292983282419974
16,POVPIP,0.12322380062005137
3,MSP,0.10050685201894881
7,NPF,0.08131292754415309
9,OWN_RENT,0.06561982110039055
2,SEX,0.05173883106166155
12,INDP_CAT,0.0456164636244004
5,RAC1P,0.030155705099109417
6,NOC,0.02407302875362847
18,DREM,0.010537974742775097
19,DPHY,0.01041428271491382
4,HISP,0.007908568565737212
20,DEYE,0.007754262105498351
8,HOUSING_TYPE,0.006822823614478807
17,DVET,0.0007797409273362858
21,DEAR,0.00011837727135077108
