,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,39,2,10,2,2,2,N,7,0,1,N,N,1,0,4,2,34000.0,0,42,32-00405,53.0,1,2,51.0,54,2,9,2,2,2,N,1,N,0,2,0.0,0,0,206,199,56.25
1,69,2,11,2,2,2,N,11,0,1,8090,12,1,0,2,1,5000.0,9,235,17-03529,53.0,6,1,51.0,61,2,11,2,2,2,N,1,8191,0,3,60050.0,7,501,59,60,50.0
2,69,2,10,2,2,2,N,11,0,1,7380,10,1,0,2,2,N,9,226,51-51255,53.0,1,1,51.0,38,2,10,2,2,2,N,1,7270,0,2,150000.0,9,501,60,60,62.5
3,21,2,10,2,2,2,N,7,1,1,7270,10,6,N,4,2,1700.0,0,235,32-00405,53.0,1,2,51.0,42,2,9,2,2,2,N,1,7690,1,6,31600.0,5,175,181,180,37.5
4,10,2,13,2,2,2,N,3,0,1,N,N,N,3,5,1,100010.0,N,289,36-04010,155.0,9,2,51.0,11,2,13,2,2,2,N,1,N,1,6,N,N,501,42,47,56.25
5,64,1,10,2,1,1,N,4,0,1,N,N,1,0,2,2,N,1,334,17-03531,155.0,2,2,153.0,77,1,10,2,2,2,N,1,N,0,2,12000.0,2,224,181,142,50.0
6,71,1,13,2,1,1,N,5,0,2,N,N,2,N,N,0,30000.0,0,N,36-03710,53.0,1,1,51.0,36,2,13,2,2,2,N,2,N,N,N,0.0,0,N,60,0,56.25
7,70,2,10,2,2,2,N,8,0,1,9170,15,1,0,2,1,25000.0,6,501,17-03531,53.0,2,2,51.0,33,2,10,2,2,2,N,1,8980,3,5,6500.0,2,415,48,47,43.75
8,16,2,7,2,2,2,N,4,0,1,5275,6,6,0,5,1,150000.0,6,439,40-00200,53.0,3,2,51.0,18,2,0,2,2,2,N,1,4972,0,4,6000.0,2,214,60,34,43.75
9,21,2,10,2,2,2,N,7,0,1,7860,11,6,1,4,2,55000.0,4,148,32-00405,53.0,1,1,51.0,49,2,9,2,2,2,N,1,7890,0,N,25000.0,4,189,40,40,43.75
10,45,2,7,2,2,2,N,9,0,1,3960,4,6,0,N,1,6000.0,9,343,13-04600,53.0,1,1,51.0,41,2,7,2,2,2,N,1,3895,0,N,132000.0,9,501,50,51,68.75
11,21,2,7,2,2,2,N,7,0,1,490,1,6,0,N,2,14400.0,7,501,30-00600,53.0,1,1,51.0,23,2,0,2,2,2,N,1,490,0,N,70000.0,8,501,49,96,62.5
12,40,2,11,2,2,2,N,4,0,1,N,N,2,0,N,2,47350.0,0,501,17-03529,53.0,2,2,51.0,17,2,11,2,2,1,N,1,N,1,5,0.0,0,51,70,65,50.0
13,75,2,7,2,2,2,N,9,0,1,6370,7,1,0,2,2,45000.0,7,169,26-02702,155.0,1,1,51.0,45,2,8,2,2,2,N,1,6190,1,5,42000.0,6,136,370,370,37.5
14,25,2,7,2,2,2,N,9,0,1,8191,12,6,0,N,2,N,6,501,29-01901,155.0,6,2,153.0,26,2,8,2,2,2,N,1,8191,0,N,50000.0,7,380,87,87,56.25
15,47,2,11,2,2,2,N,9,0,1,2190,4,1,0,4,1,N,9,501,17-03529,155.0,1,2,153.0,34,2,11,2,2,2,N,1,3080,1,3,36800.0,5,429,60,60,43.75
16,45,2,7,2,2,2,N,12,0,1,9590,16,4,0,N,1,50000.0,9,30,24-01004,53.0,6,1,51.0,68,2,8,2,2,2,N,1,9480,0,N,150000.0,9,501,86,86,56.25
17,62,2,7,2,2,2,N,9,0,1,6970,9,1,0,2,2,75000.0,3,501,06-08507,53.0,1,1,51.0,34,2,7,2,2,2,N,1,7072,0,2,571000.0,9,501,126,126,62.5
18,69,2,7,2,2,2,N,7,0,1,3570,6,1,0,8,1,92000.0,3,501,40-00200,53.0,3,1,51.0,41,2,0,2,2,2,N,1,4870,2,4,371000.0,9,501,281,281,43.75
19,68,2,11,2,2,2,N,10,0,1,5391,6,1,0,2,1,0.0,1,342,17-03529,53.0,1,2,51.0,38,2,11,2,2,2,N,1,4770,1,4,95000.0,8,501,44,44,43.75
20,71,2,13,2,2,2,N,8,0,1,N,N,4,0,N,1,60.0,3,501,36-03710,155.0,2,2,153.0,65,2,13,2,2,2,N,1,N,0,3,52900.0,6,501,30,31,62.5
21,44,2,7,2,2,2,N,5,0,1,N,N,5,2,4,2,13200.0,1,86,29-01901,53.0,2,1,51.0,67,2,8,2,2,2,N,1,N,0,N,9100.0,2,74,107,108,43.75
22,34,2,7,2,2,2,N,9,0,1,3365,4,6,0,N,2,4800.0,3,251,28-01100,53.0,2,1,51.0,34,2,7,2,2,2,N,1,3570,0,N,32000.0,6,241,475,475,62.5
23,73,2,7,1,2,2,N,10,0,1,9570,16,1,0,2,1,N,8,501,24-01004,53.0,2,1,51.0,51,2,8,2,2,2,N,1,9370,2,4,156000.0,9,501,244,245,37.5
24,48,2,10,2,2,2,N,10,0,1,N,N,1,0,4,1,66000.0,9,501,51-51255,155.0,2,2,153.0,70,2,10,2,2,2,N,1,N,0,2,30000.0,4,501,82,54,62.5
25,0,2,13,2,1,2,N,4,0,1,N,N,3,0,2,2,59000.0,2,54,36-04010,155.0,2,2,153.0,77,2,13,2,1,2,N,1,N,0,2,9300.0,2,297,55,81,68.75
26,55,2,10,2,2,2,N,9,0,1,5570,10,1,2,3,2,0.0,7,0,51-51255,53.0,6,2,153.0,42,2,10,2,2,2,N,1,7380,1,3,10000.0,2,252,83,59,50.0
27,55,2,7,2,2,2,N,10,0,1,6991,9,1,0,3,1,N,9,458,13-04600,53.0,2,2,51.0,72,2,7,2,2,2,N,1,6870,0,3,60000.0,7,501,32,36,56.25
