,feature,divergence
22,PWGTP,14.678115949083654
23,WGTP,11.240049549026438
10,DENSITY,4.550997325135256
14,PINCP,1.4173557674606974
1,AGEP,1.3974937343358391
16,POVPIP,1.0200309274643073
11,INDP,0.5914145224412128
15,PINCP_DECILE,0.43202451019914523
12,INDP_CAT,0.22749793033178375
13,EDU,0.14312831704136061
6,NOC,0.07553741612196484
0,PUMA,0.06716791979949877
7,NPF,0.06061807851640464
5,RAC1P,0.05555225370995741
3,MSP,0.03636834913336831
9,OWN_RENT,0.02374219162327587
19,DPHY,0.019789395092924704
4,HISP,0.01635105409135003
8,HOUSING_TYPE,0.011636427172752924
18,DREM,0.009237006157017585
20,DEYE,0.005523960469886256
17,DVET,0.005507970829084024
21,DEAR,0.003736301530476653
2,SEX,0.0014132727337633488
