,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,2.3314683517128287e-15,0.04429159588258986,0.0032342150242424417,0.007177675698509495,0.0035094988740749233,-0.012227338949085682,-0.008833339397763498,-0.008837429816813971,0.015830935798003154,-0.004047811271045865,0.3689840511347865,-0.04597158746635131,0.00547380651760869,-0.022751999811814333,-0.0331710874085097,0.0019632378928806614,0.004539810395013742,-0.00279145215565368,0.002401035468739884
AGEP,0.04429159588258986,-5.551115123125783e-16,0.004130853732695949,0.0003407486100578949,0.015762432240096574,0.022612939087275408,0.07690660867849675,0.023923435305012952,0.014799440995487134,0.007552488092022094,-0.03335400501884169,0.12697842005757748,-0.01378282011857368,-0.018854095427002004,-0.09207027553943936,0.003148205019713024,0.01573929965120391,0.06681172019325704,0.12161934676583404
SEX,0.0032342150242424417,0.004130853732695949,0.0,0.0006441794792372921,-0.01281838391875407,-0.004676599708425697,-0.023782240315372925,0.0039326556554343545,0.009792830277162802,-0.005835406601685203,-0.00909329601593323,-0.005346467907916638,-0.007100090648789699,0.0035162396701045595,-0.00033549789828940524,-0.01761907359582706,8.586453596986284e-05,-0.004975733821694989,-0.0026989668136357878
MSP,0.007177675698509495,0.0003407486100578949,0.0006441794792372921,0.0,-0.008425761111433483,0.003889101993778458,0.009352505673000278,0.018559342996826433,-0.01286508887626131,0.002080879286867808,-0.05109597961724305,-0.00491634526872009,-0.00818752989996574,-0.0003655277430046344,0.01860882213891713,0.00011941186228714429,0.0005021288711725136,0.014820509566385694,-0.024129539120922937
HISP,0.0035094988740749233,0.015762432240096574,-0.01281838391875407,-0.008425761111433483,3.6637359812630166e-15,0.0025266997791820733,0.00807589455530243,-0.025722583461875698,0.0072652885004176795,-0.0021704282730766467,0.04953118176157317,-0.024763107944864478,0.006025554515660003,-0.0018919564146567674,0.021008359774801037,-0.00022974093236317016,-0.006443692868838894,-0.0049573996449943395,-0.014726480352063292
RAC1P,-0.012227338949085682,0.022612939087275408,-0.004676599708425697,0.003889101993778458,0.0025266997791820733,0.0,0.02617216741274722,0.025072496911934472,0.001882100037367173,-0.0012103731728026201,0.008835776192968714,0.005405391010367747,0.008877727653913703,0.0007204721573799977,0.02420680972774645,-0.02327017369803213,-0.024733875167276348,-0.00205633362794314,-0.022907165541477946
NOC,-0.008833339397763498,0.07690660867849675,-0.023782240315372925,0.009352505673000278,0.00807589455530243,0.02617216741274722,0.0,-0.0471950273123346,0.026980603159346805,-0.013025409047148773,0.07450425302641252,-0.03418566727385988,0.00991990518031105,0.0059592162835063744,0.02656322117863532,0.001971209845216787,-0.0008814918342260336,-0.016470054223348823,-0.016889914276427928
NPF,-0.008837429816813971,0.023923435305012952,0.0039326556554343545,0.018559342996826433,-0.025722583461875698,0.025072496911934472,-0.0471950273123346,0.0,0.018762273569244148,-0.007915546694104797,0.06762328144440186,-0.03745209416670536,0.01394658527757986,0.004751112879579356,0.015783780955714935,0.0032821478051816566,0.0025549272137729284,-0.02080924004598987,-0.007402984858248876
HOUSING_TYPE,0.015830935798003154,0.014799440995487134,0.009792830277162802,-0.01286508887626131,0.0072652885004176795,0.001882100037367173,0.026980603159346805,0.018762273569244148,-1.9984014443252818e-15,0.015166980616761139,-0.04212539116376683,-0.01809760038309583,-0.012518013733766858,-0.00023695068575060874,0.02510040420799327,-0.0009405904022400241,-0.004240498108591298,-0.014300646602885289,-0.0009609852477124158
OWN_RENT,-0.004047811271045865,0.007552488092022094,-0.005835406601685203,0.002080879286867808,-0.0021704282730766467,-0.0012103731728026201,-0.013025409047148773,-0.007915546694104797,0.015166980616761139,7.771561172376096e-16,0.032071570462412324,0.007494513081147375,0.00684717086012708,2.0229750831761428e-05,-0.0028561430698585194,0.013725149917509005,0.012589982334787118,0.043358344117745536,-0.005114739585384633
DENSITY,0.3689840511347865,-0.03335400501884169,-0.00909329601593323,-0.05109597961724305,0.04953118176157317,0.008835776192968714,0.07450425302641252,0.06762328144440186,-0.04212539116376683,0.032071570462412324,-3.1086244689504383e-15,-0.08183916969783607,-0.13200950594928074,-0.08726322612547631,0.037843041245581986,-0.030978877499104163,-0.04345210876370066,-0.019013045423710722,-0.06835642491670631
