,INDP,count_target,count_deidentified
6,4670,75,61.0
34,4680,5,0.0
0,4690,36,27.0
2,4770,42,28.0
16,4780,5,6.0
17,4795,49,32.0
10,4870,59,48.0
8,4880,26,11.0
20,4890,28,18.0
7,4971,189,178.0
30,4972,31,26.0
26,4980,22,5.0
29,4990,9,0.0
5,5070,66,57.0
25,5080,38,36.0
31,5090,50,32.0
4,5170,124,102.0
27,5180,15,12.0
24,5190,16,27.0
18,5275,57,44.0
19,5280,5,0.0
23,5295,5,0.0
14,5370,17,2.0
12,5381,44,41.0
3,5391,154,147.0
28,5470,14,0.0
21,5480,14,5.0
13,5490,21,7.0
1,5570,15,7.0
15,5580,32,27.0
22,5593,52,48.0
32,5670,4,4.0
33,5680,8,0.0
9,5690,13,6.0
11,5790,41,30.0
