,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,0.010219247389553265,-0.001343755641796087,-0.012990668558457624,0.040942687312395754,0.03394395009338422,-0.029585513098263988,-0.004148472137410486,0.021994262354736116,-0.024471003067448482,-0.00029925787692464123,-0.03235073663188718,-0.013687869248127465,0.01096892319055116,0.03325050752778164,-0.0011577706813771188,-0.00552240442527906,-0.00689848601872661,-0.016625546814883777
AGEP,0.010219247389553265,1.3322676295501878e-15,-0.012967213684059696,-0.004919929062347728,0.026026472165953503,0.03525280432730227,0.010723105859923865,0.04066604429227294,-0.07221648823500827,0.06052676332444268,0.00538355756707358,-0.007538578157774249,-0.021610979121946983,0.01242708164322992,0.026312056632104563,-0.04247287978600023,-0.04766934528375255,-0.015531458896546446,-0.03209400769500295
SEX,-0.001343755641796087,-0.012967213684059696,0.0,-0.0004107224510403306,-0.008110123932618566,-0.030541038223785164,-0.024255098703709194,0.0027516829555136804,-0.00028774262197189815,-0.000584028814042209,0.008811587326888134,-0.01062427380210812,-0.02578675142047887,0.012984594488148189,-0.015436881439613012,0.04889759404209889,0.0522317184791136,0.005956021188158385,0.01665640186156691
MSP,-0.012990668558457624,-0.004919929062347728,-0.0004107224510403306,0.0,0.022566720829579306,0.03369331839589546,-0.052663536944918266,-0.04601308341818727,0.051609124793032785,-0.04568587368534975,-0.019898278528823265,-0.00432674627045615,0.016939858181418688,0.0015551028793739374,-0.004900650577188376,-0.03230515014218893,-0.04019479097027423,-0.03189589859103194,0.0015244169434482445
HISP,0.040942687312395754,0.026026472165953503,-0.008110123932618566,0.022566720829579306,0.0,0.04269802185033095,-0.01671817243756748,-0.011425390561935346,0.007751967576506128,-0.032530020593838666,0.051826675922507004,0.018389273608043214,0.0030659590590010055,0.010921418533268931,0.014300939107600774,-0.00013275263265763535,-0.0006865265299085951,0.02962418209717899,-0.008537131331537127
RAC1P,0.03394395009338422,0.03525280432730227,-0.030541038223785164,0.03369331839589546,0.04269802185033095,0.0,-0.01769567169275182,-0.010763868438899843,0.026935074819259865,-0.04187124586954605,0.04497713424039146,0.025200535594395924,-0.0033158680834814575,0.03832526009406409,-0.01011096486136348,0.03224119183406622,0.03704217887673241,0.02828058515833129,-0.009469219682226132
NOC,-0.029585513098263988,0.010723105859923865,-0.024255098703709194,-0.052663536944918266,-0.01671817243756748,-0.01769567169275182,0.0,0.010404166269805892,-0.028085566425299302,0.03575292816678177,0.00046165502216215584,0.002160517721445959,-0.02909418745860981,0.005838303367212333,-0.004800181377617629,0.0028852568894175146,0.006107867939338263,0.007840241133641276,-0.018211695060606978
NPF,-0.004148472137410486,0.04066604429227294,0.0027516829555136804,-0.04601308341818727,-0.011425390561935346,-0.010763868438899843,0.010404166269805892,-3.552713678800501e-15,-0.024479843218807085,0.03345856723943272,0.012207130169346266,0.01592195513798786,-0.025010080532623047,0.0219239630607507,0.007894432087099723,0.021790412771262008,0.030920035277186425,0.0287975545260047,-0.027202819131109793
HOUSING_TYPE,0.021994262354736116,-0.07221648823500827,-0.00028774262197189815,0.051609124793032785,0.007751967576506128,0.026935074819259865,-0.028085566425299302,-0.024479843218807085,0.0,-0.024075268522400717,-0.02515843478875846,0.008361947528232647,0.06474398782480627,-0.032301395623195034,-0.007759977151885998,0.010516551560407582,0.02795051932034865,0.0020183148792888503,0.04636958762628971
OWN_RENT,-0.024471003067448482,0.06052676332444268,-0.000584028814042209,-0.04568587368534975,-0.032530020593838666,-0.04187124586954605,0.03575292816678177,0.03345856723943272,-0.024075268522400717,-5.88418203051333e-15,0.0015189591338369557,0.012448052241669005,-0.015777340405289234,0.057074801645835574,-0.002178290077040511,-0.009696227667076937,-0.015554469923315689,-0.006468426204192634,-0.0472016871456957
DENSITY,-0.00029925787692464123,0.00538355756707358,0.008811587326888134,-0.019898278528823265,0.051826675922507004,0.04497713424039146,0.00046165502216215584,0.012207130169346266,-0.02515843478875846,0.0015189591338369557,4.9960036108132044e-15,0.010009479036412333,-0.013324507584584172,0.008284406222470939,0.01693031600434726,-0.0197377192293109,-0.012434341147287926,0.010430808430563933,-0.00337713226972456
INDP_CAT,-0.03235073663188718,-0.007538578157774249,-0.01062427380210812,-0.00432674627045615,0.018389273608043214,0.025200535594395924,0.002160517721445959,0.01592195513798786,0.008361947528232647,0.012448052241669005,0.010009479036412333,-5.440092820663267e-15,-0.034303239897173265,-0.016453347182712075,-0.004950132882985313,-0.01473529992537212,-0.01028146603187391,-0.002197272984059598,0.013058228701795807
EDU,-0.013687869248127465,-0.021610979121946983,-0.02578675142047887,0.016939858181418688,0.0030659590590010055,-0.0033158680834814575,-0.02909418745860981,-0.025010080532623047,0.06474398782480627,-0.015777340405289234,-0.013324507584584172,-0.034303239897173265,-1.7763568394002505e-15,-0.03649642541444509,-0.03423018332880189,-0.02945541896395215,-0.028405819037133018,-0.03789099820604716,-0.005459181686541931
PINCP_DECILE,0.01096892319055116,0.01242708164322992,0.012984594488148189,0.0015551028793739374,0.010921418533268931,0.03832526009406409,0.005838303367212333,0.0219239630607507,-0.032301395623195034,0.057074801645835574,0.008284406222470939,-0.016453347182712075,-0.03649642541444509,0.0,-0.028465718005868265,-0.031394544735867225,-0.03634894824049856,-0.016259642923344496,-0.009886765665030932
DVET,0.03325050752778164,0.026312056632104563,-0.015436881439613012,-0.004900650577188376,0.014300939107600774,-0.01011096486136348,-0.004800181377617629,0.007894432087099723,-0.007759977151885998,-0.002178290077040511,0.01693031600434726,-0.004950132882985313,-0.03423018332880189,-0.028465718005868265,0.0,-0.02016050343190037,-0.0015443868749521871,0.04908652144577169,-0.018306161911100877
