,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,1.1102230246251565e-16,-0.0012288027990733363,-0.005660229143269514,-0.006641587596535159,0.0168437103575778,-0.016941953385968427,0.005651503509494962,0.0017157206816587889,0.0040813716755154494,-0.006947050641561106,0.0017883288940910569,-0.005513903054518779,-0.009053494497078943,-0.005695266436075212,-0.004388057839180254,0.0021067846945842135,0.002275888486392652,-0.009100475783768654,-0.008961481061022885
AGEP,-0.0012288027990733363,4.440892098500626e-16,-0.001727537000373057,-0.015564820866042578,0.018074343891673207,0.03118630031175039,-0.0017830709230000075,0.009490933367538534,-0.03019234251465075,0.021612291763760297,0.008750656671528835,-0.0029670102608262,0.006743414128182412,0.015192780312021814,0.01376739956479002,-0.014540179803346376,-0.010508179291399189,-0.003734569416953548,-0.012723684640385757
SEX,-0.005660229143269514,-0.001727537000373057,0.0,0.014376771260301083,-0.0018228941114676322,-0.005626557091516185,-0.017596360501760108,-0.011517056994847898,0.005956201497508695,-0.00047004512216176214,-0.004136302153492272,-0.004207453425716469,-0.00841580150506736,-0.0021307558540292065,-0.0031935033549306685,9.609905612587705e-05,0.0067651843027745845,-0.008371914837446513,-0.011259431415706352
MSP,-0.006641587596535159,-0.015564820866042578,0.014376771260301083,0.0,0.01124206351234023,0.02511090143360503,-0.015567102588742221,-0.01502053989050256,0.011673721761988498,-0.0025066211749209047,0.006248543692572356,-0.0041581680555194955,-0.014726319005680777,-0.02466595686912096,-0.004415222598997917,-0.003958693833155669,-0.0070726025218995625,-0.0028355031623243723,0.009116097370316902
HISP,0.0168437103575778,0.018074343891673207,-0.0018228941114676322,0.01124206351234023,-1.1102230246251565e-16,0.016745709064981018,-0.015224871530405991,-0.008548816451766084,-0.0031899455841538204,0.009500490144281337,0.01416321484235919,0.005246449745296006,0.00907338015480623,0.0026953768425694025,0.010485198759721554,0.003453557598699749,-0.0004921261702023399,-0.002953899034609662,-0.020253180221122814
RAC1P,-0.016941953385968427,0.03118630031175039,-0.005626557091516185,0.02511090143360503,0.016745709064981018,-4.218847493575595e-15,-0.014828915266791115,-0.014569980910060162,0.012530677712498599,0.0020120783361545352,0.01583966058389466,0.01141968251226027,0.022572713967821345,0.02571848768268077,0.0009574807213050193,0.033789826808415656,0.03504283343905653,0.006054362735450067,0.0016877196063761063
NOC,0.005651503509494962,-0.0017830709230000075,-0.017596360501760108,-0.015567102588742221,-0.015224871530405991,-0.014828915266791115,-2.886579864025407e-15,0.014669481398458695,-0.010093608270146881,0.004008397751282422,-0.0035200455974983696,0.00422654908990952,-0.011607309580206393,0.0011543668775595428,-0.005209481699955033,-0.005190276144835554,-8.601408611724759e-06,0.0006668125226964375,0.004668397239258645
NPF,0.0017157206816587889,0.009490933367538534,-0.011517056994847898,-0.01502053989050256,-0.008548816451766084,-0.014569980910060162,0.014669481398458695,0.0,-0.009642682907969269,-0.0008373095848722839,0.0027038578892048803,-0.000841658028020692,-0.002044109070794331,0.01635910692041248,0.009097381937970151,0.0021597963602048575,0.006250236952161328,0.0018732450519674815,-0.006050244563326437
HOUSING_TYPE,0.0040813716755154494,-0.03019234251465075,0.005956201497508695,0.011673721761988498,-0.0031899455841538204,0.012530677712498599,-0.010093608270146881,-0.009642682907969269,7.771561172376096e-16,-0.011392559927168033,-0.011994860771164705,-0.0019495335632153526,0.002160409350132215,-0.010683572918458756,-0.008453393712595039,0.006236343733523086,0.004839494782438145,0.006366559318665423,0.0057627319213513495
OWN_RENT,-0.006947050641561106,0.021612291763760297,-0.00047004512216176214,-0.0025066211749209047,0.009500490144281337,0.0020120783361545352,0.004008397751282422,-0.0008373095848722839,-0.011392559927168033,3.774758283725532e-15,0.018228131094830707,0.013401622214179912,0.01402319966805863,0.020574781606613027,-0.011449850208522655,0.012715134463241413,0.014826739748040451,0.0014185823469276583,0.011001477700640874
DENSITY,0.0017883288940910569,0.008750656671528835,-0.004136302153492272,0.006248543692572356,0.01416321484235919,0.01583966058389466,-0.0035200455974983696,0.0027038578892048803,-0.011994860771164705,0.018228131094830707,-2.4424906541753444e-15,0.013340347566756644,0.009128252105364776,0.0033819251870545394,-0.01873550628033451,0.008272560695916767,0.007624000175588404,-0.0020122766037993277,0.0031983770824782626
INDP_CAT,-0.005513903054518779,-0.0029670102608262,-0.004207453425716469,-0.0041581680555194955,0.005246449745296006,0.01141968251226027,0.00422654908990952,-0.000841658028020692,-0.0019495335632153526,0.013401622214179912,0.013340347566756644,3.552713678800501e-15,-0.004019459742157561,-0.009234287798071117,-0.02225991865564096,-0.006008479814790191,-0.003934950737287224,0.00037663872026059975,0.016099128500911927
EDU,-0.009053494497078943,0.006743414128182412,-0.00841580150506736,-0.014726319005680777,0.00907338015480623,0.022572713967821345,-0.011607309580206393,-0.002044109070794331,0.002160409350132215,0.01402319966805863,0.009128252105364776,-0.004019459742157561,9.992007221626409e-16,0.006093716530518267,-0.015366344229453963,-0.013239838857717234,-0.008909935633274024,-0.00999578391380027,-0.007553344205395121
PINCP_DECILE,-0.005695266436075212,0.015192780312021814,-0.0021307558540292065,-0.02466595686912096,0.0026953768425694025,0.02571848768268077,0.0011543668775595428,0.01635910692041248,-0.010683572918458756,0.020574781606613027,0.0033819251870545394,-0.009234287798071117,0.006093716530518267,-8.881784197001252e-16,-0.011824051899745204,-0.015021331287594253,-0.012818680034839658,-0.0066880230789522245,-0.007178041841581873
DVET,-0.004388057839180254,0.01376739956479002,-0.0031935033549306685,-0.004415222598997917,0.010485198759721554,0.0009574807213050193,-0.005209481699955033,0.009097381937970151,-0.008453393712595039,-0.011449850208522655,-0.01873550628033451,-0.02225991865564096,-0.015366344229453963,-0.011824051899745204,-5.329070518200751e-15,-0.0043176074134886975,0.005449922646912136,0.016522977398497132,0.0288841029029486
DREM,0.0021067846945842135,-0.014540179803346376,9.609905612587705e-05,-0.003958693833155669,0.003453557598699749,0.033789826808415656,-0.005190276144835554,0.0021597963602048575,0.006236343733523086,0.012715134463241413,0.008272560695916767,-0.006008479814790191,-0.013239838857717234,-0.015021331287594253,-0.0043176074134886975,6.661338147750939e-16,0.003438017953798389,-0.0013500322518888927,-0.0006530172048069618
DPHY,0.002275888486392652,-0.010508179291399189,0.0067651843027745845,-0.0070726025218995625,-0.0004921261702023399,0.03504283343905653,-8.601408611724759e-06,0.006250236952161328,0.004839494782438145,0.014826739748040451,0.007624000175588404,-0.003934950737287224,-0.008909935633274024,-0.012818680034839658,0.005449922646912136,0.003438017953798389,-1.3322676295501878e-15,0.010151072081965029,0.003938195320511179
DEYE,-0.009100475783768654,-0.003734569416953548,-0.008371914837446513,-0.0028355031623243723,-0.002953899034609662,0.006054362735450067,0.0006668125226964375,0.0018732450519674815,0.006366559318665423,0.0014185823469276583,-0.0020122766037993277,0.00037663872026059975,-0.00999578391380027,-0.0066880230789522245,0.016522977398497132,-0.0013500322518888927,0.010151072081965029,3.3306690738754696e-16,0.006866298786574521
DEAR,-0.008961481061022885,-0.012723684640385757,-0.011259431415706352,0.009116097370316902,-0.020253180221122814,0.0016877196063761063,0.004668397239258645,-0.006050244563326437,0.0057627319213513495,0.011001477700640874,0.0031983770824782626,0.016099128500911927,-0.007553344205395121,-0.007178041841581873,0.0288841029029486,-0.0006530172048069618,0.003938195320511179,0.006866298786574521,-5.329070518200751e-15
