,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,4,2,0,2,N,N,N,1,0,1,N,N,N,2,5,2,N,N,96,38-00100,39,9,2,38,5,2,0,2,2,2,N,1,N,0,3,N,N,222,696,99,50.0
1,62,2,7,2,2,2,N,8,0,1,3875,4,1,2,6,1,47000.0,7,177,19-01700,121,6,1,96,45,2,7,2,2,2,N,1,1290,1,3,38000.0,6,264,95,95,43.75
2,1,2,0,2,N,N,N,N,0,1,N,N,N,3,5,1,N,N,501,40-00200,57,9,2,74,1,2,0,2,N,N,N,1,N,0,5,N,N,219,42,36,75.0
3,15,2,10,2,2,2,N,4,0,1,7580,10,6,0,4,1,4700.0,1,437,17-03531,251,2,1,131,33,2,10,2,2,2,N,1,7580,0,2,30000.0,5,253,303,245,56.25
4,87,2,10,2,2,1,N,10,0,1,N,N,3,0,N,1,143000.0,9,501,51-01301,125,1,2,123,80,1,10,2,2,2,N,1,N,0,N,87600.0,8,501,240,240,56.25
5,50,2,13,2,2,2,N,7,0,1,6380,7,1,0,2,2,25500.0,4,229,36-03710,80,2,2,62,26,2,13,2,2,2,N,1,6380,2,4,7000.0,2,42,410,411,50.0
6,44,2,7,2,2,2,N,10,0,1,3095,4,1,2,4,1,385000.0,9,501,28-01100,98,1,1,100,62,2,7,2,2,2,N,1,3390,0,2,300000.0,9,501,89,89,56.25
7,63,2,0,2,2,2,N,4,0,1,2070,4,4,0,N,1,84500.0,8,501,38-00100,276,1,1,277,60,1,0,2,2,2,N,1,2690,0,N,62700.0,7,473,136,136,50.0
8,25,2,8,2,2,2,N,8,0,1,7380,10,6,0,N,2,9600.0,2,79,26-02702,87,1,2,91,28,2,8,2,2,2,N,1,7270,0,N,55000.0,7,416,164,164,56.25
9,91,1,13,2,1,2,N,4,4,1,N,N,3,0,N,2,5900.0,1,44,36-03710,206,1,2,205,74,1,13,2,1,1,N,1,N,0,N,14700.0,3,121,56,56,56.25
10,32,2,9,2,2,2,N,5,1,1,4870,6,1,1,3,2,0.0,0,78,32-00405,93,1,1,48,53,2,9,2,2,2,N,1,4971,1,4,250000.0,9,501,57,57,50.0
11,68,2,8,2,2,2,N,9,0,1,7390,10,1,0,2,1,364000.0,9,501,24-01004,92,2,1,124,42,2,8,2,2,2,N,1,7390,3,5,352000.0,9,501,118,118,62.5
12,65,1,10,2,2,2,N,9,0,1,8290,12,1,0,2,1,110000.0,8,501,51-51255,80,1,1,65,71,2,10,2,2,2,N,1,8180,0,2,56000.0,6,501,62,62,56.25
13,36,2,7,2,1,2,N,5,0,2,7790,10,6,N,N,0,8200.0,2,N,13-04600,21,2,1,0,28,2,7,2,2,2,N,2,7770,N,N,8000.0,2,N,64,0,68.75
14,27,2,13,2,2,2,N,5,4,1,8590,14,6,1,3,2,38000.0,5,234,36-03710,84,1,1,72,53,2,13,2,2,2,N,1,8680,0,2,17300.0,3,234,144,84,50.0
15,27,2,11,2,2,2,N,7,0,3,9370,16,6,N,N,0,-2000.0,0,N,17-03529,32,2,1,0,18,2,11,2,2,2,N,3,9370,N,N,5000.0,1,N,18,0,75.0
