,INDP,count_target,count_deidentified
3,1070,1,0.0
39,1090,1,2.0
40,1170,3,3.0
5,1180,5,6.0
31,1190,2,5.0
18,1270,5,2.0
9,1280,11,12.0
37,1370,2,1.0
42,1480,1,1.0
41,1670,1,0.0
13,1691,5,4.0
22,1990,5,3.0
7,2090,2,1.0
28,2190,5,4.0
23,2280,3,2.0
20,2290,2,3.0
12,2370,3,9.0
19,2390,1,0.0
38,2490,2,1.0
21,2570,1,0.0
15,2590,1,2.0
10,2670,4,11.0
1,2770,2,2.0
4,2870,3,1.0
6,2880,2,1.0
16,2980,2,4.0
34,3095,1,3.0
27,3170,1,1.0
36,3180,2,3.0
0,3291,6,3.0
25,3365,3,7.0
17,3370,3,3.0
33,3380,4,3.0
29,3390,8,11.0
32,3470,2,2.0
26,3490,1,2.0
2,3570,36,35.0
14,3580,4,9.0
35,3895,2,4.0
8,3960,8,9.0
30,3970,3,2.0
24,3980,7,4.0
11,3990,5,1.0
