,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,2.3314683517128287e-15,-0.0014741423014795613,0.00038115581543906457,-0.003190384094587634,-0.007632748557358293,-0.013330856483362193,0.003113442184989032,0.004867483082193161,0.003375451716267991,-0.01527094203440598,-0.003673923942912799,-0.006641735004376086,-0.0005227445872173914,-0.0008307964953866596,-0.02342123843291071,-0.012680125553475585,-0.00724711162617514,0.0076073755508430235,-0.0039071314045272774
AGEP,-0.0014741423014795613,4.440892098500626e-16,0.014181695786710323,-0.010518857331635934,-0.0009456511093918901,0.003300667830901577,-0.0007245132437380675,0.000763665415989212,0.0003142322257337765,0.01753281865795156,-0.00044348736872594496,-0.02041995693577868,-0.01418166702820689,-0.005501118248074366,-0.003148957212344358,0.0035805965643231907,0.0016499377894446943,0.04186480131698957,0.005465133445838627
SEX,0.00038115581543906457,0.014181695786710323,-3.3306690738754696e-15,-0.002950581469215778,-0.0025060851622625384,-0.00900640426211688,0.00343451607317943,-0.003828616624421915,0.0036942373011095153,-0.02032633402152085,-0.0139810477130184,-0.0020234105558501955,0.0024249427701682133,0.008304608465268912,0.0067638569774008395,0.00021236774906439188,0.0037883915300472686,0.004831542908389073,-0.0002618328266327796
MSP,-0.003190384094587634,-0.010518857331635934,-0.002950581469215778,0.0,-0.010007444784386157,0.010460772667770499,0.004484546340061235,-0.0007120436517991102,-0.0033819324679669194,0.017266682294586867,-0.009795922604796031,-0.004888855907464684,-0.012925376168409719,-0.003971481791111897,-0.003657995655486499,0.0024036370629834103,0.003081820754712805,-0.004445967247658465,8.890772545672946e-05
HISP,-0.007632748557358293,-0.0009456511093918901,-0.0025060851622625384,-0.010007444784386157,-2.55351295663786e-15,-0.010719271674570735,0.0021386523206060187,-0.0027810989857968912,-0.007354047218644549,0.0020985096062614284,-0.009799530343568369,0.012486426716232797,0.00601316501277413,0.007938312812803439,0.011123687731451335,-0.006884869308255074,-0.007888608574647859,0.0043431122787236645,-0.004344033072409759
RAC1P,-0.013330856483362193,0.003300667830901577,-0.00900640426211688,0.010460772667770499,-0.010719271674570735,0.0,0.00984081862617614,-0.005879078484500519,-0.0031255264587109477,0.010748323891957984,0.0012573141414886635,0.010275717800378562,0.013312095795034548,0.01241572382939074,0.0013135326284203393,0.005242095510767111,0.0073648895191992456,0.010512370716800511,0.0039918152857500305
NOC,0.003113442184989032,-0.0007245132437380675,0.00343451607317943,0.004484546340061235,0.0021386523206060187,0.00984081862617614,-1.2212453270876722e-15,-0.005933081517580208,0.0077060056016933776,-0.02223325007166041,0.026591794009791975,0.021764363099673167,0.009642687413825846,0.001990619112529568,0.005814189763074188,-0.01117645756366456,-0.010651312202191121,-0.005415385883675877,-0.0033354412442122977
NPF,0.004867483082193161,0.000763665415989212,-0.003828616624421915,-0.0007120436517991102,-0.0027810989857968912,-0.005879078484500519,-0.005933081517580208,0.0,0.016268784951285364,-0.028202113024999247,0.020902952714098588,0.018090706610175714,0.011243755073590045,-0.0032157020121053315,0.00565354303993635,0.0016977289046379018,0.004163574516984542,-0.009875015724570807,0.0020436567524747956
HOUSING_TYPE,0.003375451716267991,0.0003142322257337765,0.0036942373011095153,-0.0033819324679669194,-0.007354047218644549,-0.0031255264587109477,0.0077060056016933776,0.016268784951285364,-9.992007221626409e-16,0.01330647206500668,-0.010490738984678345,0.0027492256576257465,0.007536557074697656,0.005122157574166897,-0.004052839933970667,0.0043174231123515785,0.007343562971291535,0.00029091993235253605,0.015356944352124775
OWN_RENT,-0.01527094203440598,0.01753281865795156,-0.02032633402152085,0.017266682294586867,0.0020985096062614284,0.010748323891957984,-0.02223325007166041,-0.028202113024999247,0.01330647206500668,3.774758283725532e-15,0.004674016540095971,0.004927479516310229,0.00036724522811292654,0.002227967017613927,0.007296354297766784,0.004653156720779476,-0.003488201257229713,-0.020572164328526845,-0.032769716158570855
DENSITY,-0.003673923942912799,-0.00044348736872594496,-0.0139810477130184,-0.009795922604796031,-0.009799530343568369,0.0012573141414886635,0.026591794009791975,0.020902952714098588,-0.010490738984678345,0.004674016540095971,0.0,0.0022429235438631845,-0.013460144110602562,-0.004223031182860944,0.006696667399214297,-0.0018980397658690217,-0.00220824112677738,-0.0003177236374044437,-0.009459476296511816
INDP_CAT,-0.006641735004376086,-0.02041995693577868,-0.0020234105558501955,-0.004888855907464684,0.012486426716232797,0.010275717800378562,0.021764363099673167,0.018090706610175714,0.0027492256576257465,0.004927479516310229,0.0022429235438631845,3.552713678800501e-15,-0.01439657257675414,-0.008492943122458962,-0.01743750243058016,-0.008324934034162401,-0.0019498974470884,-0.017894072595431028,-0.007833886460426431
EDU,-0.0005227445872173914,-0.01418166702820689,0.0024249427701682133,-0.012925376168409719,0.00601316501277413,0.013312095795034548,0.009642687413825846,0.011243755073590045,0.007536557074697656,0.00036724522811292654,-0.013460144110602562,-0.01439657257675414,9.992007221626409e-16,-0.011548817652015542,0.001423421317462259,-0.0019421070627287929,-0.001916924365924999,0.00211358934600106,-0.007219486265214844
