,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,1.4988010832439613e-14,-0.03137127020414286,-0.009768537498265794,-0.013859872308285781,0.004929173523802555,-0.009211520380380691,0.02736636534454072,0.025739942534806014,0.02189478773177153,0.013329809320526957,0.002718654541758316,-0.01237637692585726,-0.01353855899818232,-0.03292558224293786,-0.008826478546117504,-0.0014430759108963673,-0.012615969962806797,0.012275807372382687,0.02530568873065727
AGEP,-0.03137127020414286,0.0,0.007577501948945305,-0.02257536055409047,-0.010691668431516699,-0.02144849847113703,-0.006166878914563745,-0.006416523400847363,-0.0021450142519420998,-0.0032846156938949878,0.026088425717671372,-0.008720319094597473,-0.01356106591672146,-0.0011439006987919442,0.011118767057528095,-0.03875230861620338,-0.033253518516105585,0.0038149100321751422,0.016192951284704243
SEX,-0.009768537498265794,0.007577501948945305,9.769962616701378e-15,-0.014868174551663074,-0.010673190434311312,-0.023831193568433624,0.023539656321614214,-0.014834585738070394,0.01388140458446404,-0.012632769845426065,-0.02238313725195762,-0.0008550826572120765,0.007735003093851306,0.04774373006978409,0.04163733129257574,0.033835287328145176,0.043054907264571944,0.021597564399050622,-0.0003152483211259355
MSP,-0.013859872308285781,-0.02257536055409047,-0.014868174551663074,2.220446049250313e-15,0.014110865075022426,0.008841532784852526,-0.020710589077945762,-0.0052180591314017755,0.004843563502974435,0.003320677008346679,-0.01127638286755503,0.006505413494264367,-0.0313188001735879,-0.015417263706668599,-0.01273059880496059,-0.03722261172207625,-0.030427941147923687,-0.022114914456062812,-0.009183691190941782
HISP,0.004929173523802555,-0.010691668431516699,-0.010673190434311312,0.014110865075022426,3.774758283725532e-15,0.034953541216185546,-0.002670128084718325,0.01090163692879609,-0.02735448188464302,0.026707500140981555,-0.006060631663828031,0.00688489558557956,-0.014282057688549413,-0.016881989251412086,-0.0030887170686524565,-0.007613224196383456,-0.013818576771150164,-0.023848577632589584,-0.014242863776342103
RAC1P,-0.009211520380380691,-0.02144849847113703,-0.023831193568433624,0.008841532784852526,0.034953541216185546,-1.1102230246251565e-15,-0.006542960873849535,-0.010221417437368957,0.0004259817305233976,0.02322975489079887,-0.013278948899403453,-0.024943754130635588,-0.057827824176091835,-0.04719957946807066,0.004265652265273992,-0.014035752034392363,-0.015853614766984603,0.0026848238730472936,0.014569559825383886
NOC,0.02736636534454072,-0.006166878914563745,0.023539656321614214,-0.020710589077945762,-0.002670128084718325,-0.006542960873849535,-1.887379141862766e-15,-0.009295145347566147,0.021233301175600794,-0.02407668394508994,-0.011108341529332086,0.008300580795071621,0.006308712155023766,-0.013046101768480728,-0.013582503988039028,0.012607033950935792,0.014837693192814722,0.013551393317129685,-0.002198212009351233
NPF,0.025739942534806014,-0.006416523400847363,-0.014834585738070394,-0.0052180591314017755,0.01090163692879609,-0.010221417437368957,-0.009295145347566147,-2.4424906541753444e-15,0.017624777007047787,0.011752484589381967,0.005789399798014672,0.016147369224517344,0.021353528935227573,0.004948013539814694,-0.003936276617016541,0.03260398890591612,0.033734618616106986,0.029727392798623704,-0.0033797501492036086
HOUSING_TYPE,0.02189478773177153,-0.0021450142519420998,0.01388140458446404,0.004843563502974435,-0.02735448188464302,0.0004259817305233976,0.021233301175600794,0.017624777007047787,-5.773159728050814e-15,0.014404480604417125,-0.008240065966296124,0.010169118551711223,0.0017172139480438053,0.006716315957311425,-0.00993906981014659,0.006534268853517182,0.0043727304577168905,-0.028284901002744896,-0.015362013551045023
OWN_RENT,0.013329809320526957,-0.0032846156938949878,-0.012632769845426065,0.003320677008346679,0.026707500140981555,0.02322975489079887,-0.02407668394508994,0.011752484589381967,0.014404480604417125,1.5432100042289676e-14,-8.093738636369419e-05,-0.009103369881715673,0.00435918424027347,0.003706735879131451,0.0006278270871465791,-0.007471912717435133,-0.0021675932658994507,0.0070107146560324934,0.004786565313397086
