,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,2.3314683517128287e-15,-0.009431104941413804,0.00020090791210317094,-0.0004268172416105609,0.012606285474078466,-0.022521842002508098,0.007564695422855053,0.009262336600793578,0.0037136661113874314,0.00440643633581933,-0.004686683458825058,-0.003148720874063914,-0.008190345919739578,-0.010306607485258235,-0.011130449585848943,-0.0025151561744010537,-0.005058111829992357,0.0007835497991186269,0.003312912327079107
AGEP,-0.009431104941413804,0.0,0.0006499089388276244,-0.00958501578098668,-0.009810945137845486,-0.020686562206406578,-0.02216014818846912,-0.013399057487434696,-0.001585694995185058,-0.01009346765639521,0.004089139623997706,0.016736447644483107,0.011018077512732205,0.012302330119003446,-0.002937093373946778,-0.0013095723350942667,0.0031414573790741196,0.0020740382728550166,0.016631924637326795
SEX,0.00020090791210317094,0.0006499089388276244,-2.7755575615628914e-15,-0.00697494190806509,0.006796522803396415,0.00648808661546227,-0.0054158238503557365,-0.016165062240692835,-0.0008452288737257965,-0.0072318892878867405,-0.007772106979154371,-0.011859935582238704,-0.005143850336657152,0.05103801068341691,0.050929921505821645,0.0025852480533698173,0.009062531272945654,0.016686556715908636,-0.0027470765132943456
MSP,-0.0004268172416105609,-0.00958501578098668,-0.00697494190806509,0.0,-0.004759503807529639,0.0009412428046352813,-0.015391959384933152,-0.009028231994926417,0.0019706742064298788,0.002214550278671644,0.00011879803421505075,0.010120124820114373,-0.0047373267284788745,-0.001057997656930959,0.004523678357329093,-0.00020583097055243416,-0.0006992184418477265,-0.001800109780635134,0.001474320150502497
HISP,0.012606285474078466,-0.009810945137845486,0.006796522803396415,-0.004759503807529639,3.6637359812630166e-15,0.00565597813641433,0.01867101047719083,0.023357886913764003,-0.024041802457123687,0.018333830191069045,0.006128661531696333,0.002414903689530847,-0.005616855877201191,-0.013257721514468038,0.002944647008096501,-0.00405331527604509,-0.007048102392518312,-0.0013006815536868988,0.0014822782877359567
RAC1P,-0.022521842002508098,-0.020686562206406578,0.00648808661546227,0.0009412428046352813,0.00565597813641433,-2.220446049250313e-15,0.015110019981513761,0.00660846057127866,-0.004052434506536331,0.004777545493885552,0.004336695718093031,-0.014223136994790761,-0.01549952307914075,-0.015460976336049925,-0.0020426249344505723,-0.00381645795466147,-0.0020228421640332006,0.00014875885216879964,0.009043832308217134
NOC,0.007564695422855053,-0.02216014818846912,-0.0054158238503557365,-0.015391959384933152,0.01867101047719083,0.015110019981513761,0.0,0.0009063770643176206,0.01310683348817665,-0.010911488109504042,0.0011514500227598201,-0.022117780662566616,-0.02434146358977829,-0.02132688886973011,-0.0016263271637191115,-0.015781590172763538,-0.011528346697197683,0.0002400967157405176,-0.003772298195638138
NPF,0.009262336600793578,-0.013399057487434696,-0.016165062240692835,-0.009028231994926417,0.023357886913764003,0.00660846057127866,0.0009063770643176206,-1.887379141862766e-15,0.01404824729115911,0.010293578400161277,0.008050154037331503,-0.016078571281974985,-0.014808734154954872,-0.014098083164190867,0.0010973098557595512,-0.006561561707497859,-0.0022837342432390495,0.006828486209714289,-0.0015123100528865174
HOUSING_TYPE,0.0037136661113874314,-0.001585694995185058,-0.0008452288737257965,0.0019706742064298788,-0.024041802457123687,-0.004052434506536331,0.01310683348817665,0.01404824729115911,4.551914400963142e-15,0.0082692839453683,0.0024107218534715896,0.004558435433981878,-0.00013339913601902176,-0.001124633718361856,-0.00466267264541375,0.008222207772408629,-0.0003793824872613226,-0.013190597519614355,-0.00949950291576648
OWN_RENT,0.00440643633581933,-0.01009346765639521,-0.0072318892878867405,0.002214550278671644,0.018333830191069045,0.004777545493885552,-0.010911488109504042,0.010293578400161277,0.0082692839453683,-6.661338147750939e-16,0.00022201683683889528,0.00034177510452662596,0.013568580152672434,0.020040933504311177,-0.0008303617269205532,-0.0005701985863239799,0.00970339398803255,0.013008330049864979,0.012267859784848567
DENSITY,-0.004686683458825058,0.004089139623997706,-0.007772106979154371,0.00011879803421505075,0.006128661531696333,0.004336695718093031,0.0011514500227598201,0.008050154037331503,0.0024107218534715896,0.00022201683683889528,0.0,0.01340575365453435,0.011577361590288313,0.015254445661492623,0.00838970824162354,0.003595138100298892,0.0032106125608479114,0.002931878780027437,-0.007153140932474468
INDP_CAT,-0.003148720874063914,0.016736447644483107,-0.011859935582238704,0.010120124820114373,0.002414903689530847,-0.014223136994790761,-0.022117780662566616,-0.016078571281974985,0.004558435433981878,0.00034177510452662596,0.01340575365453435,3.552713678800501e-15,0.006323603490310248,0.0008297235245600665,-0.000808982855761314,-0.0029522618026533443,-0.0020705741998567895,-0.016433773484234644,-0.019619068477514393
EDU,-0.008190345919739578,0.011018077512732205,-0.005143850336657152,-0.0047373267284788745,-0.005616855877201191,-0.01549952307914075,-0.02434146358977829,-0.014808734154954872,-0.00013339913601902176,0.013568580152672434,0.011577361590288313,0.006323603490310248,1.2212453270876722e-15,0.00012620430649690206,-0.006220453246525742,-0.0037367899612336664,-0.0021611001820481257,-0.006764061534232965,-0.0001999102356760006
PINCP_DECILE,-0.010306607485258235,0.012302330119003446,0.05103801068341691,-0.001057997656930959,-0.013257721514468038,-0.015460976336049925,-0.02132688886973011,-0.014098083164190867,-0.001124633718361856,0.020040933504311177,0.015254445661492623,0.0008297235245600665,0.00012620430649690206,0.0,-0.012942504969752897,-0.0033067310422165708,-0.001354163306207079,-0.014677494980114197,-0.0034038648180936375
DVET,-0.011130449585848943,-0.002937093373946778,0.050929921505821645,0.004523678357329093,0.002944647008096501,-0.0020426249344505723,-0.0016263271637191115,0.0010973098557595512,-0.00466267264541375,-0.0008303617269205532,0.00838970824162354,-0.000808982855761314,-0.006220453246525742,-0.012942504969752897,6.661338147750939e-16,-0.008502741614270538,-0.004042921759962875,0.007055239389317604,0.019441371370402583
DREM,-0.0025151561744010537,-0.0013095723350942667,0.0025852480533698173,-0.00020583097055243416,-0.00405331527604509,-0.00381645795466147,-0.015781590172763538,-0.006561561707497859,0.008222207772408629,-0.0005701985863239799,0.003595138100298892,-0.0029522618026533443,-0.0037367899612336664,-0.0033067310422165708,-0.008502741614270538,-6.661338147750939e-16,0.004291593093712853,-0.029030694796658672,-0.02080765512172286
DPHY,-0.005058111829992357,0.0031414573790741196,0.009062531272945654,-0.0006992184418477265,-0.007048102392518312,-0.0020228421640332006,-0.011528346697197683,-0.0022837342432390495,-0.0003793824872613226,0.00970339398803255,0.0032106125608479114,-0.0020705741998567895,-0.0021611001820481257,-0.001354163306207079,-0.004042921759962875,0.004291593093712853,1.7763568394002505e-15,-0.027027064779591783,-0.0326048393664976
DEYE,0.0007835497991186269,0.0020740382728550166,0.016686556715908636,-0.001800109780635134,-0.0013006815536868988,0.00014875885216879964,0.0002400967157405176,0.006828486209714289,-0.013190597519614355,0.013008330049864979,0.002931878780027437,-0.016433773484234644,-0.006764061534232965,-0.014677494980114197,0.007055239389317604,-0.029030694796658672,-0.027027064779591783,2.55351295663786e-15,0.01983575986499636
DEAR,0.003312912327079107,0.016631924637326795,-0.0027470765132943456,0.001474320150502497,0.0014822782877359567,0.009043832308217134,-0.003772298195638138,-0.0015123100528865174,-0.00949950291576648,0.012267859784848567,-0.007153140932474468,-0.019619068477514393,-0.0001999102356760006,-0.0034038648180936375,0.019441371370402583,-0.02080765512172286,-0.0326048393664976,0.01983575986499636,0.0
