,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,9.208995598919412e-06,-0.00020887179917297195,0.00019087753722348694,0.0005402290031863433,0.0003125146773546167,-0.00016619367810758595,0.0003177538523637391,0.0002878643033489628,-0.0002882937726516859,1.5551609194909728e-05,0.00016007742323790805,-0.000618711015761067,9.416099999080569e-05,-0.0001481742708023398,-0.00047224487108669423,-0.00013806028727727376,0.0006599392069433375,-0.000785841031694619
AGEP,9.208995598919412e-06,0.0,0.00035248809129833497,7.932293342310937e-06,-0.0018343856999501335,-3.67424190599458e-05,-0.0015104170879560175,-0.0005879174578966584,0.00012743843558105789,-0.0003027079520689646,0.00029541816810639207,-0.000273527326538639,0.00028431378333881874,0.00013701273007077353,0.001098327830743956,-0.00034319515205399886,0.0001180698999695938,-0.0003469546833788639,0.0009358780632277575
SEX,-0.00020887179917297195,0.00035248809129832803,-1.1102230246251565e-16,0.00022428081941593472,0.0005163434719098348,-0.00028244407350719314,-0.00015031939992805193,-3.102335606422306e-05,5.248310826639485e-05,-5.2039348462290524e-05,-0.00014921917199749515,6.674589435560346e-05,-2.9195579299600566e-05,2.325819324661138e-05,-0.0008960790939512575,-0.0003231047474751142,-0.0005016767940715441,-1.7742630341711398e-05,-0.00045888050340180814
MSP,0.00019087753722348,7.932293342310937e-06,0.00022428081941593472,0.0,-0.0005510186776732208,-5.441208050770835e-05,-0.00010818393953498928,-0.00023089163763817533,7.151867221272257e-05,-0.0002746674127424367,-0.00013597843012533306,-0.00013935433872558356,0.00030694590845303793,2.859490757992078e-05,0.0006563738796554388,0.000828756271806369,0.000315145916556292,-0.0007425377314074361,0.0005053074950405849
HISP,0.0005402290031863433,-0.0018343856999501473,0.000516343471909834,-0.0005510186776732208,2.220446049250313e-16,-0.0013442015956805359,-0.0011960229021971275,-0.0002545053091173449,-0.001493751976454957,-0.0001025742473342306,0.0012477405010881681,0.00016117044655895515,-0.001093327335930705,0.00033388331833485163,-0.003969349926098129,0.0007519836369014373,0.0023707982849080285,0.000726190168634352,-0.002346853405551786
RAC1P,0.0003125146773546028,-3.674241905991804e-05,-0.00028244407350719314,-5.441208050771529e-05,-0.0013442015956805498,0.0,-0.000901628161960974,-0.0005834672564005577,-0.0014318831938681066,-0.00012058021152122622,-5.529885080193808e-05,0.00023715991565672473,-0.0006614239694239799,0.0001254667892132133,-0.0029744526136336047,-0.00011049717723074157,-0.000678942003829737,0.001206069312549598,-0.0006895132411990218
NOC,-0.0001661936781075929,-0.0015104170879560175,-0.00015031939992804846,-0.00010818393953498928,-0.0011960229021971414,-0.000901628161960974,0.0,-1.272888079695278e-05,0.000321078677815001,-0.00043998682241630505,-0.0009172410038816095,-0.0001575179507870561,0.000235087310499843,-0.0005963827723504678,-0.011712281139238341,0.0004839748396499033,0.0002433452224373904,0.0007360287750641237,-8.571620973635286e-05
NPF,0.0003177538523637391,-0.0005879174578966584,-3.102335606422306e-05,-0.00023089163763811982,-0.00025450530911733105,-0.0005834672564005855,-1.272888079695278e-05,2.220446049250313e-16,0.00013811394339569016,-4.409872976134446e-05,1.3238770467903505e-05,0.0006441373363590963,-0.0005154253921259011,-2.7395094862298075e-05,-0.003011112627687145,0.0008006337525432589,0.0008890343949513359,-0.0007458631099011709,0.00016019092622450437
HOUSING_TYPE,0.0002878643033489628,0.00012743843558107176,5.248310826638791e-05,7.151867221272257e-05,-0.001493751976454957,-0.0014318831938681066,0.0003210786778150565,0.00013811394339574568,0.0,0.00030556248258656327,4.5781704992781114e-05,0.0009548696295612058,0.0017090513181184444,-0.00026458526080393174,-0.008754684633412937,0.0034476777439217815,0.002862528913470379,0.0015232944352227065,-3.2015907095086366e-05
OWN_RENT,-0.0002882937726516859,-0.00030270795206899237,-5.2039348462290524e-05,-0.00027466741274244366,-0.00010257424733425835,-0.00012058021152119847,-0.0004399868224162773,-4.409872976134446e-05,0.00030556248258656327,1.1102230246251565e-16,-4.828593000633097e-05,5.2773716623523426e-05,-0.00038085592146794994,-0.00019002564579581604,0.000898364017878326,-0.00013078339865784457,-2.2426510043889805e-05,0.00037804740130183145,0.0007661502734432404
DENSITY,1.5551609194909295e-05,0.00029541816810639207,-0.00014921917199749862,-0.00013597843012533306,0.0012477405010881404,-5.529885080193808e-05,-0.0009172410038816095,1.3238770467903505e-05,4.578170499278458e-05,-4.828593000633097e-05,0.0,1.038452416480401e-05,-0.000758902509295098,0.0001450263781044847,-0.002689822545312151,2.023037941414549e-05,0.0005667662778113917,0.0002808974876037716,-0.0005584886463722502
INDP_CAT,0.00016007742323791152,-0.000273527326538639,6.674589435559652e-05,-0.00013935433872558356,0.00016117044655895515,0.00023715991565672473,-0.00015751795078706998,0.0006441373363590963,0.0009548696295612058,5.2773716623537303e-05,1.038452416480401e-05,0.0,0.0002266650093787348,-0.0005756355705766047,-7.663915846808445e-05,-6.234565079052401e-05,0.000226726492765561,-0.000150038958887308,0.00047695209818547635
EDU,-0.000618711015761067,0.0002843137833387632,-2.9195579299597096e-05,0.00030694590845303793,-0.0010933273359307327,-0.0006614239694239521,0.000235087310499843,-0.0005154253921259289,0.0017090513181184444,-0.00038085592146794994,-0.0007589025092951118,0.0002266650093787348,0.0,0.0013296040460070158,0.006122387917844342,8.956908245094652e-06,-0.00020057523122041232,-0.002739301991329525,-0.0010018461275201713
PINCP_DECILE,9.416099999080656e-05,0.00013701273007077353,2.325819324661138e-05,2.859490757992078e-05,0.00033388331833485163,0.0001254667892132133,-0.0005963827723504955,-2.739509486232583e-05,-0.00026458526080393174,-0.00019002564579581604,0.0001450263781044847,-0.0005756355705766047,0.0013296040460070158,0.0,0.002704655035910747,0.0001705052137945806,2.5879471056283743e-05,-0.00033245778743884284,0.000594758860756571
DVET,-0.00014817427080234327,0.0010983278307439698,-0.0008960790939512436,0.0006563738796554388,-0.003969349926098129,-0.002974452613633608,-0.011712281139238341,-0.003011112627687138,-0.008754684633412937,0.000898364017878326,-0.002689822545312151,-7.663915846808532e-05,0.006122387917844342,0.002704655035910733,0.0,0.0025199462345961016,0.0015769864883648788,0.0017476163912902645,0.002564945695137197
DREM,-0.00047224487108669423,-0.00034319515205399886,-0.0003231047474751142,0.0008287562718063968,0.0007519836369014356,-0.00011049717723074157,0.0004839748396499033,0.0008006337525432589,0.0034476777439217815,-0.00013078339865784478,2.0230379414147223e-05,-6.234565079052401e-05,8.956908245094652e-06,0.0001705052137945806,0.0025199462345961016,2.220446049250313e-16,0.0003502263726472554,0.0015134402629115307,0.0017136632717597855
DPHY,-0.0001380602872772703,0.00011806989996959553,-0.0005016767940715407,0.000315145916556292,0.0023707982849080285,-0.00067894200382973,0.00024334522243738693,0.0008890343949513324,0.002862528913470379,-2.2426510043889805e-05,0.0005667662778113883,0.000226726492765561,-0.00020057523122041232,2.5879471056311498e-05,0.0015769864883648788,0.0003502263726472554,0.0,0.0008357036342869772,-0.002509910362028994
DEYE,0.0006599392069433375,-0.0003469546833788639,-1.7742630341711398e-05,-0.0007425377314074291,0.000726190168634352,0.001206069312549598,0.0007360287750641237,-0.0007458631099011778,0.0015232944352227065,0.00037804740130183145,0.0002808974876037716,-0.00015003895888731494,-0.0027393019913295215,-0.0003324577874388411,0.0017476163912902645,0.0015134402629115307,0.0008357036342869772,0.0,0.00047227594992232946
DEAR,-0.0007858410316946181,0.0009358780632277575,-0.0004588805034018151,0.0005053074950405884,-0.002346853405551786,-0.0006895132411990287,-8.571620973635286e-05,0.00016019092622450437,-3.2015907095082896e-05,0.0007661502734432404,-0.0005584886463722571,0.0004769520981855041,-0.0010018461275201713,0.0005947588607565675,0.002564945695137197,0.0017136632717597577,-0.002509910362028994,0.00047227594992232946,-2.220446049250313e-16
