,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,-0.004779492043548592,0.00031646437172794424,-0.0013140541446720194,0.005609370510708422,0.00527021928897442,-0.0006464225690431258,-0.0027509125664960457,0.002559025563359879,-0.0030193372841224135,-0.000787859431670368,0.004304614545681228,-0.0032792773263789488,0.00210836701483455,-0.01673870550261166,-0.0020166839493155862,-0.0015496120550829925,0.005374573967004602,0.0024485746211296913
AGEP,-0.004779492043548592,0.0,0.007731976199015486,-0.00014199344768693611,0.002448259694789484,-0.017270942055530064,0.009096055931855584,-0.02422813652601502,0.01908385212780432,0.00037119893651689495,-0.003945301270921964,-0.040646904063144584,0.036883199937123745,-0.004525250690678551,-0.0009537417617843658,0.013899864691171215,0.006968482412144844,0.028351392958470056,-0.016100913195785993
SEX,0.00031646437172794424,0.007731976199015486,-6.661338147750939e-15,-0.0007536395693520494,0.005083727421575139,-0.0043683086290571445,0.005006756939994646,0.003370528297205244,-0.000291168246476306,-0.0022219781681575707,-6.130537619510393e-05,-0.00043229942942037136,-0.0010350529329419683,-0.0009590968994743904,-0.00992965505218732,0.0023958424827962184,-0.000771332737767215,-0.00418606163921992,-0.002694616829808323
MSP,-0.0013140541446720194,-0.00014199344768693611,-0.0007536395693520494,0.0,0.0059067259886275494,0.005471268110173656,-0.011097981568534143,-0.002127490513351926,-0.00766530579221672,0.005021956830723456,0.0004996186104988002,0.009117589524768932,-0.0018023803388783066,0.002874629090453107,-0.00904572200753715,-0.003250759018562699,0.002665667141511341,0.011531490119815066,-0.01673696075984484
HISP,0.005609370510708422,0.002448259694789484,0.005083727421575139,0.0059067259886275494,0.0,0.02608712822792586,-0.002717482762201219,-0.001839085549864547,0.0058360011828318585,0.003786943878334559,0.014764521868202374,-0.002853680131079895,-0.017193530296902987,-0.00020868983201982605,-0.008499301374282703,-0.021765763883194168,-0.015922609702105572,-0.0340790350317178,-0.028607212528292233
RAC1P,0.00527021928897442,-0.017270942055530064,-0.0043683086290571445,0.005471268110173656,0.02608712822792586,-8.770761894538737e-15,0.0040606202784110035,-0.008380250493629518,-0.020240570506834393,0.01259635877001905,0.004124734471728675,-0.014946597502993314,-0.00921320704260123,-0.0013756728351960595,-0.02340027434567441,-0.012988960008144708,-0.02663724578577454,-0.005120201194748271,-0.01052486924175006
NOC,-0.0006464225690431258,0.009096055931855584,0.005006756939994646,-0.011097981568534143,-0.002717482762201219,0.0040606202784110035,0.0,-0.010041359195138155,-3.060417384093128e-05,0.004175422668239781,-0.005174839479659821,-0.005319697937319831,0.050170389499372914,-0.022491066463712656,-0.014963019799180396,0.04897942802495922,0.05387024068531386,0.0309653398209314,0.0069609709407811166
NPF,-0.0027509125664960457,-0.02422813652601502,0.003370528297205244,-0.002127490513351926,-0.001839085549864547,-0.008380250493629518,-0.010041359195138155,0.0,-0.0008619554139956964,-0.00042728541692108046,-0.0025063471150679386,-0.014213696192225012,0.010215247244723002,-0.00945815494910257,0.0052113214404645725,-0.003285060160298503,0.0031475525071755217,0.0027619226531828724,0.012356750478529133
HOUSING_TYPE,0.002559025563359879,0.01908385212780432,-0.000291168246476306,-0.00766530579221672,0.0058360011828318585,-0.020240570506834393,-3.060417384093128e-05,-0.0008619554139956964,1.2656542480726785e-14,-0.00020835392319229484,-0.0005138240399961847,-0.01665399333377006,-0.008075293205216758,-0.01412433687535089,-0.017881286450918108,0.02456411204131755,0.024199633281419324,0.012461067808049588,-0.022791435668130175
OWN_RENT,-0.0030193372841224135,0.00037119893651689495,-0.0022219781681575707,0.005021956830723456,0.003786943878334559,0.01259635877001905,0.004175422668239781,-0.00042728541692108046,-0.00020835392319229484,-1.5987211554602254e-14,-0.0006008851140328342,0.00502509133423093,0.003664276211884143,0.0009477700128891209,-0.012865775996253742,-0.009373533068411929,-0.011795958895817464,0.0072497017907890825,-0.009884116964507202
