,INDP,count_target,count_deidentified
3,1070,2,0.0
36,1080,1,0.0
39,1090,2,0.0
43,1170,3,0.0
5,1180,7,0.0
31,1190,1,0.0
18,1270,3,0.0
9,1280,12,0.0
33,1290,1,0.0
37,1370,3,0.0
38,1390,1,0.0
45,1480,1,0.0
44,1670,1,0.0
13,1691,5,0.0
32,1790,4,0.0
42,1870,1,0.0
40,1880,1,0.0
22,1990,3,0.0
7,2090,2,0.0
28,2190,8,0.0
34,2270,1,0.0
23,2280,4,0.0
20,2290,3,0.0
12,2370,3,0.0
19,2390,2,0.0
21,2570,1,0.0
15,2590,1,0.0
10,2670,5,0.0
1,2770,3,0.0
4,2870,3,0.0
6,2880,2,0.0
41,2890,2,0.0
16,2980,2,0.0
27,3170,1,0.0
0,3291,6,0.0
25,3365,3,0.0
17,3370,1,0.0
29,3390,8,0.0
26,3490,3,0.0
2,3570,15,0.0
14,3580,7,0.0
35,3895,2,0.0
8,3960,8,0.0
30,3970,3,0.0
24,3980,6,0.0
11,3990,11,0.0
