,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,46,2,10,2,2,2,N,6,0,1,6180,7,6,0,4,1,36000.0,5,501,17-03531,46,2,2,50,43,2,10,2,2,2,N,1,6180,0,4,2300.0,1,260,53,39,62.5
1,39,2,7,2,2,2,N,12,3,1,7870,11,6,0,5,1,28000.0,4,501,08-00803,65,1,2,73,39,2,7,2,2,2,N,1,7870,0,5,28000.0,4,501,73,79,87.5
2,50,2,8,2,2,2,N,9,0,1,7870,11,4,0,N,1,39050.0,6,294,29-01901,59,2,2,58,50,2,8,2,2,2,N,1,7870,0,N,39050.0,6,294,73,73,87.5
3,25,2,13,2,2,2,N,9,2,1,6570,8,6,0,6,2,23000.0,4,501,36-03710,70,8,2,60,25,2,13,2,2,2,N,1,6570,0,6,23000.0,4,215,107,97,81.25
4,31,2,7,2,2,2,N,7,0,1,8980,15,1,0,2,2,45000.0,6,261,08-00803,109,1,2,103,31,2,7,2,2,2,N,1,8980,0,2,80000.0,8,501,96,68,68.75
5,53,2,13,2,2,2,N,7,0,1,7670,10,5,2,4,2,26500.0,4,130,36-04010,88,2,2,116,35,2,13,2,2,2,N,1,7670,2,3,26500.0,4,130,72,72,75.0
6,43,2,7,2,2,2,N,11,0,1,8090,12,1,3,6,1,99000.0,8,319,08-00803,45,1,2,44,39,2,7,2,2,2,N,1,7970,3,5,490000.0,9,501,55,55,50.0
7,73,2,0,2,2,2,N,7,0,1,180,0,3,0,2,1,40000.0,6,501,30-00600,80,1,2,78,75,2,0,2,2,2,N,1,180,0,N,152800.0,9,501,20,19,62.5
8,32,2,13,2,2,2,N,5,2,1,N,N,6,3,4,2,3900.0,1,11,36-03710,148,2,2,149,17,2,13,2,2,2,N,1,N,3,4,0.0,0,135,122,72,62.5
9,22,2,8,2,2,2,N,9,0,1,6970,9,6,0,N,2,0.0,0,0,29-01901,153,9,2,153,22,2,8,2,2,2,N,1,6970,0,N,3000.0,1,22,65,64,68.75
10,75,2,8,2,2,2,N,9,0,1,5790,6,4,0,N,2,78250.0,8,501,29-01901,64,1,2,61,75,2,8,2,2,2,N,1,5790,0,N,31000.0,5,254,89,88,68.75
11,57,2,8,2,2,2,N,11,0,1,9480,16,6,0,N,2,253900.0,9,501,24-01004,91,1,2,90,59,2,8,2,2,2,N,1,9590,0,N,120000.0,8,501,91,92,68.75
12,32,2,0,2,2,2,N,6,0,1,8470,13,1,2,4,1,24000.0,4,501,38-00100,14,1,2,25,36,2,0,2,2,2,N,1,8470,4,6,900.0,0,443,40,10,50.0
13,59,2,10,2,2,2,N,7,0,1,6180,7,4,0,N,2,80000.0,8,501,17-03531,113,2,2,112,59,2,10,2,2,2,N,1,6180,0,N,80000.0,8,501,113,113,93.75
14,27,2,0,2,2,2,N,5,0,1,370,1,1,0,2,1,48000.0,7,501,38-00100,9,1,2,32,28,2,0,2,2,2,N,1,370,0,2,48000.0,6,501,20,24,75.0
15,14,2,13,2,2,2,N,3,0,1,N,N,N,5,7,1,N,N,501,36-04010,116,1,2,72,7,2,13,2,2,2,N,1,N,3,5,N,N,182,52,53,62.5
16,5,2,13,2,2,2,N,1,0,1,N,N,N,3,5,1,N,N,182,36-04010,49,1,2,52,3,2,13,2,N,N,N,1,N,3,5,N,N,182,59,53,68.75
17,40,2,0,2,2,2,N,9,0,1,8680,14,4,3,4,1,50390.0,7,354,40-00200,75,3,2,74,42,2,0,2,2,2,N,1,8590,3,5,21000.0,4,138,55,55,50.0
18,53,2,8,2,2,2,N,11,0,1,1280,4,1,2,6,1,6900.0,2,62,24-01004,30,1,2,18,50,2,8,2,2,2,N,1,3580,1,4,552000.0,9,501,13,11,43.75
19,52,2,12,2,2,2,N,9,0,1,7380,10,4,2,3,1,330000.0,9,501,06-07502,73,1,2,77,52,2,12,2,2,2,N,1,7380,2,3,175000.0,9,501,73,74,87.5
20,59,2,0,2,2,2,N,7,1,1,8270,12,1,0,3,1,190000.0,9,501,38-00100,19,1,2,40,26,2,0,2,2,2,N,1,7980,2,4,50000.0,6,259,19,78,50.0
21,50,2,8,1,2,2,N,8,0,1,8680,14,6,1,3,2,500.0,1,53,29-01901,88,2,2,89,50,2,8,2,2,2,N,1,8680,1,3,500.0,1,46,88,88,81.25
22,32,2,10,2,2,2,N,5,0,1,N,N,1,2,4,2,0.0,0,112,51-01301,230,2,2,213,32,2,10,2,2,2,N,1,N,2,4,0.0,0,112,355,354,87.5
23,34,2,7,2,2,2,N,10,0,1,7280,10,6,0,N,1,70000.0,8,501,28-01100,88,2,2,88,34,2,7,2,2,2,N,1,7280,0,N,70000.0,8,501,81,81,87.5
24,75,2,7,2,1,2,N,4,0,1,N,N,4,0,N,2,18400.0,4,162,13-04600,55,2,2,50,70,2,7,2,1,2,N,1,N,0,N,16900.0,3,139,88,88,62.5
25,46,2,7,2,2,2,N,11,0,1,9370,16,6,0,N,1,140000.0,9,501,19-01700,51,1,2,51,55,2,7,2,2,2,N,1,9370,0,N,56000.0,7,423,98,98,62.5
26,59,2,0,2,2,2,N,12,0,1,7860,11,1,0,2,1,66000.0,8,501,38-00100,145,1,2,145,59,2,0,2,2,2,N,1,7860,0,2,66000.0,8,501,145,145,100.0
27,40,2,10,2,2,2,N,10,0,1,7860,11,1,0,2,2,13000.0,2,367,51-51255,87,6,2,117,43,2,10,2,2,2,N,1,7860,0,2,19000.0,3,217,287,202,62.5
28,27,2,0,2,2,2,N,8,0,1,4971,6,6,0,N,1,60000.0,8,496,30-00600,159,1,2,44,27,2,0,2,2,2,N,1,4971,0,N,42000.0,6,320,216,216,68.75
29,46,2,7,2,2,2,N,7,1,1,9290,15,1,0,4,1,0.0,0,501,08-00803,57,1,2,81,41,2,7,2,2,2,N,1,9290,0,4,0.0,0,501,57,58,87.5
30,25,2,8,2,2,2,N,7,0,1,7860,11,6,0,4,1,6400.0,1,437,24-01004,64,1,2,52,21,2,8,2,2,2,N,1,7860,0,4,25000.0,4,501,121,101,62.5
31,80,2,8,2,2,2,N,7,4,1,N,N,3,0,5,1,0.0,0,199,24-01004,55,1,2,59,79,2,8,2,2,2,N,1,N,0,4,48910.0,5,501,94,95,56.25
32,44,2,7,2,2,2,N,7,0,1,6290,7,6,2,4,1,29000.0,5,109,28-01100,412,2,2,353,44,2,7,2,2,2,N,1,6290,2,4,29000.0,6,137,346,346,75.0
33,63,2,10,2,2,2,N,10,0,1,7860,11,1,0,3,1,47900.0,6,501,17-03531,52,2,2,53,37,2,10,2,2,2,N,1,7860,0,2,69200.0,7,501,45,45,62.5
34,15,2,13,2,2,2,N,4,4,1,N,N,6,0,3,2,0.0,0,31,36-04010,92,8,2,148,15,2,13,2,2,2,N,1,N,1,6,0.0,0,367,213,375,68.75
35,53,2,12,2,1,2,N,5,0,1,7860,11,1,0,2,2,4900.0,2,219,06-07502,97,6,2,97,52,2,12,2,1,2,N,1,7860,0,2,4900.0,2,219,51,61,81.25
