,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,0.011603547766010422,,0.014068591146963613,-0.009885557586990196,-0.015510698853406585,-0.003285650885135216,-0.015487598506767335,-0.01206271478532854,0.019221577469679153,-0.000994287881333206,0.027636582451709763,0.005946613600625109,0.010865983082349625,-0.01916116379242301,,0.021138222054875644,-0.00870840250976625,0.007685397813131244
AGEP,0.011603547766010422,0.0,,-0.08126494834457157,0.0011297553595633059,0.0028562787012679502,0.015184620910037971,0.005095796437130318,-0.05928111998302712,0.009538233574281643,0.00536904308053666,-0.06645989413223438,-0.09949908109150954,-0.0818496596786048,-0.05355191484831409,,-0.25809551596427466,-0.0084424600891006,0.015803056290286388
SEX,,,,,,,,,,,,,,,,,,,
MSP,0.01406859114696362,-0.08126494834457157,,0.0,-0.0008877455213268833,0.019436282811897673,0.07820633298461155,0.05134781702018082,-0.01671646803906185,0.06205169525366921,0.013781982106570626,-0.05511285226363172,-0.07641608408098458,-0.03057030831068555,0.006978419708584826,,-0.20836819849232252,0.018102463782835553,0.012279304980081635
HISP,-0.009885557586990196,0.001129755359563292,,-0.0008877455213268841,2.220446049250313e-16,-0.0005066936059346105,0.03091363387724523,0.02685581393659041,-0.005533849520720111,0.017328018567100104,-0.009872949286257787,-0.00922506581375046,-0.016432869898450525,-0.0014168238083252516,0.03624955401432762,,0.008243998094469629,-0.029877290280345633,-0.024737744638844008
RAC1P,-0.015510698853406585,0.002856278701267964,,0.019436282811897673,-0.0005066936059346105,-1.1102230246251565e-16,0.02292732033479661,0.021117871559428056,-0.005863603010368987,0.0031791785789627713,-0.013303148327892478,0.0146190352597061,0.008696985535233237,0.04052323851118529,0.011609609449589324,,0.010563250251004838,-0.00042324744346148094,-0.015589670634729196
NOC,-0.003285650885135216,0.015184620910037971,,0.07820633298461155,0.03091363387724523,0.022927320334796622,0.0,-0.017522895308765052,0.0500137273421829,-0.03344593619869646,0.017991214369992153,0.05008594119820417,0.040017871742569044,0.014126152613136073,0.0288501818961192,,0.17430912167114881,-0.022669389343358853,-0.02267500418545318
NPF,-0.015487598506767342,0.005095796437130373,,0.051347817020180764,0.026855813936590422,0.021117871559428042,-0.017522895308765052,2.220446049250313e-16,0.041053303425697685,-0.026290461206281267,0.005223644940717205,0.04072132933648019,0.03579537015076245,0.009749561543150487,0.033544410095413715,,0.14729940547744833,-0.030274280559896737,-0.031030149303507407
HOUSING_TYPE,-0.012062714785328534,-0.05928111998302711,,-0.016716468039061877,-0.005533849520720111,-0.005863603010368989,0.0500137273421829,0.04105330342569774,0.0,0.05515055096284838,-0.03034749110790569,-0.006098777188466645,0.001963472242780047,0.0005090167880704294,0.002304184145880772,,0.0007427476330382973,0.047723047716189224,0.03354984018358358
OWN_RENT,0.019221577469679153,0.009538233574281615,,0.062051695253669194,0.017328018567100062,0.003179178578962799,-0.03344593619869646,-0.026290461206281267,0.05515055096284832,1.1102230246251565e-16,0.007031318299915684,0.003961410312527669,-0.028200505010443244,-0.003255189043409639,0.01693738733219953,,0.011959995485530525,-0.02978468499209843,-0.0248034667735936
DENSITY,-0.0009942878813332065,0.005369043080536661,,0.013781982106570612,-0.009872949286257787,-0.013303148327892478,0.017991214369992153,0.005223644940717205,-0.03034749110790569,0.007031318299915684,0.0,-0.009160621983828617,0.017425179912386457,0.040077543461175154,0.02593562598807636,,-0.014439472148045283,-0.00965038711311721,-0.02413928923132996
INDP_CAT,0.02763658245170977,-0.06645989413223438,,-0.05511285226363169,-0.00922506581375046,0.014619035259706106,0.05008594119820417,0.04072132933648019,-0.006098777188466659,0.00396141031252769,-0.009160621983828617,0.0,-0.06784830793897267,-0.040120647437063006,0.021249247518391363,,-0.11616652575560807,0.008328474685115904,-0.005998370080159368
EDU,0.005946613600625109,-0.09949908109150957,,-0.07641608408098455,-0.016432869898450525,0.008696985535233237,0.040017871742569044,0.03579537015076245,0.001963472242780047,-0.028200505010443244,0.017425179912386457,-0.06784830793897267,0.0,-0.05143755190465671,0.0024281835015239756,,-0.1917885034925133,0.01350279045719778,0.015967047483251968
PINCP_DECILE,0.010865983082349626,-0.0818496596786048,,-0.030570308310685537,-0.0014168238083252516,0.04052323851118529,0.014126152613136045,0.009749561543150487,0.0005090167880704433,-0.003255189043409632,0.040077543461175154,-0.04012064743706306,-0.05143755190465682,-2.220446049250313e-16,-0.030480084583675807,,-0.18762061529060112,0.00481841756311345,0.014872854456870246
DVET,-0.01916116379242301,-0.05355191484831409,,0.006978419708584826,0.03624955401432762,0.01160960944958932,0.028850181896119202,0.03354441009541371,0.0023041841458807735,0.01693738733219953,0.02593562598807636,0.021249247518391363,0.0024281835015239756,-0.030480084583675807,-2.220446049250313e-16,,0.015429600779954849,0.03204121317622741,0.08720740966447912
DREM,,,,,,,,,,,,,,,,,,,
DPHY,0.021138222054875644,-0.25809551596427466,,-0.20836819849232252,0.008243998094469629,0.010563250251004845,0.17430912167114881,0.14729940547744833,0.0007427476330382973,0.011959995485530525,-0.014439472148045286,-0.11616652575560807,-0.1917885034925133,-0.18762061529060112,0.015429600779954845,,0.0,0.03841570494067731,0.035666984534075186
DEYE,-0.00870840250976625,-0.0084424600891006,,0.01810246378283556,-0.029877290280345633,-0.00042324744346148094,-0.022669389343358853,-0.030274280559896737,0.047723047716189224,-0.02978468499209843,-0.00965038711311721,0.008328474685115904,0.013502790457197787,0.004818417563113455,0.03204121317622741,,0.03841570494067731,2.220446049250313e-16,-0.031023205627256883
DEAR,0.007685397813131245,0.01580305629028636,,0.012279304980081637,-0.024737744638844008,-0.015589670634729196,-0.02267500418545315,-0.0310301493035074,0.03354984018358358,-0.0248034667735936,-0.02413928923132997,-0.005998370080159368,0.01596704748325197,0.014872854456870244,0.08720740966447912,,0.035666984534075186,-0.031023205627256883,0.0
