,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,-9.992007221626409e-16,0.020234276087254643,,0.0036201782206613103,0.009805446219265712,-0.014635199114103357,0.01655398193995701,-0.016010938324903926,-0.054271537046000226,0.04372430028185051,-0.03287989950211179,0.00676504286575666,0.015908011005120154,0.017810878385430856,0.020799589156461087,,0.058972663183672,-0.014884259679628815,-0.023214202842919005
AGEP,0.020234276087254643,0.0,,-0.15828378215737238,0.007140729367118834,0.02176370342997891,0.024007356302277683,0.003588413220824427,-0.0441132566918326,-0.04010830018534503,-0.013675513631125041,-0.13255423019030757,-0.17675023963773473,-0.11497596081916356,-0.03839981965490778,,-0.561587983738909,-0.03620330294967354,-0.027851928117976266
SEX,,,,,,,,,,,,,,,,,,,
MSP,0.0036201782206613103,-0.15828378215737238,,-6.661338147750939e-16,-0.010177678801146648,0.0022186897960111275,0.13154777814296925,0.05541880805630184,-0.018415772115845663,0.07091851076799491,-0.027343629356915332,-0.05831705420483152,-0.17947479285177342,-0.08455005785563886,0.009463131891888866,,-0.3605072372668913,0.03622569022016556,0.022164349494530965
HISP,0.009805446219265712,0.007140729367118834,,-0.010177678801146648,-3.885780586188048e-15,0.0436206162386204,0.07982353067763903,0.04761463717532857,-0.016333352988048576,0.04212496113548306,-0.024653092339392002,-0.00826920653496302,-0.05051432098869178,-0.006811929632562566,0.032120095346651896,,-0.03490460268591616,-0.03265128484869363,-0.038192074474473994
RAC1P,-0.014635199114103357,0.02176370342997891,,0.0022186897960111275,0.0436206162386204,3.3306690738754696e-16,0.05782796023454962,0.05064701337576945,-0.023866090765547937,0.0030708060938897663,0.008879992261617536,0.028737055585131985,-0.008979945778248455,0.027580325169658193,0.01977016664880974,,-0.019425013211420303,-0.003486795110704684,-0.022155311721139992
NOC,0.01655398193995701,0.024007356302277683,,0.13154777814296925,0.07982353067763903,0.05782796023454962,-5.10702591327572e-15,-0.03668850396905898,0.06491825193157524,-0.08098125114887078,0.07379557971595307,0.09159666724398405,0.09818699929515401,0.06607473059281677,0.013450837788573533,,0.32997472603016975,0.002057621440797547,0.016036540234928627
NPF,-0.016010938324903926,0.003588413220824427,,0.05541880805630184,0.04761463717532857,0.05064701337576945,-0.03668850396905898,1.1102230246251565e-16,0.08526034442004649,-0.10428838107654251,0.003163632369213479,0.051365329059098595,0.0558997225009254,0.03162035109760741,0.012231790384354863,,0.2572998730446884,-0.020504937797763356,-0.004229331004463044
HOUSING_TYPE,-0.054271537046000226,-0.0441132566918326,,-0.018415772115845663,-0.016333352988048576,-0.023866090765547937,0.06491825193157524,0.08526034442004649,0.0,0.08948688506034974,-0.07456353456095943,0.0035293288403633605,-0.0024706770715011844,-0.010574446908618917,0.006631449442379306,,-0.06959174671635351,0.02483405690599931,0.008417459792999266
OWN_RENT,0.04372430028185051,-0.04010830018534503,,0.07091851076799491,0.04212496113548306,0.0030708060938897663,-0.08098125114887078,-0.10428838107654251,0.08948688506034974,2.220446049250313e-16,0.08059972494466278,-0.01871481168244951,-0.054714189661029936,-0.07533851807255196,0.015985729012815433,,0.09042039727571614,-0.002802722234152885,0.02188226606406999
DENSITY,-0.03287989950211179,-0.013675513631125041,,-0.027343629356915332,-0.024653092339392002,0.008879992261617536,0.07379557971595307,0.003163632369213479,-0.07456353456095943,0.08059972494466278,4.773959005888173e-15,-0.028525854140815966,-0.053344547596009484,-0.006945980850211128,0.03016748315863793,,-0.03435907404252169,-0.040823637118797135,-0.026214426775875606
INDP_CAT,0.00676504286575666,-0.13255423019030757,,-0.05831705420483152,-0.00826920653496302,0.028737055585131985,0.09159666724398405,0.051365329059098595,0.0035293288403633605,-0.01871481168244951,-0.028525854140815966,-1.3322676295501878e-15,-0.02120076624009748,-0.04485213681287681,-0.03372644988779486,,-0.10347395044500296,0.06797484794417871,0.037043453849814674
EDU,0.015908011005120154,-0.17675023963773473,,-0.17947479285177342,-0.05051432098869178,-0.008979945778248455,0.09818699929515401,0.0558997225009254,-0.0024706770715011844,-0.054714189661029936,-0.053344547596009484,-0.02120076624009748,3.3306690738754696e-16,-0.02580756334192491,-0.015028189623323376,,-0.4006759337092283,0.019401590917939526,0.02635235116604196
PINCP_DECILE,0.017810878385430856,-0.11497596081916356,,-0.08455005785563886,-0.006811929632562566,0.027580325169658193,0.06607473059281677,0.03162035109760741,-0.010574446908618917,-0.07533851807255196,-0.006945980850211128,-0.04485213681287681,-0.02580756334192491,0.0,-0.06814886984363008,,-0.25540424133434936,0.022628336395710102,0.02708766180631425
DVET,0.020799589156461087,-0.03839981965490778,,0.009463131891888866,0.032120095346651896,0.01977016664880974,0.013450837788573533,0.012231790384354863,0.006631449442379306,0.015985729012815433,0.03016748315863793,-0.03372644988779486,-0.015028189623323376,-0.06814886984363008,-7.327471962526033e-15,,-0.04143891087111856,-0.009378846777634741,0.002627854418156335
DREM,,,,,,,,,,,,,,,,,,,
DPHY,0.058972663183672,-0.561587983738909,,-0.3605072372668913,-0.03490460268591616,-0.019425013211420303,0.32997472603016975,0.2572998730446884,-0.06959174671635351,0.09042039727571614,-0.03435907404252169,-0.10347395044500296,-0.4006759337092283,-0.25540424133434936,-0.04143891087111856,,-2.7755575615628914e-15,0.11413831385606744,0.13336686885287008
DEYE,-0.014884259679628815,-0.03620330294967354,,0.03622569022016556,-0.03265128484869363,-0.003486795110704684,0.002057621440797547,-0.020504937797763356,0.02483405690599931,-0.002802722234152885,-0.040823637118797135,0.06797484794417871,0.019401590917939526,0.022628336395710102,-0.009378846777634741,,0.11413831385606744,2.220446049250313e-16,0.04437653703130978
DEAR,-0.023214202842919005,-0.027851928117976266,,0.022164349494530965,-0.038192074474473994,-0.022155311721139992,0.016036540234928627,-0.004229331004463044,0.008417459792999266,0.02188226606406999,-0.026214426775875606,0.037043453849814674,0.02635235116604196,0.02708766180631425,0.002627854418156335,,0.13336686885287008,0.04437653703130978,1.1435297153639112e-14
