,INDP,count_target,count_deidentified
3,1070,1,0.0
26,1080,1,0.0
29,1090,1,0.0
30,1170,3,0.0
5,1180,6,0.0
34,1190,1,0.0
18,1270,5,4.0
9,1280,11,3.0
23,1290,1,0.0
27,1370,2,0.0
28,1390,1,1.0
35,1480,1,0.0
32,1670,1,2.0
13,1691,2,0.0
22,1790,3,2.0
33,1990,3,1.0
7,2090,2,0.0
40,2190,2,2.0
24,2270,1,0.0
36,2280,1,0.0
20,2290,2,0.0
12,2370,3,0.0
19,2390,2,0.0
21,2570,1,0.0
15,2590,1,2.0
10,2670,4,0.0
1,2770,2,0.0
4,2870,3,2.0
6,2880,1,0.0
39,2970,1,0.0
16,2980,2,0.0
0,3291,5,0.0
42,3365,1,0.0
17,3370,2,0.0
38,3380,1,1.0
2,3570,10,6.0
14,3580,8,7.0
37,3680,4,0.0
41,3790,1,0.0
25,3895,2,0.0
8,3960,3,6.0
31,3980,4,0.0
11,3990,9,2.0
