,feature,divergence
23,WGTP,2.7289641947620185
14,PINCP,1.8489537248648276
1,AGEP,1.7745117201638942
15,PINCP_DECILE,1.5818767028827068
2,SEX,0.94248039914469
22,PWGTP,0.9111615924243214
13,EDU,0.8264510817986757
0,PUMA,0.7220058380080385
11,INDP,0.5957411806364424
12,INDP_CAT,0.46167595032927516
3,MSP,0.3354245953677772
10,DENSITY,0.12011854304115005
18,DREM,0.1178883465277493
16,POVPIP,0.11672775034764876
7,NPF,0.11446528256752703
6,NOC,0.07692180288196422
19,DPHY,0.06253454864449146
9,OWN_RENT,0.042731498431535786
5,RAC1P,0.0415588974787455
8,HOUSING_TYPE,0.019734935731011614
21,DEAR,0.01068527534069192
17,DVET,0.010434871094821059
4,HISP,0.006472086840939299
20,DEYE,0.0020330399862094756
