,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,85,2,6,2,1,2,1,8,0,1,N,N,1,0,N,1,223101.0,6,338,51-51255,50,1,1,14,80,1,10,2,2,2,N,1,N,0,2,92000.0,8,501,58,57,31.25
1,80,2,5,2,1,2,1,6,0,1,N,N,1,0,N,1,234905.0,9,189,28-01100,40,1,1,47,86,1,7,2,1,1,2,1,N,0,2,55780.0,8,501,38,44,31.25
2,72,2,7,2,2,2,2,8,0,1,N,N,4,0,2,1,123668.0,7,501,30-00600,64,1,1,59,65,1,0,1,1,1,N,1,N,0,N,2730.0,1,22,95,96,18.75
3,59,2,8,2,2,2,2,7,0,1,7860,3,4,0,2,1,1379964.0,7,108,17-03531,211,2,1,147,57,2,10,2,2,2,N,1,770,0,N,0.0,0,0,77,77,37.5
4,36,2,10,2,2,2,2,5,0,1,N,14,1,0,2,1,307238.0,9,501,51-01301,83,2,1,83,77,2,10,2,2,2,N,1,8680,0,2,7200.0,2,128,49,48,50.0
5,92,2,8,2,1,2,2,6,0,1,N,N,3,0,N,1,836888.0,3,101,38-00100,74,1,1,0,77,2,0,2,2,2,N,1,N,0,N,0.0,0,0,62,62,43.75
6,56,2,8,2,2,2,2,3,0,1,N,N,6,1,3,1,98496.0,7,501,36-04010,174,2,1,70,15,2,13,2,2,2,N,1,N,0,3,0.0,0,204,157,134,43.75
7,45,1,8,2,2,2,2,9,0,1,8191,16,6,0,N,2,507692.0,4,501,51-51255,74,2,1,368,26,2,10,2,2,2,N,1,9590,0,N,74000.0,7,501,324,324,43.75
8,85,2,4,2,1,2,2,5,0,1,N,N,1,0,N,2,1083568.0,8,501,06-07502,165,1,1,120,60,2,12,2,2,2,N,1,N,0,2,30500.0,5,362,99,78,37.5
9,69,1,8,1,2,2,2,6,0,1,N,N,1,0,N,1,132608.0,7,501,01-01301,84,1,1,21,82,2,7,2,1,1,N,1,N,0,4,15500.0,4,394,108,118,18.75
10,42,2,10,2,2,2,3,9,0,1,8680,17,6,0,2,1,776432.0,9,501,51-51255,13,1,1,126,32,2,10,2,2,2,N,1,9770,0,N,100000.0,8,501,47,54,50.0
11,69,2,1,2,2,2,3,8,0,1,N,N,1,0,2,1,806290.0,3,230,51-51255,58,2,1,243,71,2,10,2,2,2,4,1,N,0,2,95700.0,8,501,54,37,50.0
12,73,2,10,2,2,2,4,8,0,1,N,N,4,0,N,1,528446.0,9,501,24-01004,149,1,2,91,77,2,8,2,2,2,N,1,N,0,6,26100.0,4,362,60,42,43.75
13,86,1,11,2,2,2,4,8,0,1,N,N,1,0,N,1,1651844.0,3,438,19-01700,153,1,2,64,65,2,7,2,2,2,N,1,N,0,2,6000.0,1,108,114,91,37.5
