,feature,divergence
14,PINCP,5.145661692929856
23,WGTP,4.560401459854014
22,PWGTP,4.3678451178451185
13,EDU,1.2547934015417033
1,AGEP,1.2190593850905516
10,DENSITY,1.0539055613326194
11,INDP,0.7226693874852134
7,NPF,0.6412347162668456
16,POVPIP,0.4744024328949796
5,RAC1P,0.4320677437770146
12,INDP_CAT,0.30760178161148166
15,PINCP_DECILE,0.267938635195547
3,MSP,0.23817573155321503
9,OWN_RENT,0.17142603566454573
6,NOC,0.10446281864054056
2,SEX,0.0705864019522634
0,PUMA,0.04867190380091291
19,DPHY,0.02853218604378173
4,HISP,0.017743379506871944
8,HOUSING_TYPE,0.01352051249255879
21,DEAR,0.009857935949460467
18,DREM,0.006506485357276215
17,DVET,0.004713466386459878
20,DEYE,0.0010180354361559105
