,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,8.770761894538737e-15,-0.002496339578913216,0.009200853840667485,0.04135242076491044,0.006544748591113578,0.05281758628577018,-0.02001393366963057,-0.05662837509066624,0.04275635477611819,0.032798514159683996,0.07309495784927433,-0.022225546763387498,0.050442917900872575,-0.0004030728297483976,0.003506477142758292,-0.0002291318859584182,-0.0005293758116130948,-0.0002251707519263556,-0.0029132720853988613
AGEP,-0.002496339578913216,-6.661338147750939e-16,-0.03770674183545689,0.0001648875266812705,0.048143691033477,-0.005598170847394834,0.0074666965891728165,-0.011892799795517384,-0.0007938574327714387,-0.0062006741558588985,0.02648684906014238,0.003241171474355903,0.009380425611841492,0.00032011891197136766,0.004859184217547663,-0.001501948382565399,0.0013183839564193944,0.11487473058157634,0.2062809272335385
SEX,0.009200853840667485,-0.03770674183545689,0.0,0.02982199719857966,0.008009644055350977,-0.004466410160345043,-0.016890324810025687,0.002382868305665864,0.01358687018233513,-0.0075709313482639345,-0.02948973886685828,-0.07715839286602386,-0.06017419662109724,0.0012867408990138857,0.00296696954597879,-0.016155217661448742,0.005955768044289602,-0.009418638573846448,-0.030327442339166878
MSP,0.04135242076491044,0.0001648875266812705,0.02982199719857966,8.348877145181177e-14,-0.008153555445016896,-0.0017423740024396306,-0.006094627960752663,-0.0031831808382517535,-0.002546311880886276,0.005083946369762282,-0.09403124110628244,-0.005612727989661392,0.002818532339162405,-0.008362956839157054,-0.004349620411557963,-0.001458493129890548,0.00010243695115635942,0.028599202608248456,0.01974316091061582
HISP,0.006544748591113578,0.048143691033477,0.008009644055350977,-0.008153555445016896,6.483702463810914e-14,-0.17897307298312684,-0.021599548533406596,-0.04514180653621883,0.006968850739708755,-0.09878148982144466,-0.012173477468288008,-0.024962435387674328,0.06310101542400917,0.015368070963647562,-0.0029273046286472787,0.012297360016040699,0.0016525658928414778,-0.003571377839700976,-0.02508673741943348
RAC1P,0.05281758628577018,-0.005598170847394834,-0.004466410160345043,-0.0017423740024396306,-0.17897307298312684,1.4210854715202004e-14,0.00965605865305287,-0.03510873964733269,-0.00703455177088445,-0.06352733826493076,-0.1404526270361651,-0.010600617197456086,0.03807524244458263,0.03472166643763627,-0.011445129893643654,-0.004361354059341779,0.006299176865844344,0.0049730507501304835,-0.035885868043478375
NOC,-0.02001393366963057,0.0074666965891728165,-0.016890324810025687,-0.006094627960752663,-0.021599548533406596,0.00965605865305287,1.687538997430238e-14,-0.0029932444601772357,0.010965689599113981,-0.009515326780951128,0.06810637448859451,-0.004680740101454306,0.014862394128233036,0.007013039102417351,0.059542191078942416,-0.01032794509441956,-0.0034354132958072103,-0.05130259868277432,-0.09685180479417424
NPF,-0.05662837509066624,-0.011892799795517384,0.002382868305665864,-0.0031831808382517535,-0.04514180653621883,-0.03510873964733269,-0.0029932444601772357,4.6074255521943996e-14,0.0030672024500666417,-1.0052220367401388e-05,0.06953023365285269,-0.018551311891544825,0.04442339843434823,-0.0035924489369663914,-0.008561839257426762,-0.014650287384478544,-0.007700384984700576,-0.05373177840205904,-0.08633066664076043
HOUSING_TYPE,0.04275635477611819,-0.0007938574327714387,0.01358687018233513,-0.002546311880886276,0.006968850739708755,-0.00703455177088445,0.010965689599113981,0.0030672024500666417,1.6819878823071122e-13,0.006648225358929283,-0.03359269631290333,0.027152654953094185,-0.008023211384033821,-0.00418020173116912,-0.008030087375992607,0.02696970107690383,0.012735908274957887,0.012465799729111274,0.018671079751586064
OWN_RENT,0.032798514159683996,-0.0062006741558588985,-0.0075709313482639345,0.005083946369762282,-0.09878148982144466,-0.06352733826493076,-0.009515326780951128,-1.0052220367401388e-05,0.006648225358929283,-2.853273173286652e-14,-0.17530917606331523,-0.04381626295318837,0.009222578906990443,-0.002842462077377611,0.0047539652188826505,-0.025889111521641688,-0.010080500486481965,0.011715247303325701,-0.031427979810011046
DENSITY,0.07309495784927433,0.02648684906014238,-0.02948973886685828,-0.09403124110628244,-0.012173477468288008,-0.1404526270361651,0.06810637448859451,0.06953023365285269,-0.03359269631290333,-0.17530917606331523,6.894484982922222e-14,-0.057889797004228215,-0.03326958666106994,0.006388852420705998,0.07679542614159485,0.017779200237241152,0.023967237938036522,-0.005277591166619418,-0.08175295961957307
INDP_CAT,-0.022225546763387498,0.003241171474355903,-0.07715839286602386,-0.005612727989661392,-0.024962435387674328,-0.010600617197456086,-0.004680740101454306,-0.018551311891544825,0.027152654953094185,-0.04381626295318837,-0.057889797004228215,1.9984014443252818e-15,-0.009730499834505357,0.006264190046032403,-0.0010258168360439122,-0.0025890559781228117,-0.02257613069930786,-0.06891048094908274,-0.07932790228756503
EDU,0.050442917900872575,0.009380425611841492,-0.06017419662109724,0.002818532339162405,0.06310101542400917,0.03807524244458263,0.014862394128233036,0.04442339843434823,-0.008023211384033821,0.009222578906990443,-0.03326958666106994,-0.009730499834505357,0.0,-0.005459458946686091,-0.015370637280916297,0.006023579459134398,-0.015123655922208878,-0.03198474544788574,0.019454800932270727
PINCP_DECILE,-0.0004030728297483976,0.00032011891197136766,0.0012867408990138857,-0.008362956839157054,0.015368070963647562,0.03472166643763627,0.007013039102417351,-0.0035924489369663914,-0.00418020173116912,-0.002842462077377611,0.006388852420705998,0.006264190046032403,-0.005459458946686091,0.0,0.0011375622674438118,0.00444061053681688,-0.0034151389821713285,-0.0209319506359495,0.03304445777685749
DVET,0.003506477142758292,0.004859184217547663,0.00296696954597879,-0.004349620411557963,-0.0029273046286472787,-0.011445129893643654,0.059542191078942416,-0.008561839257426762,-0.008030087375992607,0.0047539652188826505,0.07679542614159485,-0.0010258168360439122,-0.015370637280916297,0.0011375622674438118,-1.3800072196090696e-13,-0.0007700187580733349,-0.003576914693503061,0.05156779153801983,0.003884591811096294
DREM,-0.0002291318859584182,-0.001501948382565399,-0.016155217661448742,-0.001458493129890548,0.012297360016040699,-0.004361354059341779,-0.01032794509441956,-0.014650287384478544,0.02696970107690383,-0.025889111521641688,0.017779200237241152,-0.0025890559781228117,0.006023579459134398,0.00444061053681688,-0.0007700187580733349,2.6645352591003757e-15,-0.057244360552044515,-0.043525307650087185,-0.02456220130535434
DPHY,-0.0005293758116130948,0.0013183839564193944,0.005955768044289602,0.00010243695115635942,0.0016525658928414778,0.006299176865844344,-0.0034354132958072103,-0.007700384984700576,0.012735908274957887,-0.010080500486481965,0.023967237938036522,-0.02257613069930786,-0.015123655922208878,-0.0034151389821713285,-0.003576914693503061,-0.057244360552044515,2.1538326677728037e-14,-0.06486364534586272,-0.04404743890712901
DEYE,-0.0002251707519263556,0.11487473058157634,-0.009418638573846448,0.028599202608248456,-0.003571377839700976,0.0049730507501304835,-0.05130259868277432,-0.05373177840205904,0.012465799729111274,0.011715247303325701,-0.005277591166619418,-0.06891048094908274,-0.03198474544788574,-0.0209319506359495,0.05156779153801983,-0.043525307650087185,-0.06486364534586272,-5.084821452783217e-14,-0.2558082486162193
DEAR,-0.0029132720853988613,0.2062809272335385,-0.030327442339166878,0.01974316091061582,-0.02508673741943348,-0.035885868043478375,-0.09685180479417424,-0.08633066664076043,0.018671079751586064,-0.031427979810011046,-0.08175295961957307,-0.07932790228756503,0.019454800932270727,0.03304445777685749,0.003884591811096294,-0.02456220130535434,-0.04404743890712901,-0.2558082486162193,-6.5503158452884236e-15
