,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,-2.220446049250313e-16,-0.0024396790927151413,0.007721609891964326,0.030300694417029567,0.00844251178818585,0.08185129236801524,-0.012328911659288247,-0.0335905288960205,0.030081415952500835,0.032980482383300244,0.015137697057052518,-0.023323590212925883,0.03786236539423284,-0.0009276012332431515,0.0032222647475471343,-0.0010792299202665757,0.0011708719438111477,-0.0001230176405255341,-0.0028163509617293416
AGEP,-0.0024396790927151413,0.0,-0.029889349850353394,0.007692350787667654,0.0546068778733234,-0.0021452366634662073,-0.0010253800371863853,-0.01261290986233149,-0.00031249853237055175,-0.004812569225915039,0.008373771031802915,0.0030751898081870094,0.0063104490249090706,-0.0005543064318857538,0.001661876867516468,-0.001660667996626397,0.0005484223029836536,0.08913774040705308,0.1593221579852004
SEX,0.007721609891964326,-0.0298893498503534,-1.1102230246251565e-16,0.026185751754718704,0.011993097074296417,-0.01866085485179184,-0.02072028664551304,0.0012080755618115897,0.0212081685179763,-0.004499102808415645,-0.027835987897239164,-0.05911394192301675,-0.057629418266557486,0.0007961121353794315,0.002152212699369882,-0.02691879034073024,0.016992332145192565,-0.009418638573846172,-0.03032744233916579
MSP,0.030300694417029567,0.007692350787667668,0.026185751754718708,-2.220446049250313e-16,0.002447654383877851,-0.055174683737924786,-0.01815033626960577,-0.01046411097083405,-0.004556655763445272,0.003471125677497376,-0.07396046520028463,0.0005261527810218325,0.004967387847308519,-0.0005676321104660098,-0.0011055959791329718,0.004201626430035604,0.006305827095613559,0.026225070857558964,0.02128933612363154
HISP,0.00844251178818585,0.054606877873323405,0.011993097074296421,0.002447654383877851,0.0,-0.07328895458541795,-0.04435257872029984,-0.062307210399118476,0.014607350226033032,-0.11376075916985273,-0.01047517735925052,-0.016104113656522215,0.08420480496190987,0.01843386568755613,-0.0047948682907731945,0.027991212546254272,-0.0007983152382307506,-0.006193379593803767,-0.02179206063842254
RAC1P,0.08185129236801524,-0.0021452366634661935,-0.01866085485179184,-0.055174683737924786,-0.07328895458541795,0.0,0.026385554300486395,-0.033692345162178595,-0.016131724868124385,-0.11887071916700404,-0.17861168918559372,-0.008788748823100705,0.0816554550091104,0.05054728230474119,-0.0072520083092372165,0.00412847306485227,0.032561524557306015,0.02591742452581316,-0.04408343497766954
NOC,-0.012328911659288247,-0.0010253800371863853,-0.020720286645513036,-0.01815033626960577,-0.04435257872029984,0.026385554300486398,0.0,0.003057396189731776,0.00028977433936583363,-0.008146579107552343,0.04711040816542512,-0.016760230231834802,0.003973473641030623,0.005038253985819224,0.027740007500029668,-0.04153172629161568,-0.017399391774643613,-0.05513938511006543,-0.09594255803250021
NPF,-0.0335905288960205,-0.01261290986233149,0.001208075561811588,-0.010464110970833995,-0.06230721039911846,-0.0336923451621786,0.003057396189731998,0.0,0.0029125935807265413,-0.002050546594074422,0.044441012152535535,-0.01764995256585783,0.03518947066062736,-0.004912544451618733,-0.01249771480342209,-0.021787307943610446,-0.004893668462934191,-0.05068549660792839,-0.0848552610736872
HOUSING_TYPE,0.03008141595250084,-0.00031249853237055175,0.0212081685179763,-0.0045566557634453,0.014607350226033032,-0.016131724868124378,0.00028977433936583363,0.002912593580726597,0.0,0.006114436307584847,-0.016218165529462893,0.027704262162456188,-0.0007065664907467059,-0.0009913614172626234,-0.008484366611241486,0.07597986056982133,0.04092170670244867,0.019260533072723806,0.030242120583480823
OWN_RENT,0.032980482383300244,-0.004812569225915053,-0.004499102808415648,0.003471125677497376,-0.11376075916985273,-0.11887071916700404,-0.008146579107552343,-0.0020505465940744254,0.006114436307584736,1.1102230246251565e-16,-0.17532229565514745,-0.03222833961473044,0.008133498650838435,-0.0032695054056280613,0.0046664920563731825,-0.03642190396594365,-0.008488858260819626,0.015209926342938676,-0.028565918537351742
DENSITY,0.015137697057052514,0.008373771031802915,-0.02783598789723917,-0.07396046520028463,-0.010475177359250548,-0.17861168918559372,0.04711040816542512,0.044441012152535535,-0.016218165529462893,-0.17532229565514745,0.0,-0.039535970266046876,-0.023253827327307672,0.005289629054061433,0.06897217077674536,-0.003944274642667382,0.013631310940147284,-0.002333135238218593,-0.06809545515864092
INDP_CAT,-0.023323590212925883,0.0030751898081870094,-0.05911394192301675,0.0005261527810218325,-0.01610411365652221,-0.008788748823100705,-0.016760230231834802,-0.01764995256585783,0.027704262162456188,-0.032228339614730435,-0.039535970266046876,0.0,-0.011432054007302905,0.0025819621354704614,0.002313336003632503,-0.005414489157727548,-0.040729247020696885,-0.06291215952457908,-0.06806316851638584
EDU,0.03786236539423284,0.006310449024909015,-0.057629418266557486,0.004967387847308519,0.08420480496190985,0.0816554550091104,0.003973473641030623,0.03518947066062739,-0.000706566490746699,0.008133498650838435,-0.023253827327307672,-0.01143205400730285,-2.220446049250313e-16,0.00047113221613470646,-0.016582978868754695,0.009167407683564388,-0.02700681805633326,-0.032859912961569426,0.010953832019524759
PINCP_DECILE,-0.0009276012332431506,-0.0005543064318857538,0.0007961121353794315,-0.0005676321104660098,0.01843386568755613,0.05054728230474119,0.005038253985819197,-0.004912544451618733,-0.0009913614172625956,-0.003269505405628058,0.005289629054061433,0.0025819621354704614,0.00047113221613470646,0.0,0.004217933123384421,0.009249533374245889,-0.004968630309398897,-0.013218134045546202,0.033150570125860694
DVET,0.0032222647475471274,0.001661876867516468,0.002152212699369896,-0.00110559597913297,-0.0047948682907731945,-0.00725200830923722,0.027740007500029668,-0.01249771480342209,-0.008484366611241483,0.0046664920563731825,0.06897217077674536,0.0023133360036325015,-0.016582978868754702,0.004217933123384407,0.0,-9.831562461168689e-05,-0.004888726419974676,0.04889898747714704,0.002380301317412903
DREM,-0.0010792299202665757,-0.001660667996626397,-0.02691879034073024,0.004201626430035632,0.02799121254625427,0.00412847306485227,-0.04153172629161568,-0.02178730794361043,0.07597986056982133,-0.03642190396594365,-0.003944274642667382,-0.0054144891577275756,0.009167407683564388,0.009249533374245889,-9.831562461168515e-05,0.0,-0.136454145205965,-0.12239745800940632,-0.10334046590839974
DPHY,0.0011708719438111512,0.0005484223029836553,0.016992332145192565,0.006305827095613531,-0.0007983152382307506,0.03256152455730603,-0.01739939177464362,-0.004893668462934191,0.04092170670244867,-0.008488858260819626,0.013631310940147277,-0.040729247020696885,-0.02700681805633326,-0.004968630309398897,-0.004888726419974676,-0.136454145205965,0.0,-0.15769767840802768,-0.13325554778793147
DEYE,-0.0001230176405255341,0.08913774040705308,-0.009418638573846174,0.02622507085755897,-0.006193379593803767,0.02591742452581316,-0.05513938511006543,-0.05068549660792839,0.019260533072723806,0.015209926342938676,-0.002333135238218593,-0.06291215952457908,-0.032859912961569426,-0.0132181340455462,0.04889898747714704,-0.12239745800940632,-0.15769767840802768,2.220446049250313e-16,-0.25580824861619567
DEAR,-0.002816350961729339,0.1593221579852004,-0.03032744233916579,0.021289336123631545,-0.02179206063842254,-0.04408343497766954,-0.0959425580325002,-0.0848552610736872,0.030242120583480823,-0.028565918537351742,-0.06809545515864092,-0.06806316851638583,0.010953832019524759,0.03315057012586069,0.002380301317412903,-0.10334046590839975,-0.13325554778793147,-0.25580824861619567,-2.220446049250313e-16
