,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,2.1538326677728037e-14,-0.006094713068408655,0.035563799501930934,0.14244501433173076,0.005536801945560235,-0.013369662246994169,-0.06152188942747324,-0.05385155904341782,0.03395193859589811,0.08017138952401459,0.11850885587061699,0.04284157936586526,0.029700605391418545,0.03457381688293756,0.0031825486838958205,-0.011870723572502271,-0.022080130188119135,0.003454128495188464,0.06001447955550436
AGEP,-0.006094713068408655,3.774758283725532e-15,-0.03546031213875951,0.0133046594002027,0.03126032245800804,-0.007120118733213193,0.027234733353354412,0.04689005107395772,-0.027897567196267667,0.06495698646503764,0.10742197956359746,0.016542505192522816,0.009269318764223544,0.004356284823221368,-0.017758975385843534,-0.01953372312940832,-0.0058347264158666035,0.0916495727237311,0.19431508440123713
SEX,0.035563799501930934,-0.03546031213875951,7.882583474838611e-15,0.005023593560518479,0.0092167376683426,-0.048427588075862414,-0.014854565243502803,-0.010923789646909581,-0.007076095431196756,-0.02230422977369889,-0.016559017662537003,-0.10805491062945033,-0.08234427353191716,0.04912333445390657,0.011608530645514842,-0.01322367825539289,0.024727700617663384,-0.003549139807531025,-0.04790924201376943
MSP,0.14244501433173076,0.0133046594002027,0.005023593560518479,-4.6629367034256575e-15,-0.04122051105685641,-0.055533028187515175,-0.0754844213586508,-0.11338281596621586,0.026948491988096623,0.02508329978902352,-0.12812514262390054,0.000782851805007756,-0.023302829153242,0.033489570858699164,0.01879091543571763,-0.008355786566767942,-0.004409974100456404,0.02820673798763565,0.04771570950932636
HISP,0.005536801945560235,0.03126032245800804,0.0092167376683426,-0.04122051105685641,-5.329070518200751e-15,-0.38726180375555097,0.031793259156728475,0.00021022412645862673,-0.0009461565878556705,-0.24743816750962533,-0.03186079101524325,-0.03139315471667676,0.059993434714942825,0.011846971636875522,-0.0014654641395795975,0.04180632566128852,0.03936079965454733,0.015000034943686975,-0.04074604660044407
RAC1P,-0.013369662246994169,-0.007120118733213193,-0.048427588075862414,-0.055533028187515175,-0.38726180375555097,0.0,0.055912600027296075,0.017558008745970362,-0.015965306508605948,-0.16916026565634637,-0.24382585320297637,-0.039424688995592254,0.026041471934653754,0.024569038158654258,-0.009139991344884194,-0.004706001013768432,0.013858423097542115,0.02342616951326265,-0.008342949279092043
NOC,-0.06152188942747324,0.027234733353354412,-0.014854565243502803,-0.0754844213586508,0.031793259156728475,0.055912600027296075,-3.885780586188048e-15,0.050604373632411104,-0.0036085303159639204,-0.08989354954893586,0.044486000392176706,-0.028634885216044,-0.023403051089568472,-0.026078796843570007,0.07444180865092673,-0.011524736697085675,-0.0024696556516759782,-0.05185609736605701,-0.10021686508915553
NPF,-0.05385155904341782,0.04689005107395772,-0.010923789646909581,-0.11338281596621586,0.00021022412645862673,0.017558008745970362,0.050604373632411104,-1.1435297153639112e-14,0.01875745797749029,-0.11329273958879706,0.04298050410481637,-0.0898371637428556,-0.016344845717006423,-0.04450689924919504,-0.021736715957247608,-0.012124747223060561,-0.021400245391653847,-0.02642690303062596,-0.12087566119160054
HOUSING_TYPE,0.03395193859589811,-0.027897567196267667,-0.007076095431196756,0.026948491988096623,-0.0009461565878556705,-0.015965306508605948,-0.0036085303159639204,0.01875745797749029,3.6193270602780103e-14,-0.01596955306310688,-0.09360744901870045,-0.011197570479034517,0.0022724248707007245,-0.013821224157614193,-0.0019545746565756,0.0368037850741571,0.027102837585092028,-0.009559731159267029,0.0083114943850346
OWN_RENT,0.08017138952401459,0.06495698646503764,-0.02230422977369889,0.02508329978902352,-0.24743816750962533,-0.16916026565634637,-0.08989354954893586,-0.11329273958879706,-0.01596955306310688,-2.9531932455029164e-14,-0.2347067211499867,0.02262886631505387,0.0794063494808013,0.07070207978478099,0.03397591167657093,0.0212625670206061,0.03287364791137815,0.051535691384704235,-0.029260328299656274
DENSITY,0.11850885587061699,0.10742197956359746,-0.016559017662537003,-0.12812514262390054,-0.03186079101524325,-0.24382585320297637,0.044486000392176706,0.04298050410481637,-0.09360744901870045,-0.2347067211499867,3.3639757646142243e-14,-0.02382798131915003,0.09160373872367217,0.03550154785896044,0.11744838569629401,0.07753548554632933,0.09176189914128986,-0.003006351606000622,-0.09817176120839496
INDP_CAT,0.04284157936586526,0.016542505192522816,-0.10805491062945033,0.000782851805007756,-0.03139315471667676,-0.039424688995592254,-0.028634885216044,-0.0898371637428556,-0.011197570479034517,0.02262886631505387,-0.02382798131915003,1.1102230246251565e-16,0.0016368142504173955,0.0583158441215772,-0.013972665182317729,0.000977686070934486,-0.028298306140105145,-0.061934120804572605,-0.06975884605797637
EDU,0.029700605391418545,0.009269318764223544,-0.08234427353191716,-0.023302829153242,0.059993434714942825,0.026041471934653754,-0.023403051089568472,-0.016344845717006423,0.0022724248707007245,0.0794063494808013,0.09160373872367217,0.0016368142504173955,0.0,0.013544829011964188,-0.0382084200133183,-0.04039701201633811,-0.06013550717656291,-0.029604871349073286,0.027694225141042264
PINCP_DECILE,0.03457381688293756,0.004356284823221368,0.04912333445390657,0.033489570858699164,0.011846971636875522,0.024569038158654258,-0.026078796843570007,-0.04450689924919504,-0.013821224157614193,0.07070207978478099,0.03550154785896044,0.0583158441215772,0.013544829011964188,0.0,-0.017170120194250474,-0.011786126076746506,-0.014567310986285553,0.003022797625944146,0.08913130985115171
DVET,0.0031825486838958205,-0.017758975385843534,0.011608530645514842,0.01879091543571763,-0.0014654641395795975,-0.009139991344884194,0.07444180865092673,-0.021736715957247608,-0.0019545746565756,0.03397591167657093,0.11744838569629401,-0.013972665182317729,-0.0382084200133183,-0.017170120194250474,-1.2101430968414206e-13,-0.009364858043236775,0.007647343644090506,0.053151670141927114,0.05256477661351626
DREM,-0.011870723572502271,-0.01953372312940832,-0.01322367825539289,-0.008355786566767942,0.04180632566128852,-0.004706001013768432,-0.011524736697085675,-0.012124747223060561,0.0368037850741571,0.0212625670206061,0.07753548554632933,0.000977686070934486,-0.04039701201633811,-0.011786126076746506,-0.009364858043236775,-1.4099832412739488e-14,-0.06841232450666812,-0.04758292467597744,-0.010135240292626179
DPHY,-0.022080130188119135,-0.0058347264158666035,0.024727700617663384,-0.004409974100456404,0.03936079965454733,0.013858423097542115,-0.0024696556516759782,-0.021400245391653847,0.027102837585092028,0.03287364791137815,0.09176189914128986,-0.028298306140105145,-0.06013550717656291,-0.014567310986285553,0.007647343644090506,-0.06841232450666812,4.884981308350689e-15,-0.07956369720559514,-0.0259935574460828
DEYE,0.003454128495188464,0.0916495727237311,-0.003549139807531025,0.02820673798763565,0.015000034943686975,0.02342616951326265,-0.05185609736605701,-0.02642690303062596,-0.009559731159267029,0.051535691384704235,-0.003006351606000622,-0.061934120804572605,-0.029604871349073286,0.003022797625944146,0.053151670141927114,-0.04758292467597744,-0.07956369720559514,0.0,-0.20372089622695738
DEAR,0.06001447955550436,0.19431508440123713,-0.04790924201376943,0.04771570950932636,-0.04074604660044407,-0.008342949279092043,-0.10021686508915553,-0.12087566119160054,0.0083114943850346,-0.029260328299656274,-0.09817176120839496,-0.06975884605797637,0.027694225141042264,0.08913130985115171,0.05256477661351626,-0.010135240292626179,-0.0259935574460828,-0.20372089622695738,1.4765966227514582e-14
