,INDP,count_target,count_deidentified
3,1070,4,0.0
26,1080,3,3.0
29,1090,5,0.0
30,1170,4,0.0
5,1180,10,0.0
40,1190,2,0.0
18,1270,6,1.0
9,1280,11,1.0
23,1290,1,0.0
27,1370,1,2.0
28,1390,1,0.0
34,1480,1,0.0
31,1670,1,0.0
13,1691,1,1.0
22,1790,4,0.0
46,1870,3,0.0
50,1880,2,0.0
33,1990,4,2.0
41,2070,2,1.0
7,2090,2,0.0
42,2180,1,0.0
45,2190,1,0.0
24,2270,1,0.0
35,2280,2,0.0
20,2290,2,0.0
12,2370,6,1.0
19,2390,1,0.0
44,2480,3,0.0
47,2490,1,1.0
21,2570,3,0.0
15,2590,1,0.0
10,2670,6,1.0
38,2690,2,0.0
1,2770,3,0.0
4,2870,4,1.0
6,2880,5,1.0
48,2890,2,0.0
52,2970,1,1.0
16,2980,4,0.0
39,3070,4,0.0
36,3080,7,1.0
51,3180,1,0.0
0,3291,9,0.0
17,3370,2,1.0
49,3380,2,1.0
37,3390,2,13.0
43,3490,8,0.0
2,3570,14,3.0
14,3580,7,2.0
25,3895,8,0.0
8,3960,4,0.0
32,3980,3,4.0
11,3990,9,1.0
