,feature,divergence
22,PWGTP,5.007841495348327
14,PINCP,4.4822955482337905
23,WGTP,2.609511394926475
11,INDP,0.5214471764102043
1,AGEP,0.5023310023310026
10,DENSITY,0.49059610978003687
13,EDU,0.4721066303090613
0,PUMA,0.25233453164136765
12,INDP_CAT,0.18757696611868335
15,PINCP_DECILE,0.17533901590766016
7,NPF,0.17023618347495717
3,MSP,0.10808443083874851
16,POVPIP,0.08657411269249128
6,NOC,0.04352480732561286
5,RAC1P,0.02045346290063868
4,HISP,0.006464564871270772
9,OWN_RENT,0.0046885636339105
2,SEX,0.00415864650142761
17,DVET,0.001188999852301071
8,HOUSING_TYPE,0.001004536232380178
18,DREM,0.0007235861456724654
19,DPHY,0.0007190076527367889
20,DEYE,0.000268693805358277
21,DEAR,3.66445174102073e-05
