,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,45,2,10,1,2,2,N,9,0,1,9470,16,1,0,2,1,69000.0,7,501,17-03531,102,2,1,102,29,2,10,2,2,2,N,1,9470,2,4,87000.0,8,338,117,117,43.75
1,37,2,10,2,2,2,N,10,0,1,9680,17,1,0,2,2,103600.0,8,501,51-51255,67,1,2,77,36,2,10,2,2,2,N,1,9680,0,2,103600.0,8,501,67,78,87.5
2,59,2,10,2,2,2,N,7,0,1,8370,13,1,0,2,1,20000.0,3,501,51-51255,142,2,2,142,50,2,10,2,2,2,N,1,8470,2,4,19200.0,3,501,87,49,56.25
3,51,2,9,2,2,2,N,1,1,1,8370,13,1,0,2,1,15000.0,3,501,32-00405,65,1,2,66,51,2,9,2,2,2,N,1,8370,0,2,15000.0,3,501,64,66,93.75
4,82,2,7,2,1,1,N,6,0,1,N,N,1,0,4,1,15500.0,4,394,01-01301,108,1,1,118,82,2,7,2,1,1,N,1,N,0,4,15500.0,4,394,108,118,100.0
5,35,2,13,2,2,2,N,7,4,1,9470,16,1,1,3,2,48000.0,6,234,36-03710,359,8,1,362,34,2,13,2,2,2,N,1,9470,1,3,48000.0,6,234,361,361,81.25
6,41,2,0,2,2,2,N,6,0,1,8090,12,1,1,5,2,36300.0,5,122,38-00100,44,3,1,105,42,2,0,2,2,2,N,1,8090,1,5,36300.0,5,122,45,104,81.25
7,32,2,0,2,2,2,N,8,0,1,1180,4,1,2,4,1,12000.0,2,202,38-00100,71,1,2,69,32,2,0,2,2,2,N,1,1180,2,4,12000.0,2,202,70,70,87.5
8,43,2,8,2,2,2,N,9,0,1,9470,16,1,1,7,1,42000.0,6,324,29-01901,265,2,2,253,43,2,8,2,2,2,N,1,9470,1,7,42000.0,6,324,266,253,93.75
9,42,2,0,2,2,2,N,8,0,1,7860,11,1,1,4,2,35000.0,6,465,40-00200,57,3,2,69,42,2,0,2,2,2,N,1,7860,1,4,35000.0,6,465,57,69,100.0
10,36,2,7,2,2,2,N,12,0,1,6672,8,1,0,2,1,290000.0,9,501,08-00803,61,1,1,97,36,2,7,2,2,2,N,1,6672,0,2,290000.0,9,501,60,96,87.5
11,63,2,8,2,2,2,N,9,0,1,6470,8,1,0,2,1,56500.0,7,501,29-01901,79,1,1,79,63,2,8,2,2,2,N,1,6470,0,2,56500.0,7,501,79,79,100.0
12,57,2,8,2,2,2,N,10,0,1,7780,10,1,0,2,1,180000.0,9,501,29-01901,102,2,1,119,57,2,8,2,2,2,N,1,7780,0,2,180000.0,9,501,102,119,100.0
13,37,2,7,2,2,2,N,9,0,1,8590,14,1,2,4,2,0.0,0,501,06-08507,44,1,1,42,32,2,7,2,2,2,N,1,8680,0,2,38000.0,5,501,130,163,50.0
14,37,2,10,2,2,2,N,5,0,1,8680,14,1,2,4,2,29000.0,4,289,51-01301,68,1,2,69,37,2,10,2,2,2,N,1,8680,2,4,29000.0,4,289,68,69,100.0
15,34,2,10,2,2,2,N,9,0,1,8191,12,1,2,4,1,26000.0,4,429,51-51255,46,1,1,48,71,2,10,2,2,2,N,1,8180,0,2,56000.0,6,501,62,62,43.75
16,30,2,10,2,2,2,N,11,0,1,2190,4,1,0,2,2,160000.0,9,501,51-01301,139,9,2,140,30,2,10,2,2,2,N,1,2190,0,2,160000.0,9,501,140,141,87.5
17,47,2,11,2,2,2,N,11,0,1,N,N,1,0,2,1,0.0,0,153,17-03529,176,2,1,171,46,2,11,1,2,2,N,1,N,0,2,0.0,0,153,178,169,75.0
18,37,2,10,2,2,2,N,7,0,1,8980,15,1,0,4,1,7400.0,2,501,17-03531,110,2,2,84,38,2,10,2,2,2,N,1,8980,0,4,7400.0,2,501,113,84,87.5
19,43,2,12,2,2,2,N,11,0,1,7460,10,1,3,5,1,177000.0,9,501,06-07502,139,1,2,138,43,2,12,2,2,2,N,1,7460,3,5,177000.0,9,501,138,138,93.75
20,84,2,7,2,1,1,N,5,0,1,N,N,1,0,2,1,16800.0,3,210,06-08507,55,1,1,55,85,2,7,2,1,1,N,1,N,0,2,16800.0,3,210,55,55,93.75
21,51,2,7,2,2,2,N,10,0,1,7860,11,1,0,4,1,60000.0,8,329,01-01301,73,9,2,72,50,2,7,2,2,2,N,1,7860,0,4,60000.0,8,329,72,72,87.5
22,49,2,7,2,2,2,N,10,0,1,7870,11,1,3,5,2,45000.0,7,200,28-01100,56,2,2,56,37,2,7,2,2,2,N,1,7860,3,5,41500.0,7,160,32,32,62.5
23,74,2,0,2,2,2,N,10,0,1,180,0,1,0,2,1,32400.0,6,347,40-00200,44,1,2,44,74,2,0,2,2,2,N,1,180,0,2,32400.0,6,347,44,44,100.0
24,35,2,10,2,2,2,N,10,1,1,9470,16,1,0,6,1,122000.0,9,501,51-01301,61,2,2,92,35,2,10,2,2,2,N,1,9470,0,6,122000.0,9,501,61,92,100.0
25,64,2,0,2,2,2,N,10,0,1,4270,5,1,0,2,2,120000.0,9,501,38-00100,189,1,1,190,63,2,0,2,2,2,N,1,4270,0,2,120000.0,9,501,192,193,81.25
26,31,2,10,2,2,2,N,10,0,1,590,2,1,0,2,1,70000.0,8,501,17-03531,88,2,2,115,34,2,10,2,2,2,N,1,590,0,2,70000.0,8,501,94,110,81.25
27,33,2,10,2,2,2,N,10,0,1,8370,13,1,2,4,1,125000.0,9,501,51-51255,78,1,1,90,33,2,10,2,2,2,N,1,8370,2,4,125000.0,9,501,78,89,93.75
28,35,2,7,1,2,2,N,4,0,1,8680,14,1,0,2,2,37000.0,6,368,19-01700,143,1,1,123,35,2,7,2,2,2,N,1,8680,0,2,37000.0,6,368,149,125,81.25
29,68,2,12,2,2,2,N,5,0,1,N,N,1,0,2,2,9000.0,2,116,06-07502,294,6,2,294,72,2,12,2,2,2,N,1,N,0,2,9000.0,2,116,270,301,81.25
30,53,2,8,2,2,2,N,11,0,1,4380,5,1,2,4,1,149000.0,9,501,24-01004,68,1,2,68,50,2,8,2,2,2,N,1,4380,2,4,149000.0,9,501,68,69,87.5
31,36,1,0,2,2,2,N,8,0,1,8191,12,1,0,2,1,30000.0,6,416,40-00200,82,3,1,82,50,2,0,2,2,2,N,1,8180,0,3,50000.0,7,501,69,28,43.75
32,32,2,10,2,2,2,N,11,0,1,6480,8,1,1,3,2,76000.0,7,501,51-51255,33,1,1,33,32,2,10,2,2,2,N,1,6480,1,3,76000.0,7,501,33,33,100.0
33,44,2,8,2,2,2,N,9,4,1,9590,16,1,2,4,2,108000.0,8,421,24-01004,20,1,1,22,44,2,8,2,2,2,N,1,9590,2,4,108000.0,8,421,21,22,93.75
34,55,2,11,2,2,2,N,9,0,1,8780,15,1,3,6,2,12000.0,2,57,17-03529,68,2,1,68,55,2,11,2,2,2,N,1,8780,3,6,12000.0,2,57,68,68,100.0
35,82,1,7,2,2,2,N,11,0,1,N,N,1,0,2,1,147500.0,9,501,19-01700,62,1,2,62,67,2,7,2,2,2,N,1,N,0,2,71700.0,8,501,119,119,62.5
36,28,2,0,2,2,2,N,5,0,1,8980,15,1,0,2,2,22400.0,4,484,30-00600,99,1,2,99,27,2,0,2,2,2,N,1,8980,0,2,22400.0,4,484,99,99,93.75
37,64,2,8,2,2,2,N,7,0,1,8170,12,1,1,5,1,8000.0,2,126,29-01901,146,2,1,156,64,2,8,2,2,2,N,1,8170,1,5,8000.0,2,126,154,154,87.5
38,56,2,7,2,2,2,N,10,0,1,8191,12,1,1,3,1,80000.0,9,501,19-01700,107,1,1,106,48,2,7,2,2,2,N,1,8180,2,4,209000.0,9,501,176,175,56.25
39,40,2,0,2,2,2,N,8,0,1,4670,6,1,1,4,2,71000.0,8,465,40-00200,69,3,1,69,40,2,0,2,2,2,N,1,4670,1,4,71000.0,8,465,69,69,100.0
40,42,2,8,2,2,2,N,10,0,1,9570,16,1,1,3,1,141000.0,9,501,24-01004,117,2,1,117,51,2,8,2,2,2,N,1,9370,2,4,156000.0,9,501,244,245,56.25
41,48,2,7,2,2,2,N,7,0,1,7860,11,1,3,5,1,2400.0,1,501,06-08507,63,1,2,62,47,2,7,2,2,2,N,1,7860,3,5,2400.0,1,501,64,63,81.25
42,59,2,10,2,2,2,N,11,0,1,7870,11,1,0,2,2,150000.0,9,501,51-51255,118,1,2,98,58,2,10,2,2,2,N,1,7870,0,2,150000.0,9,501,116,105,81.25
43,48,2,8,2,2,2,N,5,0,1,770,3,1,0,4,1,35000.0,4,501,24-01004,56,1,2,61,49,2,8,2,2,2,N,1,770,0,4,35000.0,4,501,56,61,93.75
44,31,2,10,2,2,2,N,9,4,1,6880,9,1,0,2,1,99000.0,8,501,51-51255,53,6,2,53,31,2,10,2,2,2,N,1,6880,0,2,99000.0,8,501,53,53,100.0
45,58,2,13,2,1,2,N,3,4,1,N,N,1,0,5,2,0.0,0,217,36-03710,209,8,2,206,58,2,13,2,1,2,N,1,N,0,5,0.0,0,217,210,206,93.75
46,22,2,10,2,2,2,N,11,0,1,7860,11,1,0,2,1,40000.0,5,320,51-51255,28,6,1,31,24,2,10,2,2,2,N,1,7860,0,2,40000.0,5,320,31,31,87.5
47,62,2,10,2,2,2,N,12,0,1,7460,10,1,0,2,1,151500.0,9,501,51-51255,80,2,1,80,62,2,10,2,2,2,N,1,7290,2,4,120000.0,8,501,49,49,56.25
48,52,2,0,2,2,2,N,7,0,1,570,2,1,0,2,1,48300.0,7,501,30-00600,19,1,2,18,52,2,0,2,2,2,N,1,570,0,2,48300.0,7,501,19,18,100.0
49,33,2,0,2,2,2,N,5,0,1,7860,11,1,3,5,2,0.0,0,98,30-00600,114,1,2,114,33,2,0,2,2,2,N,1,7860,3,5,0.0,0,98,114,114,100.0
50,35,2,7,2,2,2,N,7,0,1,7690,10,1,1,3,2,23000.0,4,249,19-01700,67,1,2,45,35,2,7,2,2,2,N,1,7690,1,3,23000.0,4,249,68,46,87.5
51,50,2,10,2,2,2,N,8,0,1,7380,10,1,0,2,1,175000.0,9,501,51-51255,57,1,1,57,48,2,10,2,2,2,N,1,7380,0,2,175000.0,9,501,56,56,81.25
52,49,2,7,2,2,2,N,7,1,1,6991,9,1,0,2,1,45000.0,6,501,19-01700,90,1,2,90,49,2,7,2,2,2,N,1,6991,0,2,45000.0,6,501,90,90,100.0
53,52,2,10,2,2,2,N,9,0,1,9090,15,1,0,12,1,15000.0,3,501,51-01301,96,6,2,65,46,2,10,2,2,2,N,1,8990,1,5,156000.0,9,501,65,39,50.0
54,32,2,0,2,2,2,N,9,0,1,9570,16,1,2,4,1,18000.0,3,501,30-00600,84,2,2,60,32,2,0,2,2,2,N,1,9570,2,4,18000.0,3,501,87,60,93.75
55,44,2,8,2,2,2,N,8,0,1,9590,16,1,2,4,2,85000.0,7,331,24-01004,98,6,1,98,44,2,8,2,2,2,N,1,9590,2,4,85000.0,7,331,98,98,100.0
56,55,2,11,2,2,2,N,7,0,1,6880,9,1,0,2,1,120270.0,9,501,17-03529,102,1,1,103,56,2,11,2,2,2,N,1,6880,0,2,120270.0,9,501,101,102,81.25
57,46,2,7,2,2,2,N,5,0,1,5070,6,1,2,4,2,38000.0,6,417,19-01700,33,9,2,33,46,2,7,2,2,2,N,1,5070,2,4,38000.0,6,417,34,34,87.5
58,37,2,0,2,2,2,N,4,1,1,170,0,1,3,5,1,20000.0,4,144,40-00200,205,8,2,205,38,2,0,2,2,2,N,1,170,3,5,20000.0,4,144,205,205,93.75
59,71,2,13,2,2,2,N,5,0,1,6170,7,1,0,5,1,42000.0,6,501,36-04010,64,2,1,82,72,2,13,2,2,2,N,1,6170,0,5,42000.0,6,501,64,82,93.75
60,65,2,0,2,2,2,N,5,0,1,7860,11,1,0,2,1,8600.0,2,199,38-00100,25,1,1,24,52,2,0,2,2,2,N,1,7860,0,3,40000.0,5,359,85,84,56.25
61,48,2,11,2,2,2,N,8,0,1,8680,14,1,0,3,2,60000.0,7,501,17-03529,135,2,1,136,48,2,11,2,2,2,N,1,8680,0,3,60000.0,7,501,135,136,100.0
62,34,2,13,2,2,2,N,1,1,1,8660,14,1,2,4,1,60000.0,7,232,36-03710,176,3,1,171,33,2,13,2,2,2,N,1,8660,2,4,60000.0,7,232,176,176,87.5
63,44,2,7,2,2,2,N,10,0,1,6672,8,1,1,3,1,571000.0,9,501,06-08507,53,1,1,54,43,2,7,2,2,2,N,1,6672,1,3,571000.0,9,501,53,54,93.75
64,25,2,0,2,2,2,N,8,0,1,6680,8,1,0,2,1,35000.0,6,501,30-00600,35,1,2,35,24,2,0,2,2,2,N,1,6680,0,2,35000.0,6,501,34,35,87.5
65,53,2,9,2,2,2,N,7,0,1,N,N,1,0,2,2,0.0,0,0,32-00405,205,1,2,199,54,2,9,2,2,2,N,1,N,0,2,0.0,0,0,206,199,87.5
66,41,2,0,2,2,2,N,7,0,1,5391,6,1,0,2,2,13000.0,2,501,38-00100,46,6,1,45,41,2,0,2,2,2,N,1,5391,0,2,13000.0,2,501,46,45,100.0
67,52,2,7,2,1,1,N,7,0,1,N,N,1,0,4,1,24000.0,5,329,01-01301,74,9,1,72,52,2,7,2,1,1,N,1,N,0,4,24000.0,5,329,74,72,100.0
68,68,2,12,2,2,2,N,5,0,1,6090,7,1,0,2,1,56700.0,7,354,06-07502,57,1,1,71,67,2,12,2,2,2,N,1,6090,0,2,56700.0,7,354,59,70,81.25
69,34,2,9,2,2,2,N,4,1,1,8780,15,1,0,4,2,25100.0,4,422,32-00405,352,1,1,354,31,2,9,2,2,2,N,1,8780,0,4,25100.0,4,422,354,354,87.5
70,57,2,0,2,2,2,N,8,0,1,7190,9,1,0,2,1,70000.0,8,501,38-00100,19,1,1,14,57,2,0,2,2,2,N,1,7190,0,2,70000.0,8,501,19,14,100.0
71,32,2,11,2,2,2,N,7,0,1,8191,12,1,1,3,2,25000.0,4,121,17-03529,91,2,1,91,32,2,11,2,2,2,N,1,8191,1,3,25000.0,4,121,91,91,100.0
72,62,2,7,2,2,2,N,10,0,1,3390,4,1,0,2,1,300000.0,9,501,28-01100,89,1,1,89,62,2,7,2,2,2,N,1,3390,0,2,300000.0,9,501,89,89,100.0
73,62,2,8,2,2,2,N,9,0,1,7860,11,1,0,2,1,21000.0,3,501,24-01004,53,6,2,62,55,2,8,2,2,2,N,1,7860,0,2,5400.0,1,457,93,93,62.5
74,47,2,9,2,2,2,N,1,1,1,7690,10,1,0,3,1,35000.0,5,305,32-00405,50,1,2,40,48,2,9,2,2,2,N,1,7690,0,3,35000.0,5,305,50,39,87.5
75,80,2,10,2,2,2,N,9,0,1,N,N,1,1,5,1,0.0,0,501,51-01301,69,6,1,40,80,2,10,2,2,2,N,1,N,1,5,0.0,0,501,69,39,93.75
76,53,2,11,2,2,2,N,11,0,1,8191,12,1,0,3,2,554000.0,9,501,17-03529,59,1,1,87,69,2,11,2,1,2,N,1,8080,0,4,10300.0,2,501,106,74,50.0
77,63,2,0,2,2,2,N,6,0,1,770,3,1,0,5,1,34600.0,6,150,40-00200,80,1,2,70,76,2,0,2,2,2,N,1,770,0,4,19800.0,4,225,27,27,56.25
78,29,2,10,2,2,2,N,12,0,1,7490,10,1,0,2,2,65000.0,7,501,51-01301,86,1,1,78,67,2,10,2,2,2,N,1,7270,0,2,11400.0,2,501,134,164,62.5
79,83,2,12,2,2,2,N,1,0,1,N,N,1,0,3,1,7500.0,2,182,06-07502,53,6,2,63,86,2,12,2,2,2,N,1,N,0,3,8400.0,2,501,123,131,68.75
80,55,2,0,2,2,2,N,9,0,1,180,0,1,0,2,1,72000.0,8,501,40-00200,63,1,2,56,57,2,0,2,2,2,N,1,180,0,2,72000.0,8,501,61,60,81.25
81,66,2,11,2,2,2,N,9,0,1,8470,13,1,0,2,1,16600.0,3,501,17-03529,117,1,2,74,67,2,11,2,2,2,N,1,8470,0,2,16600.0,3,501,118,75,81.25
82,51,2,10,2,2,2,N,10,0,1,9480,16,1,1,4,1,112500.0,8,501,51-01301,103,6,2,76,35,2,10,2,2,2,N,1,9480,1,3,122800.0,9,501,90,90,62.5
83,64,2,0,1,2,2,N,10,0,1,4490,5,1,1,3,1,155000.0,9,501,40-00200,58,1,2,87,63,2,0,2,2,2,N,1,4490,1,3,155000.0,9,501,56,84,75.0
84,66,2,0,2,2,2,N,11,0,1,N,N,1,0,3,1,67500.0,8,465,40-00200,124,1,2,123,35,2,0,2,2,2,N,1,N,3,5,0.0,0,312,59,58,50.0
85,53,2,8,2,2,2,N,11,0,1,6370,7,1,0,2,1,199500.0,9,501,24-01004,56,1,1,56,53,2,8,2,2,2,N,1,6370,0,2,199500.0,9,501,56,56,100.0
86,46,1,0,2,2,2,N,11,0,1,8191,12,1,3,5,1,402000.0,9,501,30-00600,70,3,1,70,75,2,0,2,2,2,N,1,8191,0,3,153400.0,9,501,13,19,56.25
87,40,2,8,2,2,2,N,10,0,1,7970,12,1,2,4,2,0.0,0,193,24-01004,59,6,2,70,40,2,8,2,2,2,N,1,7970,2,4,0.0,0,193,59,70,100.0
88,38,2,7,2,2,2,N,11,0,1,7980,12,1,2,4,1,490000.0,9,501,08-00803,84,1,2,84,39,2,7,2,2,2,N,1,7970,3,5,490000.0,9,501,55,55,62.5
89,26,2,7,2,2,2,N,5,0,1,2570,4,1,3,6,2,55000.0,8,197,01-01301,175,2,1,175,27,2,7,2,2,2,N,1,2570,3,6,55000.0,8,197,177,177,81.25
90,82,2,9,1,1,1,N,7,0,1,N,N,1,0,2,2,8400.0,2,135,32-00405,167,6,1,181,84,2,9,1,1,1,N,1,N,0,2,8400.0,2,135,168,183,81.25
91,31,2,10,2,2,2,N,10,0,1,7860,11,1,2,4,2,66000.0,7,501,51-51255,222,2,2,80,31,2,10,2,2,2,N,1,7860,2,4,66000.0,7,501,222,80,100.0
92,52,2,0,2,1,2,N,8,0,1,9380,16,1,1,3,2,50000.0,7,501,30-00600,80,3,2,75,52,2,0,2,1,2,N,1,9380,1,3,50000.0,7,501,80,75,100.0
