,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,0.0,-0.006392848984407541,0.0002555847825355551,-0.00021489242125202063,0.01126035865762362,0.0016186126753517938,0.006086076144006448,0.008093227213742712,0.002688560186385039,0.004477840495322858,-0.0065088524584782,-0.001847530315241732,-0.007030453219991933,-0.007884855323630442,-0.007668584076124297,-0.0026570250691536172,-0.006773080711727712,0.000992284754856321,0.002934384456683507
AGEP,-0.006392848984407545,0.0,0.0007378952432403399,-0.010286582092545862,-0.0031280435477733654,-0.011040118538304514,-0.00959510156728749,-0.008825491299819521,-0.0018055784790236284,-0.009490617925427283,0.001577138832106223,0.007554623879187025,0.003348900845780378,0.003975329374972081,-0.0033741708930387776,0.00755840505181965,0.011881813581815536,-0.0005282902817195234,0.010697477794238935
SEX,0.000255584782535556,0.000737895243240326,0.0,-0.006105496839512933,0.008553026823266287,0.002237206658761738,-0.006145759576989058,-0.01342622169966801,0.00030553496365609556,-0.007434979696970351,-0.0066735031935167225,-0.007092733707687416,-0.006053241296327953,0.040255869539808545,0.05138164368905061,0.0036408018384921567,0.015366033522348329,0.016686556715908643,-0.0027470765132942485
MSP,-0.00021489242125202757,-0.010286582092545855,-0.006105496839512935,0.0,-0.0038880563736521283,0.005517823756728421,-0.008476865674382938,-0.010461282775715786,0.0021401554087441266,0.0017787340306635868,0.0027673266283161357,0.008226559363766456,-0.006272452395210043,-0.004406625054127089,0.004952182934286669,0.005888022144188765,0.003683644256000429,-0.0019470592360864292,0.0015090666078411228
HISP,0.01126035865762362,-0.0031280435477733654,0.008553026823266287,-0.003888056373652128,2.220446049250313e-16,0.014701441450681696,0.012963984616046337,0.0049675196089634804,-0.019691649047041827,0.015566691104102706,0.014113365418418677,0.0035967650198447977,0.010595423535545836,-0.0015265490096349615,0.005387332485214905,-0.0011658621407148254,-0.005906228623890164,-0.0023619046490957014,0.004303949336385483
RAC1P,0.0016186126753517938,-0.0110401185383045,0.002237206658761738,0.005517823756728421,0.01470144145068171,0.0,0.002484920293579697,-0.011016451750964426,0.0007230079666264702,-0.0021203757652821786,-0.009512421260688048,0.005343618060628691,0.009354101620257849,0.00899299795597297,-0.0010651578513168544,0.0036163930879093177,0.01157538559946128,0.0070561399971049415,0.007997140806886502
NOC,0.006086076144006448,-0.009595101567287545,-0.006145759576989054,-0.008476865674382994,0.012963984616046337,0.002484920293579704,-1.1102230246251565e-16,-0.00014148792096435603,0.015247034030301199,-0.011015913781657755,-0.0019243935247884036,-0.014798798427173424,-0.010904324765112744,-0.00811801336811871,-0.0016956418129092585,-0.02267362283232266,-0.012216994409132924,0.0011866063539816701,-0.0008247569674817018
NPF,0.008093227213742726,-0.008825491299819521,-0.01342622169966801,-0.01046128277571573,0.004967519608963494,-0.011016451750964454,-0.000141487920964245,2.220446049250313e-16,0.014077428147896198,0.013078335563330726,0.005220255992401286,-0.01470168143906439,-0.011042492664265935,-0.009564011825423047,-0.0018431501035727112,-0.013297654794860933,-0.005075584471337716,0.004559040720313025,-0.003040956855382901
HOUSING_TYPE,0.002688560186385039,-0.0018055784790236215,0.00030553496365609556,0.0021401554087441543,-0.019691649047041827,0.0007230079666264702,0.015247034030301199,0.014077428147896254,-1.1102230246251565e-16,0.01003012243659196,0.005648449839268318,0.008455566743402788,-0.0014776887913490189,0.0008308547276707073,-0.007478092155556863,0.020326038206973443,-0.0011817335952467312,-0.014774287809872704,-0.013629205050719673
OWN_RENT,0.004477840495322858,-0.009490617925427297,-0.007434979696970351,0.0017787340306635868,0.015566691104102692,-0.0021203757652821786,-0.011015913781657755,0.013078335563330722,0.010030122436591848,1.1102230246251565e-16,-0.0011249336950528432,0.0019888555238261607,0.013591720653619323,0.016578208316679152,-0.0015231272977685503,-0.002394204401641749,0.015724495590186474,0.011513306862835169,0.01080543914860984
