,INDP,count_target,count_deidentified
3,1070,1,3.0
30,1090,5,10.0
22,1170,4,4.0
5,1180,6,3.0
27,1190,2,5.0
18,1270,6,15.0
9,1280,10,5.0
23,1370,2,3.0
28,1480,1,2.0
25,1670,1,2.0
13,1691,2,0.0
33,1790,1,0.0
36,1870,3,0.0
40,1880,2,1.0
26,1990,3,0.0
7,2090,2,2.0
48,2170,1,0.0
35,2190,4,4.0
29,2280,5,7.0
20,2290,1,0.0
12,2370,2,2.0
19,2390,1,0.0
34,2480,3,4.0
37,2490,1,4.0
21,2570,2,4.0
15,2590,1,0.0
10,2670,5,0.0
1,2770,3,1.0
4,2870,2,3.0
6,2880,3,0.0
38,2890,2,1.0
43,2970,1,0.0
16,2980,4,1.0
41,3080,1,2.0
45,3095,1,0.0
42,3180,2,0.0
0,3291,10,20.0
46,3365,1,2.0
17,3370,2,1.0
39,3380,5,8.0
47,3390,1,1.0
32,3490,8,1.0
2,3570,10,12.0
14,3580,9,11.0
44,3590,1,1.0
31,3895,1,2.0
8,3960,2,3.0
24,3980,4,4.0
11,3990,5,2.0
