,feature,divergence
1,AGEP,1.4018868265856215
22,PWGTP,0.9075058569111552
23,WGTP,0.6493330930064884
5,RAC1P,0.5355361196182763
14,PINCP,0.41314881558784006
11,INDP,0.31176482880492795
15,PINCP_DECILE,0.2895025212098384
13,EDU,0.23511108264183755
16,POVPIP,0.20372796544626975
0,PUMA,0.19348187677593753
4,HISP,0.11733868351559092
10,DENSITY,0.11262135075016827
12,INDP_CAT,0.11216550295508543
7,NPF,0.10846902878024983
3,MSP,0.08651721455434003
6,NOC,0.040687398407890166
9,OWN_RENT,0.033823455155280846
19,DPHY,0.019339604604030447
18,DREM,0.01746069971437869
8,HOUSING_TYPE,0.006589092768898991
21,DEAR,0.004439542383536339
17,DVET,0.004396049163491024
20,DEYE,0.002877613800232208
2,SEX,0.0013120885991294573
