,Target samples,Deid. samples
0,76,0
1,72,1
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,41,4
10,0,0
11,0,0
12,119,16
13,0,0
14,0,0
15,0,0
16,0,0
17,24,5
18,204,45
19,0,0
20,4,1
21,15,4
22,95,27
23,0,0
24,0,0
25,3,1
26,58,20
27,134,50
28,0,0
29,0,0
30,38,16
31,22,10
32,328,157
33,111,55
34,174,89
35,197,105
36,0,0
37,12,7
38,0,0
39,0,0
40,0,0
41,2201,1545
42,0,0
43,51,39
44,0,0
45,151,122
46,270,234
47,17,15
48,0,0
49,0,0
50,1,1
51,21502,22069
52,0,0
53,0,0
54,0,0
55,0,0
56,1125,1477
57,0,0
58,0,0
59,30,43
60,0,0
61,49,78
62,9,15
63,0,0
64,0,0
65,0,0
66,0,0
67,3,6
68,0,0
69,4,9
70,0,0
71,0,0
72,0,0
73,3,8
74,0,0
75,3,9
76,0,0
77,8,27
78,0,0
79,0,0
80,0,0
81,20,85
82,60,272
83,0,0
84,0,0
85,0,0
86,1,6
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,3,48
95,0,0
96,0,0
97,12,351
98,3,156
99,0,25
