,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
27253,38-00100,31,1,1,0,1,2,4,1,1,73.0,N,N,5,0.0,0,0,N,2,2,2,2,19,19
27254,29-01901,43,2,1,0,2,1,7,1,1,5434.8,6170,7,11,82000.0,9,324,N,2,2,2,2,264,253
27255,17-03531,45,1,1,0,2,0,2,1,1,11171.6,9470,16,9,69000.0,7,501,N,2,2,1,2,102,102
27256,32-00405,51,2,1,1,1,0,5,1,1,7990.5,770,3,4,62000.0,8,356,N,2,2,2,2,65,66
27257,08-00803,45,2,1,0,1,3,5,1,1,3393.2,7690,10,10,110000.0,8,501,N,2,2,2,2,91,92
27258,51-01301,37,1,1,0,4,1,3,1,2,11162.8,7380,10,9,150000.0,9,501,N,2,2,2,2,122,91
27259,36-04010,71,2,1,0,2,0,2,1,1,50441.6,N,N,5,43200.0,6,339,N,2,2,2,2,51,51
27260,36-03710,61,1,1,3,5,1,4,1,2,52864.7,8180,12,3,50000.0,6,187,N,2,2,2,2,244,244
27261,06-07502,78,2,1,0,1,0,2,1,1,33632.6,N,N,9,4000.0,2,259,N,2,2,2,2,117,118
27262,38-00100,32,2,1,0,1,3,5,1,1,73.0,5391,6,7,32000.0,5,422,N,2,2,2,2,28,25
27263,29-01901,75,2,1,0,2,0,4,1,1,5434.8,N,N,5,9000.0,2,363,N,2,2,2,1,59,58
27264,38-00100,74,1,1,0,3,0,2,1,1,73.0,N,N,7,287000.0,9,501,N,2,1,1,1,72,61
27265,36-04010,85,2,1,0,2,0,2,1,1,50441.6,N,N,3,9600.0,2,133,N,2,2,2,2,252,295
27266,06-07502,73,2,1,0,1,0,2,1,1,33632.6,770,3,7,385700.0,9,501,N,2,2,2,2,57,53
27267,36-04010,42,1,1,0,2,0,3,1,2,50441.6,770,3,5,0.0,0,167,N,2,2,2,2,458,374
27268,17-03529,75,2,1,0,2,0,2,1,1,15097.5,N,N,7,31600.0,5,442,N,2,2,2,2,98,99
27269,06-08507,53,2,1,0,5,0,3,1,1,3305.1,7970,12,10,120000.0,9,501,N,2,2,2,2,112,133
27270,24-01004,49,2,1,0,6,2,4,1,1,4187.9,7380,10,10,140000.0,9,501,N,2,2,2,2,96,122
27271,51-51255,38,2,1,0,2,4,6,1,2,11224.3,8290,12,5,1700.0,1,299,N,2,2,2,2,321,513
27272,17-03531,47,2,1,0,2,0,2,1,1,11171.6,9470,16,9,69000.0,7,501,N,2,2,2,2,101,101
27273,30-00600,55,1,1,0,1,0,2,1,1,16.3,8191,12,9,93070.0,9,501,N,2,2,2,2,72,72
27274,51-51255,37,2,1,0,1,0,2,1,2,11224.3,9680,17,10,103600.0,8,501,N,2,2,2,2,67,77
27275,26-02702,37,1,1,0,1,1,3,1,2,4817.2,7460,10,9,121000.0,9,501,N,2,2,2,2,94,95
27276,26-02702,40,1,1,0,1,2,4,1,1,4817.2,7071,9,10,176500.0,9,501,N,2,2,2,2,55,56
27277,38-00100,75,2,1,0,1,0,2,1,1,73.0,N,N,5,8200.0,2,161,N,2,2,2,2,57,55
27278,51-51255,45,1,1,0,4,0,2,1,2,11224.3,9590,16,10,163300.0,9,501,N,2,2,2,2,92,93
27279,08-00803,71,2,1,0,9,0,2,1,1,3393.2,N,N,7,25400.0,4,501,N,2,2,2,1,82,80
27280,51-51255,59,2,1,0,2,0,2,1,1,11224.3,8370,13,7,20000.0,3,501,N,2,2,2,2,142,142
27281,30-00600,56,1,1,0,1,0,2,1,1,16.3,170,0,8,9000.0,2,261,N,2,2,2,2,11,12
27282,30-00600,64,1,1,0,1,0,2,1,1,16.3,180,0,9,-3000.0,0,0,N,2,2,2,2,11,12
27283,24-01004,62,1,1,0,1,0,2,1,1,4187.9,7270,10,11,735000.0,9,501,N,2,2,2,2,54,53
27284,51-51255,53,1,1,0,1,2,4,1,1,11224.3,7470,10,10,100000.0,8,501,N,2,2,2,2,54,61
27285,13-04600,75,2,1,0,2,0,3,1,1,3670.4,N,N,12,17000.0,3,161,N,2,2,2,2,29,29
27286,38-00100,31,2,1,0,1,0,2,1,1,73.0,6991,9,7,38000.0,5,501,N,2,2,2,2,40,39
27287,36-04010,77,1,1,0,5,0,2,1,1,50441.6,N,N,5,55600.0,7,501,N,2,2,2,2,53,53
27288,32-00405,51,2,1,1,1,0,2,1,1,7990.5,8370,13,1,15000.0,3,501,N,2,2,2,2,65,66
27289,38-00100,61,2,1,0,1,0,2,1,2,73.0,N,N,7,16800.0,3,501,N,2,2,2,2,110,132
27290,38-00100,29,1,1,0,1,4,6,1,1,73.0,9670,17,7,60000.0,7,281,N,2,2,2,2,19,28
27291,06-08507,65,1,1,0,1,1,4,1,1,3305.1,7390,10,10,538000.0,9,501,N,2,2,2,2,72,72
27292,36-04010,68,1,1,3,2,0,5,1,1,50441.6,8170,12,8,50000.0,6,437,N,2,2,2,2,75,74
27293,24-01004,22,2,1,0,1,0,2,1,2,4187.9,7870,11,10,3000.0,1,17,N,2,2,2,2,55,56
27294,17-03531,65,2,1,0,2,0,2,1,1,11171.6,7860,11,9,9800.0,2,74,N,2,2,2,2,72,64
27295,36-03710,83,1,1,4,8,0,3,1,2,52864.7,8191,12,5,0.0,0,177,N,2,2,2,2,106,106
27296,26-02702,34,2,1,0,2,2,4,1,1,4817.2,N,N,10,0.0,0,95,N,2,2,2,2,159,159
27297,24-01004,71,1,1,0,1,0,2,1,1,4187.9,N,N,9,168330.0,9,501,3,2,2,2,2,33,33
27298,30-00600,54,1,1,0,1,0,2,1,1,16.3,8191,12,9,93070.0,9,501,N,2,2,2,2,71,71
27299,38-00100,24,2,1,0,1,4,6,1,1,73.0,9670,17,7,60000.0,7,281,N,2,2,2,2,15,34
27300,26-02702,39,2,1,0,1,2,4,1,2,4817.2,7870,11,9,0.0,0,501,N,2,2,2,2,167,136
27301,29-01901,69,1,1,0,1,0,2,1,2,5434.8,N,N,12,84000.0,9,501,N,2,2,2,2,89,106
27302,17-03531,77,1,1,0,2,0,2,1,1,11171.6,N,N,5,23200.0,4,212,N,2,1,1,2,47,48
27303,24-01004,68,1,1,0,1,0,3,1,1,4187.9,7460,10,11,590000.0,9,501,N,2,2,2,2,59,59
27304,38-00100,68,1,1,0,1,0,2,1,1,73.0,180,0,7,54800.0,7,501,N,2,2,2,2,21,21
27305,19-01700,69,2,1,0,1,0,2,1,1,3572.3,N,N,9,37000.0,6,501,N,2,2,2,2,117,117
27306,40-00200,61,1,1,0,3,0,5,1,1,90.7,770,3,6,34600.0,6,150,N,2,2,2,2,77,76
27307,17-03529,59,1,1,0,2,0,2,1,1,15097.5,7380,10,12,275000.0,9,501,N,2,2,2,2,78,78
27308,01-01301,82,1,1,0,1,0,4,1,1,2731.2,N,N,6,15500.0,4,394,N,1,1,2,2,108,118
27309,51-01301,59,1,1,0,1,0,3,1,1,11162.8,770,3,7,85000.0,8,501,N,2,2,2,2,96,96
27310,17-03529,58,2,1,0,4,0,3,1,1,15097.5,8191,12,9,106000.0,9,501,N,2,2,2,2,71,83
27311,26-02702,35,1,1,0,1,0,2,1,1,4817.2,8191,12,11,424000.0,9,501,N,2,2,2,2,98,98
27312,24-01004,42,2,1,1,2,2,4,1,1,4187.9,7380,10,9,100000.0,8,501,N,2,2,2,2,175,266
27313,36-04010,68,1,1,0,3,0,2,1,2,50441.6,770,3,3,23400.0,4,152,N,2,2,2,2,125,164
27314,24-01004,54,1,1,0,1,0,2,1,1,4187.9,7380,10,10,200000.0,9,501,N,2,2,2,2,61,69
27315,24-01004,56,1,1,0,1,0,2,1,1,4187.9,9590,16,9,168900.0,9,501,N,2,2,2,2,60,60
27316,30-00600,73,2,1,0,1,0,2,1,1,16.3,N,N,5,43500.0,6,306,N,2,2,2,1,35,36
27317,08-00803,67,1,1,0,1,0,2,1,1,3393.2,7071,9,10,87100.0,8,501,N,2,2,2,2,71,71
27318,06-08507,39,1,1,0,6,1,3,1,2,3305.1,7380,10,10,211000.0,9,501,N,2,2,2,2,54,54
27319,51-01301,28,1,1,0,1,0,2,1,1,11165.947747883958,6890,9,9,125000.0,9,501,N,2,2,2,2,116,116
27320,06-08507,58,2,1,0,1,3,5,1,1,3305.1,3390,4,10,220000.0,9,501,N,2,2,2,2,63,62
27321,38-00100,39,1,1,0,1,2,4,1,1,73.0,4690,6,7,46000.0,6,466,5,2,2,2,2,603,507
27322,38-00100,26,2,1,0,1,0,2,1,2,73.0,8090,12,9,25000.0,4,501,N,2,2,2,2,75,237
27323,19-01700,58,1,1,0,1,0,2,1,1,3572.3,8770,15,5,57000.0,7,501,N,2,2,2,2,94,98
27324,26-02702,55,2,1,0,3,0,3,1,1,4817.2,6991,9,10,95000.0,9,501,N,2,2,2,2,64,73
27325,38-00100,73,2,1,0,1,0,2,1,1,73.0,N,N,5,28400.0,4,501,N,2,2,2,2,94,41
27326,30-00600,64,1,1,0,1,0,2,1,1,16.3,8770,15,5,38200.0,6,354,N,2,2,2,2,56,57
27327,08-00803,45,1,1,0,1,1,3,1,1,3393.2,7890,11,10,13000.0,2,95,N,2,2,2,2,84,91
27328,30-00600,66,2,1,0,1,0,2,1,1,16.3,N,N,7,97000.0,9,501,N,2,2,2,2,9,10
27329,51-51255,35,2,1,0,1,2,4,1,2,11224.3,9570,16,10,26400.0,4,346,N,2,2,2,2,64,64
27330,30-00600,25,2,1,0,1,1,3,1,1,16.3,7860,11,9,19300.0,4,336,N,2,2,2,2,126,131
27331,24-01004,63,1,1,0,1,0,2,1,1,4187.9,7390,10,12,37300.0,5,219,N,2,2,2,2,89,90
27332,51-01301,40,1,1,0,1,4,6,1,1,11162.8,7380,10,10,516000.0,9,501,N,2,2,2,2,82,83
27333,17-03529,72,1,1,0,1,0,2,1,1,15097.5,7390,10,10,58800.0,7,501,N,2,2,2,2,68,68
27334,38-00100,68,1,1,0,1,0,2,1,1,73.0,770,3,5,88830.0,8,501,2,2,2,2,1,156,156
27335,30-00600,58,2,1,0,1,0,2,1,1,16.3,8270,12,7,32000.0,5,395,N,2,2,2,2,11,14
27336,38-00100,28,2,1,0,1,0,2,1,1,73.0,7860,11,9,50000.0,6,501,N,2,2,2,2,28,28
27337,13-04600,77,2,1,0,2,0,3,1,1,3670.4,N,N,12,17000.0,3,161,N,2,2,2,2,27,23
27338,40-00200,67,1,1,0,1,0,2,1,1,90.7,N,N,7,17200.0,4,199,N,2,2,2,2,29,46
27339,06-08507,44,1,1,0,6,1,3,1,2,3305.1,7380,10,10,172500.0,9,501,N,2,2,2,2,70,70
27340,30-00600,68,1,1,0,1,0,2,1,1,16.3,7860,11,9,52200.0,7,384,N,2,2,2,2,60,59
27341,36-03710,35,1,1,4,8,1,3,1,2,52864.7,9470,16,7,48000.0,6,234,N,2,2,2,2,359,362
27342,36-04010,32,2,1,0,2,2,5,1,2,50441.6,7860,11,10,68000.0,7,499,N,2,2,2,2,171,190
27343,40-00200,78,1,1,0,3,0,2,1,1,90.7,N,N,5,14000.0,3,231,N,1,1,2,1,48,34
27344,26-02702,45,1,1,0,1,1,3,1,1,4817.2,3570,4,10,176300.0,9,501,N,2,2,2,2,125,126
27345,06-07502,30,1,1,0,1,0,2,1,2,33632.6,6570,8,9,54000.0,6,501,N,2,2,2,2,108,122
27346,26-02702,74,1,1,0,8,0,2,1,2,4817.2,N,N,5,5100.0,1,501,N,2,2,2,2,220,81
27347,06-08507,64,2,1,0,1,0,2,1,1,3305.1,7860,11,9,88000.0,8,501,N,2,2,2,2,109,109
27348,30-00600,77,1,1,0,1,0,2,1,1,16.3,N,N,5,87000.0,9,501,N,2,2,2,1,22,40
27349,36-03710,50,1,1,1,2,0,3,1,2,52864.7,6991,9,9,73000.0,7,501,N,2,2,2,2,117,117
27350,24-01004,67,1,1,0,1,0,4,1,1,4187.9,6970,9,7,270800.0,9,501,N,2,2,2,2,51,51
27351,30-00600,53,1,1,0,1,0,2,1,1,16.3,6080,7,7,75000.0,8,501,N,2,2,2,2,24,20
27352,26-02702,49,1,1,0,1,0,4,1,1,4817.2,7460,10,12,175000.0,9,501,N,2,2,2,2,150,150
27353,24-01004,75,1,1,0,1,0,3,1,1,4187.9,7390,10,12,162500.0,9,501,N,2,2,2,1,66,66
27354,06-08507,60,2,1,0,6,0,2,1,1,3305.1,7270,10,11,16800.0,3,501,N,2,2,2,2,112,103
27355,24-01004,40,1,1,0,1,2,4,1,2,4187.9,9690,17,11,140000.0,9,501,N,2,2,2,2,29,29
27356,06-08507,51,1,1,0,6,1,3,1,1,3305.1,4580,5,9,571000.0,9,501,N,2,2,2,2,64,56
27357,01-01301,72,2,1,0,2,0,2,1,1,2731.2,N,N,5,8000.0,2,150,N,2,2,2,2,71,61
27358,06-08507,44,1,1,0,6,1,3,1,1,3305.1,7460,10,9,153300.0,9,501,N,2,2,2,2,105,105
27359,40-00200,54,2,1,0,2,0,3,1,1,90.7,7860,11,9,56000.0,8,501,N,2,2,2,2,42,30
27360,38-00100,41,1,1,0,3,1,5,1,2,73.0,8090,12,6,36300.0,5,122,N,2,2,2,2,44,105
27361,38-00100,32,2,1,0,1,2,4,1,1,73.0,1180,4,8,12000.0,2,202,N,2,2,2,2,71,69
27362,30-00600,57,1,1,0,1,0,2,1,1,16.3,170,0,7,68000.0,8,501,N,2,2,2,2,27,26
27363,40-00200,63,1,1,0,1,0,2,1,1,90.7,7290,10,7,35300.0,6,437,N,2,1,2,2,128,91
27364,06-08507,77,1,1,0,1,0,2,1,2,3305.1,N,N,9,103200.0,8,501,N,2,2,2,2,57,55
