,INDP,count_target,count_deidentified
6,4670,75,69
34,4680,5,1
0,4690,36,34
2,4770,42,37
16,4780,5,3
17,4795,49,60
10,4870,59,59
8,4880,26,28
20,4890,28,33
7,4971,189,193
30,4972,31,20
26,4980,22,28
29,4990,9,4
5,5070,66,56
25,5080,38,43
31,5090,50,53
4,5170,124,127
27,5180,15,19
24,5190,16,12
18,5275,57,54
19,5280,5,2
23,5295,5,5
14,5370,17,11
12,5381,44,60
3,5391,154,163
28,5470,14,6
21,5480,14,17
13,5490,21,19
1,5570,15,10
15,5580,32,30
22,5593,52,70
32,5670,4,6
33,5680,8,3
9,5690,13,20
11,5790,41,33
