,feature,divergence
14,PINCP,0.5270097702768111
22,PWGTP,0.5232775119617228
11,INDP,0.3922567498726445
1,AGEP,0.30123228693470727
23,WGTP,0.22805019443674918
16,POVPIP,0.09566768603465844
13,EDU,0.04804997457516888
15,PINCP_DECILE,0.03722504230118451
12,INDP_CAT,0.0359125973364384
7,NPF,0.009200690051753817
10,DENSITY,0.007601830456254954
5,RAC1P,0.007474829165083871
3,MSP,0.0060666704243693
0,PUMA,0.0052774290644795885
17,DVET,0.004836904690139778
6,NOC,0.003172618362229298
4,HISP,0.003078038629201069
9,OWN_RENT,0.0026806372678181145
8,HOUSING_TYPE,0.0019279725633476671
18,DREM,0.001268273951562024
21,DEAR,0.000896258122339233
2,SEX,0.000865400417113471
19,DPHY,0.00047066265034538535
20,DEYE,0.00023390528115282971
