,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,1.0769163338864018e-14,-2.6593071282055014e-05,-0.00025035617101833857,0.00023926341604030288,0.0004980768519460554,0.00034298720039309394,0.00040177262103407996,0.0004601661390704892,0.0004298787248979974,-0.0004319709839167296,4.2440725462833395e-05,0.00017881711171695291,-0.0008190046749803337,9.741509977458703e-05,-0.0009533658650506815,-0.00030199603515593254,-0.00016939424735434166,0.0007061460831268443,-0.0010250696953502982
AGEP,-2.6593071282055014e-05,0.0,0.0004838180554603416,0.00021500763876991513,-0.0022258879177234625,0.00023992219586566055,-0.003790812698263979,-0.0018753883343716748,0.00024966056834330175,-0.00044309051288762835,6.231083781880337e-05,0.00010481580192756024,0.0006073818173453205,0.0004839556184076943,0.0008790127632249262,-0.00019312043788577427,0.00016014159784874527,-0.0006044209724330452,0.0012100024262680364
SEX,-0.00025035617101833857,0.0004838180554603416,-1.212363542890671e-13,0.00015840204520049458,0.0003515123931428915,-0.00042443887084854005,0.0005228327210985047,-1.3219190005884368e-05,0.0002839713701121918,-3.458584870699721e-05,-0.00014187155279881195,4.1351535335167056e-05,8.408244618187538e-05,3.40492630872824e-05,-0.0004810226521733546,-0.000344751250466617,-0.00073068974051777,-1.7742630342074822e-05,-0.00045888050340525677
MSP,0.00023926341604030288,0.00021500763876991513,0.00015840204520049458,6.772360450213455e-14,-0.0010601815479313464,7.159130082801807e-07,-0.0013405488067834703,-0.0007711474572279498,0.0002473167029997114,-0.00035758851380259665,-0.0001239482749209042,-7.783142916123476e-05,0.0002799089264810539,0.00014724937436103036,0.0013336081017095852,0.0003921345940562371,0.00022398190719874478,-0.0006483071200464874,0.000643964712633012
HISP,0.0004980768519460554,-0.0022258879177234625,0.0003515123931428915,-0.0010601815479313464,5.5067062021407764e-14,-0.0005949277402103326,-0.002130954197586188,0.000842524387095589,-0.0012724395209855275,0.0008589473100742845,0.0017544842348878598,-0.00042589558199439617,-0.0016239635011034426,0.00013274378570093948,-0.0027081488962804497,0.0014287057400882222,0.002317160741198542,0.0008611406657600476,-0.0015876206044762343
RAC1P,0.00034298720039309394,0.00023992219586566055,-0.00042443887084854005,7.159130082801807e-07,-0.0005949277402103326,1.4210854715202004e-14,-0.001467293354635052,-0.0006871993377959434,-0.002064907718805877,0.00040008801113544656,-0.0005056909687528865,-4.785431876008078e-05,-0.0005730871871679893,0.0001304917939617123,-0.00493931809805882,-0.0010997832831518353,-0.0011178077505303446,0.0003690555902090605,-0.0008739095264074584
NOC,0.00040177262103407996,-0.003790812698263979,0.0005228327210985047,-0.0013405488067834703,-0.002130954197586188,-0.001467293354635052,1.687538997430238e-14,0.0002865766266428871,0.00035115658844159237,-0.00022286535337240343,-0.001324255800744814,-0.0013642673269615158,0.00024261804045477842,-0.0029417830640924847,-0.01270942422799761,0.0031638018598983964,0.00257176332855949,0.0018752504318934118,-0.00011410466792594054
NPF,0.0004601661390704892,-0.0018753883343716748,-1.3219190005884368e-05,-0.0007711474572279498,0.000842524387095589,-0.0006871993377959434,0.0002865766266428871,5.417888360170764e-14,4.599103665103854e-05,-8.856118831249149e-05,-0.00011552608899857708,0.0004984327909426101,-0.0006356798843126787,-0.0006202432493555843,-0.005157155327700197,0.0018402334847170965,0.0021129596335943968,-0.00014282614365684898,0.0007469210830407802
HOUSING_TYPE,0.0004298787248979974,0.00024966056834330175,0.0002839713701121918,0.0002473167029997114,-0.0012724395209855275,-0.002064907718805877,0.00035115658844159237,4.599103665103854e-05,-2.6700863742235015e-13,0.0002981586080417209,2.034774466714434e-05,0.0016371571134133414,0.002022274768672578,-0.0004832070717646353,-0.0068598624613148695,0.004209072913067701,0.003963796632844789,0.0009073928670702645,2.82288902454797e-07
OWN_RENT,-0.0004319709839167296,-0.00044309051288762835,-3.458584870699721e-05,-0.00035758851380259665,0.0008589473100742845,0.00040008801113544656,-0.00022286535337240343,-8.856118831249149e-05,0.0002981586080417209,-4.8627768478581856e-14,3.0306735769758397e-05,-8.413534441036041e-05,-0.0007984234944834467,-0.00028055026217305504,0.0017925785106894096,0.00040255715401508324,0.00029235736875554,0.0004962648473700784,0.0008089586612874053
DENSITY,4.2440725462833395e-05,6.231083781880337e-05,-0.00014187155279881195,-0.0001239482749209042,0.0017544842348878598,-0.0005056909687528865,-0.001324255800744814,-0.00011552608899857708,2.034774466714434e-05,3.0306735769758397e-05,-3.2085445411667024e-14,-7.013824920849843e-05,-0.0009736598970279675,0.00023231055724164118,-0.004752171700431539,0.0006648323300755994,0.0006828453674089657,0.00026054912459538403,-0.0005478554242024369
INDP_CAT,0.00017881711171695291,0.00010481580192756024,4.1351535335167056e-05,-7.783142916123476e-05,-0.00042589558199439617,-4.785431876008078e-05,-0.0013642673269615158,0.0004984327909426101,0.0016371571134133414,-8.413534441036041e-05,-7.013824920849843e-05,1.2545520178264269e-14,0.0007425426589565687,-0.0005251568667952178,0.001970629311800182,-1.4765073978018073e-05,0.0001956620330365033,-0.00023377850948770595,0.0007931709432304479
EDU,-0.0008190046749803337,0.0006073818173453205,8.408244618187538e-05,0.0002799089264810539,-0.0016239635011034426,-0.0005730871871679893,0.00024261804045477842,-0.0006356798843126787,0.002022274768672578,-0.0007984234944834467,-0.0009736598970279675,0.0007425426589565687,0.0,0.0018438923307511068,0.00698873136748164,-0.00023315454531147584,-0.0003708597964574567,-0.003497504275381272,-0.0012540129101604094
PINCP_DECILE,9.741509977458703e-05,0.0004839556184076943,3.40492630872824e-05,0.00014724937436103036,0.00013274378570093948,0.0001304917939617123,-0.0029417830640924847,-0.0006202432493555843,-0.0004832070717646353,-0.00028055026217305504,0.00023231055724164118,-0.0005251568667952178,0.0018438923307511068,-8.659739592076221e-15,0.003988250120342818,0.00013307273086421434,5.637215561965503e-05,-0.00038826606008122294,0.0007519573757833638
DVET,-0.0009533658650506815,0.0008790127632249262,-0.0004810226521733546,0.0013336081017095852,-0.0027081488962804497,-0.00493931809805882,-0.01270942422799761,-0.005157155327700197,-0.0068598624613148695,0.0017925785106894096,-0.004752171700431539,0.001970629311800182,0.00698873136748164,0.003988250120342818,-9.992007221626409e-16,0.0009001955613681754,7.555978222274946e-05,0.0006356582748664324,0.0036769588768725547
DREM,-0.00030199603515593254,-0.00019312043788577427,-0.000344751250466617,0.0003921345940562371,0.0014287057400882222,-0.0010997832831518353,0.0031638018598983964,0.0018402334847170965,0.004209072913067701,0.00040255715401508324,0.0006648323300755994,-1.4765073978018073e-05,-0.00023315454531147584,0.00013307273086421434,0.0009001955613681754,-3.019806626980426e-14,9.645775158340086e-05,0.0019953028523330626,0.0013711532923985081
DPHY,-0.00016939424735434166,0.00016014159784874527,-0.00073068974051777,0.00022398190719874478,0.002317160741198542,-0.0011178077505303446,0.00257176332855949,0.0021129596335943968,0.003963796632844789,0.00029235736875554,0.0006828453674089657,0.0001956620330365033,-0.0003708597964574567,5.637215561965503e-05,7.555978222274946e-05,9.645775158340086e-05,2.1538326677728037e-14,0.0003959308723283511,-0.0028142509149838776
DEYE,0.0007061460831268443,-0.0006044209724330452,-1.7742630342074822e-05,-0.0006483071200464874,0.0008611406657600476,0.0003690555902090605,0.0018752504318934118,-0.00014282614365684898,0.0009073928670702645,0.0004962648473700784,0.00026054912459538403,-0.00023377850948770595,-0.003497504275381272,-0.00038826606008122294,0.0006356582748664324,0.0019953028523330626,0.0003959308723283511,-3.3306690738754696e-16,0.0004722759498986262
