,feature,divergence
1,AGEP,2.8163071065989853
14,PINCP,2.8108990663100375
23,WGTP,2.5948533162573133
15,PINCP_DECILE,2.543186793869952
22,PWGTP,1.434417344173442
13,EDU,1.2364417613313257
2,SEX,0.8627381792519407
11,INDP,0.7794348219497408
12,INDP_CAT,0.5463307535518435
3,MSP,0.4090826579355182
0,PUMA,0.2540891061406541
16,POVPIP,0.20795193511568488
7,NPF,0.16970987082112315
18,DREM,0.12414821124361158
9,OWN_RENT,0.1162498313364834
6,NOC,0.11410488284758699
10,DENSITY,0.09777052584736334
19,DPHY,0.06343722354669905
5,RAC1P,0.053909728513465385
8,HOUSING_TYPE,0.03243325785523799
4,HISP,0.019651274120486218
17,DVET,0.010576164155689155
21,DEAR,0.0021980310304320315
20,DEYE,0.001470680762449033
