,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,2.3314683517128287e-15,0.017962160844000513,,0.019237215807828445,-0.004022533336088596,-0.02079885438706413,-0.008863228228307443,-0.019733947861836923,-0.014107633513161563,0.025762531703254515,0.012024258567038038,0.036141894026345205,0.00804023155645546,0.010304047265150794,-0.02313025890381656,,0.03951641091552241,-0.0103318815112095,0.009614759331398635
AGEP,0.017962160844000513,4.440892098500626e-16,,-0.10495242009276205,0.000458066176052388,0.003642844514703217,0.02806651771488894,0.014409625830996697,-0.0662500395171514,0.022497603618715306,0.008204943325298987,-0.08845962408745899,-0.1379322692471212,-0.09444509283159747,-0.059713573718159246,,-0.5417210292990625,-0.015273563455065836,0.018034703914760947
SEX,,,,,,,,,,,,,,,,,,,
MSP,0.019237215807828445,-0.10495242009276205,,0.0,0.000580381067373445,0.0165749383218642,0.0771579526672313,0.04916423727487529,-0.01668818245092077,0.06280624383508583,0.010660480108920178,-0.0404724567644385,-0.1015957590917222,-0.024163788924223523,0.006706523672042875,,-0.3252011617234223,0.02202481857275039,0.01264012217412631
HISP,-0.004022533336088596,0.000458066176052388,,0.000580381067373445,1.2212453270876722e-15,0.001682603577164793,0.03461021577974213,0.02144387088569563,-0.0028590804407936394,0.022670172527348195,-0.00071309950261364,-0.005302787238195366,-0.018934482980974943,0.006127429882187882,0.033356148059741846,,0.010261538013458476,-0.025380968123896397,-0.025564458942568126
RAC1P,-0.02079885438706413,0.003642844514703217,,0.0165749383218642,0.001682603577164793,-2.3314683517128287e-15,0.020711999332941766,0.02510087942024436,-0.004905140479011003,0.003923560984485652,-0.012114688254418415,0.0037441493865232184,-0.0006740221699838289,0.03013809538346683,0.018842502640758613,,0.03672066059886879,-0.019208548474428697,-0.021251866029752337
NOC,-0.008863228228307443,0.02806651771488894,,0.0771579526672313,0.03461021577974213,0.020711999332941766,0.0,-0.014833483822061955,0.039292407924253536,-0.03982810379006432,0.018560374556839343,0.04896794659228751,0.05607652821074338,0.02114995512743817,0.026748493103427255,,0.29998690481646784,-0.022727525493142338,-0.021877596352157733
NPF,-0.019733947861836923,0.014409625830996697,,0.04916423727487529,0.02144387088569563,0.02510087942024436,-0.014833483822061955,0.0,0.040854451486577736,-0.04004904787335695,0.0030417006062516266,0.033083467561678945,0.04474997259461688,0.007015051905765318,0.03715746748583199,,0.25769765324203686,-0.03703729526563615,-0.030707049058410228
HOUSING_TYPE,-0.014107633513161563,-0.0662500395171514,,-0.01668818245092077,-0.0028590804407936394,-0.004905140479011003,0.039292407924253536,0.040854451486577736,4.551914400963142e-15,0.04633894398425298,-0.023838719631142834,-0.01717543805388661,-0.004406031816114094,0.0058749571384738575,0.004523649135827701,,-0.03643955731289724,0.039142256579953835,0.028040224699853768
OWN_RENT,0.025762531703254515,0.022497603618715306,,0.06280624383508583,0.022670172527348195,0.003923560984485652,-0.03982810379006432,-0.04004904787335695,0.04633894398425298,3.219646771412954e-15,0.009537329799456123,0.004687139306805602,-0.031218014306382838,-0.01149724315283952,0.011463678850259656,,0.04026810239235022,-0.03503885206431827,-0.028114680210037876
