,INDP,count_target,count_deidentified
6,4670,75,8.0
34,4680,5,1.0
0,4690,36,4.0
2,4770,42,24.0
16,4780,5,1.0
17,4795,49,21.0
10,4870,59,20.0
8,4880,26,22.0
20,4890,28,8.0
7,4971,189,90.0
30,4972,31,15.0
26,4980,22,14.0
29,4990,9,4.0
5,5070,66,44.0
25,5080,38,21.0
31,5090,50,22.0
4,5170,124,78.0
27,5180,15,4.0
24,5190,16,12.0
18,5275,57,14.0
19,5280,5,5.0
23,5295,5,0.0
14,5370,17,12.0
12,5381,44,24.0
3,5391,154,88.0
28,5470,14,5.0
21,5480,14,7.0
13,5490,21,14.0
1,5570,15,8.0
15,5580,32,13.0
22,5593,52,18.0
32,5670,4,2.0
33,5680,8,1.0
9,5690,13,8.0
11,5790,41,22.0
