PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
17-03531,46,2,6,0,2,0,4,1,1,11171.6,6180,7,6,36000.0,5,501,N,2,2,2,2,46,50
19-01700,12,2,N,0,2,3,4,1,1,3572.3,N,N,3,N,N,155,N,2,2,2,2,248,522
40-00200,62,2,1,0,1,0,2,1,1,90.7,5391,6,5,24000.0,5,440,N,2,2,2,2,29,30
06-08507,36,2,1,0,6,1,3,1,2,3305.1,N,N,7,0.0,0,501,N,2,2,2,2,91,87
51-51255,72,2,3,0,1,0,N,1,1,11224.3,N,N,9,94600.0,8,501,N,2,2,2,2,55,63
38-00100,24,2,6,1,8,3,6,1,2,73.0,N,N,9,0.0,0,187,N,2,2,2,1,40,99
51-51255,82,2,4,0,1,0,N,1,1,11224.3,8080,12,7,3700.0,1,22,N,2,2,2,1,83,41
06-08507,48,2,2,0,6,0,2,1,2,3305.1,7870,11,10,89000.0,8,501,N,2,2,2,2,90,77
01-01301,85,2,3,0,2,0,N,1,1,2731.2,N,N,4,4800.0,2,39,N,2,2,2,2,73,75
36-04010,8,2,N,0,2,2,3,1,2,50441.6,N,N,3,N,N,68,N,2,2,2,2,55,79
51-01301,45,2,6,4,1,2,3,1,2,11162.8,770,3,3,25200.0,4,127,N,2,2,2,2,97,81
08-00803,39,2,6,3,1,0,5,1,1,3393.2,7870,11,12,28000.0,4,501,N,2,2,2,2,65,73
24-01004,79,2,6,0,6,0,N,1,1,4187.9,5381,6,8,105000.0,9,501,N,2,2,2,2,55,52
32-00405,7,2,N,1,9,0,5,1,2,7990.5,N,N,2,N,N,56,N,2,2,2,2,144,192
30-00600,24,2,1,0,3,1,3,1,2,16.3,N,N,5,0.0,0,69,N,2,2,2,2,70,73
17-03531,60,2,4,0,2,0,N,1,1,11171.6,9480,16,10,55000.0,7,452,N,2,2,2,2,93,82
06-07502,52,2,1,0,1,0,2,1,2,33632.6,6480,8,10,3000.0,1,501,N,2,2,2,2,65,65
13-04600,18,2,6,0,1,N,N,3,0,3670.4,N,N,7,0.0,0,N,N,2,2,2,2,109,0
29-01901,50,2,4,0,2,0,N,1,1,5434.8,7870,11,9,39050.0,6,294,N,2,2,2,2,59,58
